"Route","Status","Seconds","Head"
"/","200","1.55","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/board","200","1.02","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/methodology","200","0.72","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/pricing","200","0.85","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/promotions","200","0.95","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/brief","200","0.91","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/contact","200","0.6","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/faq","200","1.02","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/performance","200","1","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/picks","200","0.7","<!DOCTYPE html><html lang=""en"" class=""scroll-smooth""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial"
"/cockpit","307","1.02","<!DOCTYPE html><html id=""__next_error__""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial-scale=1""/><"
"/api/live","200","0.56","{""ok"":true,""status"":""alive"",""endpoint"":""live"",""checkedAt"":""2026-06-09T18:40:15.945Z""}"
"/api/health","200","0.61","{""ok"":false,""status"":""degraded"",""checks"":{""database"":{""status"":""error"",""detail"":""Database dependency is unavailable.""},""ingestion"":{""status"""
"/api/ready","503","0.87","{""ok"":false,""status"":""degraded"",""checks"":{""database"":{""status"":""error"",""detail"":""Database dependency is unavailable.""},""ingestion"":{""status"""
"/api/promotions","200","0.67","{""success"":true,""data"":[],""meta"":{""total"":0,""filteredCount"":0,""state"":null,""notice"":""Sportsbook promotions shown here are listed for informa"
"/api/board/state","200","0.51","{""success"":true,""data"":{""sportsWatched"":0,""booksPolled"":0,""openPicks"":0,""gatedToday"":0,""lastRefresh"":""2026-06-09T18:40:18.457Z"",""modelVersio"
"/api/board/state?check=book-depth","200","0.42","{""success"":true,""data"":{""sportsWatched"":0,""booksPolled"":0,""openPicks"":0,""gatedToday"":0,""lastRefresh"":""2026-06-09T18:40:18.891Z"",""modelVersio"
"/api/board/state?check=edge-index","200","0.32","{""success"":true,""data"":{""sportsWatched"":0,""booksPolled"":0,""openPicks"":0,""gatedToday"":0,""lastRefresh"":""2026-06-09T18:40:19.240Z"",""modelVersio"
