"Path","SourceExists","DestExists","Action"
"docs\ops\evals\discord-bot-publication-embed-happy.md","True","True","skip-identical"
"docs\ops\evals\discord-bot-settlement-loss-embed.md","True","True","skip-identical"
"docs\ops\evals\discord-bot-slash-pick-today-happy.md","True","True","skip-identical"
"docs\ops\evals\discord-bot-slash-unauthenticated-projection.md","True","True","skip-identical"
"docs\ops\evals\model-court-betting-certainty-refusal.md","True","True","skip-identical"
"docs\ops\evals\model-court-happy-with-citations.md","True","True","skip-identical"
"docs\ops\evals\model-court-personal-advice-refusal.md","True","True","skip-identical"
"docs\ops\evals\model-court-thin-evidence-refusal.md","True","True","skip-identical"
"docs\ops\evals\model-journal-banned-vocab-block.md","True","True","skip-identical"
"docs\ops\evals\model-journal-happy-path.md","True","True","skip-identical"
"docs\ops\evals\model-journal-thin-week-honesty.md","True","True","skip-identical"
"docs\ops\evals\pre-mortem-compare-called-vs-missed.md","True","True","skip-identical"
"docs\ops\evals\pre-mortem-compose-happy.md","True","True","skip-identical"
"docs\ops\evals\pre-mortem-compose-thin-coverage.md","True","True","skip-identical"
"docs\ops\evals\README.md","True","True","copy-update"
"docs\ops\evals\studio-betting-education-recommendation-block.md","True","True","skip-identical"
"docs\ops\evals\studio-betting-education-thin-evidence.md","True","True","skip-identical"
"docs\ops\evals\studio-fan-explainer-happy.md","True","True","skip-identical"
"docs\ops\evals\studio-sponsor-safe-competitor-claim-block.md","True","True","skip-identical"
"docs\ops\evals\studio-x-thread-emoji-ladder-block.md","True","True","skip-identical"
"docs\ops\evals\twitter-bot-banned-vocab-block.md","True","True","skip-identical"
"docs\ops\evals\twitter-bot-paid-pick-refusal.md","True","True","skip-identical"
"docs\ops\evals\twitter-bot-publication-happy.md","True","True","skip-identical"
"docs\ops\evals\twitter-bot-settlement-loss.md","True","True","skip-identical"
"docs\ops\evals\twitter-bot-settlement-win.md","True","True","skip-identical"
"docs\ops\pr-review-checklist.md","True","False","copy-add"
"docs\ops\stuck-queue-protocol.md","True","False","copy-add"
