"Path","ScratchExists","PrimaryExists","ScratchSize","PrimarySize","SameHash","Action"
"DESIGN.md","True","False","23716","","","missing in primary"
"docs\agents\agent-action-policy.md","True","False","10716","","","missing in primary"
"docs\agents\autogpt-style-task-loop-boundaries.md","True","False","11109","","","missing in primary"
"docs\audit\agentic-owasp-controls.md","True","False","14693","","","missing in primary"
"docs\audit\codemod-safety-policy.md","True","False","12587","","","missing in primary"
"docs\audit\final-wave-source-risk-register.md","True","False","11066","","","missing in primary"
"docs\audit\media-automation-risk-policy.md","True","False","10366","","","missing in primary"
"docs\audit\piracy-malware-do-not-use-register.md","True","False","9270","","","missing in primary"
"docs\audit\prompt-leak-and-sensitive-source-policy.md","True","False","10283","","","missing in primary"
"docs\brain\ask-the-brain.md","True","False","7685","","","missing in primary"
"docs\brain\calibration-feedback-loop.md","True","False","11144","","","missing in primary"
"docs\brain\claim-governance.md","True","False","7461","","","missing in primary"
"docs\brain\entity-graph.md","True","False","10256","","","missing in primary"
"docs\brain\evidence-vault.md","True","False","6773","","","missing in primary"
"docs\brain\fantasy-war-room.md","True","False","7730","","","missing in primary"
"docs\brain\intelligence-routing.md","True","False","14978","","","missing in primary"
"docs\brain\market-gravity.md","True","False","6377","","","missing in primary"
"docs\brain\operator-cockpit-governance.md","True","False","7970","","","missing in primary"
"docs\brain\picks-intelligence.md","True","False","11862","","","missing in primary"
"docs\brain\public-trust-layer.md","True","False","12189","","","missing in primary"
"docs\brain\research-lab.md","True","False","6880","","","missing in primary"
"docs\brain\signal-ledger.md","True","False","8441","","","missing in primary"
"docs\brain\source-acquisition-mesh.md","True","False","12939","","","missing in primary"
"docs\brain\source-hierarchy.md","True","False","8752","","","missing in primary"
"docs\brain\weak-signal-engine.md","True","False","6715","","","missing in primary"
"docs\data\source-provider-module-taxonomy.md","True","False","12217","","","missing in primary"
"docs\data\sports-api-provider-policy.md","True","False","13423","","","missing in primary"
"docs\design\component-system-maturity.md","True","False","12271","","","missing in primary"
"docs\design\design-md-spec.md","True","False","5997","","","missing in primary"
"docs\design\design-to-react-review.md","True","False","9152","","","missing in primary"
"docs\design\final-wave-design-pattern-register.md","True","False","11761","","","missing in primary"
"docs\design\media-studio-doctrine.md","True","False","9270","","","missing in primary"
"docs\design\motion-and-transition-doctrine.md","True","False","14135","","","missing in primary"
"docs\design\obs-inspired-scene-system.md","True","False","8708","","","missing in primary"
"docs\design\stitch-agent-workflow.md","True","False","9553","","","missing in primary"
"docs\design\visual-language-palette-lab.md","True","False","10422","","","missing in primary"
"docs\media\audio-voice-policy.md","True","False","9088","","","missing in primary"
"docs\media\content-provenance-and-review.md","True","False","8743","","","missing in primary"
"docs\media\media-studio-workflow.md","True","False","9009","","","missing in primary"
"docs\media\video-brief-pipeline.md","True","False","8757","","","missing in primary"
"docs\media\youtube-automation-boundaries.md","True","False","8951","","","missing in primary"
"docs\models\answer-eval-benchmark-lab.md","True","False","11355","","","missing in primary"
"docs\models\fine-tuning-governance.md","True","False","9497","","","missing in primary"
"docs\models\local-model-lane.md","True","False","12893","","","missing in primary"
"docs\models\model-benchmark-lab.md","True","False","11534","","","missing in primary"
"docs\models\prompt-leak-and-auth-sensitive-policy.md","True","False","13359","","","missing in primary"
"docs\models\ragflow-governance.md","True","False","12137","","","missing in primary"
"docs\ops\decision-log.md","True","True","20799","46062","False","update in primary"
"docs\ops\evals\blog-generation-happy-path.md","False","True","","1354","","primary-only (no copy)"
"docs\ops\evals\blog-generation-parse-error.md","False","True","","1042","","primary-only (no copy)"
"docs\ops\evals\blog-generation-policy-block.md","False","True","","1179","","primary-only (no copy)"
"docs\ops\evals\calibration-training-weekly-insight-happy-path.md","False","True","","1668","","primary-only (no copy)"
"docs\ops\evals\calibration-training-weekly-insight-policy-block.md","False","True","","1436","","primary-only (no copy)"
"docs\ops\evals\calibration-training-weekly-insight-thin-week.md","False","True","","1134","","primary-only (no copy)"
"docs\ops\evals\discord-bot-publication-embed-happy.md","True","True","2392","2392","True","none"
"docs\ops\evals\discord-bot-settlement-loss-embed.md","True","True","2689","2689","True","none"
"docs\ops\evals\discord-bot-slash-pick-today-happy.md","True","True","2766","2766","True","none"
"docs\ops\evals\discord-bot-slash-unauthenticated-projection.md","True","True","2210","2210","True","none"
"docs\ops\evals\model-court-betting-certainty-refusal.md","True","True","2327","2327","True","none"
"docs\ops\evals\model-court-happy-with-citations.md","True","True","3425","3425","True","none"
"docs\ops\evals\model-court-personal-advice-refusal.md","True","True","2581","2581","True","none"
"docs\ops\evals\model-court-thin-evidence-refusal.md","True","True","2678","2678","True","none"
"docs\ops\evals\model-journal-banned-vocab-block.md","True","True","2666","2666","True","none"
"docs\ops\evals\model-journal-happy-path.md","True","True","3298","3298","True","none"
"docs\ops\evals\model-journal-thin-week-honesty.md","True","True","3293","3293","True","none"
"docs\ops\evals\pre-mortem-compare-called-vs-missed.md","True","True","4472","4472","True","none"
"docs\ops\evals\pre-mortem-compose-happy.md","True","True","2547","2547","True","none"
"docs\ops\evals\pre-mortem-compose-thin-coverage.md","True","True","3091","3091","True","none"
"docs\ops\evals\README.md","True","True","2067","2226","False","update in primary"
"docs\ops\evals\studio-betting-education-recommendation-block.md","True","True","2594","2594","True","none"
"docs\ops\evals\studio-betting-education-thin-evidence.md","True","True","2244","2244","True","none"
"docs\ops\evals\studio-fan-explainer-happy.md","True","True","2025","2025","True","none"
"docs\ops\evals\studio-fantasy-angle-prop-recommendation-block.md","False","True","","2351","","primary-only (no copy)"
"docs\ops\evals\studio-newsletter-block-citation-discipline.md","False","True","","2143","","primary-only (no copy)"
"docs\ops\evals\studio-sponsor-safe-competitor-claim-block.md","True","True","2454","2454","True","none"
"docs\ops\evals\studio-tiktok-reels-script-certainty-block.md","False","True","","1934","","primary-only (no copy)"
"docs\ops\evals\studio-x-thread-emoji-ladder-block.md","True","True","2290","2290","True","none"
"docs\ops\evals\studio-youtube-titles-no-clickbait.md","False","True","","2035","","primary-only (no copy)"
"docs\ops\evals\twitter-bot-banned-vocab-block.md","True","True","2002","2002","True","none"
"docs\ops\evals\twitter-bot-paid-pick-refusal.md","True","True","1647","1647","True","none"
"docs\ops\evals\twitter-bot-publication-happy.md","True","True","1852","1852","True","none"
"docs\ops\evals\twitter-bot-settlement-loss.md","True","True","2049","2049","True","none"
"docs\ops\evals\twitter-bot-settlement-win.md","True","True","1783","1783","True","none"
"docs\ops\improvement-backlog.md","True","True","2400","750","False","update in primary"
"docs\ops\issue-queue.md","True","True","2515","32","False","update in primary"
"docs\ops\pr-review-checklist.md","True","False","10336","","","missing in primary"
"docs\ops\stuck-queue.md","True","True","926","32","False","update in primary"
"docs\ops\stuck-queue-protocol.md","True","False","6472","","","missing in primary"
"docs\ops\WAVE_COMPLETION_REPORT_2026-05-27.md","True","False","15609","","","missing in primary"
"docs\performance\biomechanics-modality-taxonomy.md","True","False","11799","","","missing in primary"
"docs\performance\force-plate-and-high-performance-layer.md","True","False","12071","","","missing in primary"
"docs\performance\play-classification-layer.md","True","False","11675","","","missing in primary"
"docs\performance\player-performance-intelligence.md","True","False","11300","","","missing in primary"
"docs\performance\radar-and-tracking-data-layer.md","True","False","11805","","","missing in primary"
"docs\performance\sports-science-evidence-vault.md","True","False","11130","","","missing in primary"
"docs\performance\sports-science-licensing-policy.md","True","False","12563","","","missing in primary"
"docs\source-providers\commercial-crawling-approval-gate.md","True","False","10115","","","missing in primary"
"docs\source-providers\historical-trends-provider-policy.md","True","False","9588","","","missing in primary"
"docs\source-providers\scores24-source-review.md","True","False","10258","","","missing in primary"
