pick_id,generated_at,settled_at,confidence_pct,result,pick_type,selection,published_line,tier,model_version,clv_lock_line,clv_lock_price,clv_close_line,clv_close_price,clv_kind,clv_value,clv_verdict,sport,sport_key,receipt_entry_odds,receipt_line,market_fair_prob
cmprw2yyi03mvoyqa6knoqdzo,2026-05-30T10:07:21.594Z,2026-06-05T05:18:25.227Z,63,LOSS,SPREAD,Carolina Hurricanes -1.5,-1.5,FREE,v5.0.0,,,,,,,,NHL,icehockey_nhl,,,
cmprw2yz103mzoyqaw5gycf5b,2026-05-30T10:07:21.613Z,2026-06-05T05:18:25.227Z,58,LOSS,TOTAL,UNDER 5.5,5.5,FREE,v5.0.0,,,,,,,,NHL,icehockey_nhl,,,
cmptfalr202nh12tf57lctav5,2026-05-31T11:52:56.607Z,2026-06-05T05:18:21.435Z,66,LOSS,SPREAD,San Antonio Spurs -5.8,-5.75,FREE,v5.0.0,,,,,,,,NBA,basketball_nba,,,
cmpufyori02nfwz417ssr423x,2026-06-01T04:59:26.430Z,2026-06-05T05:18:21.435Z,56,LOSS,TOTAL,OVER 217.1,217.1111111111111,FREE,v5.0.0,,,,,,,,NBA,basketball_nba,,,
cmpvsl0vg03kpyoirlf2w1pmv,2026-06-02T03:40:30.125Z,2026-06-05T05:18:23.193Z,91,WIN,SPREAD,Colorado Rockies -1.8,-1.833333333333333,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpvsl0x803l1yoirmhp1u190,2026-06-02T03:40:30.188Z,2026-06-05T05:18:23.193Z,53,LOSS,TOTAL,UNDER 9.6,9.583333333333334,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpvvpo7903mht4t24fyv7p2h,2026-06-02T05:08:05.829Z,2026-06-05T05:18:23.246Z,89,WIN,SPREAD,Los Angeles Dodgers -3.0,-3,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpw6fyiy03hj10nkurt1bext,2026-06-02T10:08:28.426Z,2026-06-05T05:18:23.295Z,62,WIN,TOTAL,OVER 6.4,6.416666666666667,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpw6fyms03if10nk3quibu8l,2026-06-02T10:08:28.564Z,2026-06-05T05:18:23.246Z,84,LOSS,TOTAL,UNDER 9.0,9,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpw6fyp303iz10nka8m607e3,2026-06-02T10:08:28.647Z,2026-06-05T05:18:23.295Z,56,WIN,SPREAD,Seattle Mariners -1.4,-1.416666666666667,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6br03vrdnz1dcaww4t3,2026-06-03T02:28:25.095Z,2026-06-05T05:18:23.343Z,53,WIN,TOTAL,UNDER 8.1,8.11111111111111,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6kc03xfdnz11micczn3,2026-06-03T02:28:25.404Z,2026-06-05T05:18:23.538Z,69,LOSS,SPREAD,Philadelphia Phillies -1.5,-1.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6mh03xvdnz1s34iz3tp,2026-06-03T02:28:25.481Z,2026-06-05T05:18:23.394Z,56,LOSS,SPREAD,Tampa Bay Rays -1.4,-1.416666666666667,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6mz03xzdnz1ggq11fqv,2026-06-03T02:28:25.499Z,2026-06-05T05:18:23.445Z,58,WIN,SPREAD,Chicago White Sox -7.5,-7.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6nh03y3dnz1xr48j0yy,2026-06-03T02:28:25.517Z,2026-06-05T05:18:23.538Z,76,WIN,TOTAL,UNDER 7.5,7.5,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6ny03y7dnz1ge3qhnm2,2026-06-03T02:28:25.534Z,2026-06-05T05:18:23.789Z,73,LOSS,TOTAL,OVER 10.3,10.3,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx5g6oh03ybdnz15y4b516h,2026-06-03T02:28:25.554Z,2026-06-05T05:18:24.126Z,58,LOSS,TOTAL,OVER 8.5,8.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ajux04y1lja9bza4je08,2026-06-03T04:16:01.160Z,2026-06-05T05:18:23.586Z,58,LOSS,TOTAL,OVER 9.5,9.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ajz004zxlja9iwflhmjd,2026-06-03T04:16:01.308Z,2026-06-05T05:18:23.493Z,55,LOSS,SPREAD,Seattle Mariners -0.3,-0.3333333333333333,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ajzs050dlja9pz2222q0,2026-06-03T04:16:01.335Z,2026-06-05T05:18:23.493Z,51,WIN,TOTAL,OVER 7.4,7.444444444444445,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak0i050rlja9ngykw2zl,2026-06-03T04:16:01.362Z,2026-06-05T05:18:23.586Z,67,WIN,SPREAD,Boston Red Sox -6.5,-6.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak190517lja9m1aoqisp,2026-06-03T04:16:01.389Z,2026-06-05T05:18:23.635Z,75,WIN,SPREAD,Cleveland Guardians -1.5,-1.5,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak21051nlja9768fh21i,2026-06-03T04:16:01.417Z,2026-06-05T05:18:23.635Z,84,WIN,TOTAL,OVER 7.5,7.5,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak2r0521lja9ef3lxpuk,2026-06-03T04:16:01.443Z,2026-06-05T05:18:23.703Z,71,WIN,SPREAD,Kansas City Royals -2.5,-2.5,PREMIUM,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak510537lja9i0jdlztv,2026-06-03T04:16:01.525Z,2026-06-05T05:18:23.703Z,51,LOSS,TOTAL,OVER 8.4,8.444444444444445,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak5s053nlja9w2i1emkr,2026-06-03T04:16:01.552Z,2026-06-05T05:18:23.343Z,67,WIN,SPREAD,Miami Marlins -1.5,-1.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9ak6h0541lja9h3szh9c8,2026-06-03T04:16:01.577Z,2026-06-05T05:18:23.917Z,54,WIN,TOTAL,OVER 7.8,7.833333333333333,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9akas056blja9o3agt0dj,2026-06-03T04:16:01.732Z,2026-06-05T05:18:23.789Z,64,WIN,SPREAD,Atlanta Braves -3.8,-3.833333333333333,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9akbl056qlja9e9v85fll,2026-06-03T04:16:01.761Z,2026-06-05T05:18:23.844Z,61,LOSS,SPREAD,Milwaukee Brewers -1.5,-1.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9akcd0575lja95gbpe751,2026-06-03T04:16:01.789Z,2026-06-05T05:18:24.075Z,62,WIN,SPREAD,Los Angeles Angels -1.4,-1.444444444444444,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
cmpx9akdc057jlja95qhnyq6k,2026-06-03T04:16:01.824Z,2026-06-05T05:18:24.016Z,61,WIN,SPREAD,Pittsburgh Pirates -2.5,-2.5,FREE,v5.0.0,,,,,,,,MLB,baseball_mlb,,,
