id,sheet_tier,sheet_score,title,in_coverage_json,has_deep_report_file,gemini_mention_count,gemini_named
1701.05976,High,22,How often does the best team win? A unified approach to understanding randomness in North American sport,Y,Y,10,Y
1911.01815,High,20,A Bayesian Quest for Finding a Unified Model for Predicting Volleyball Games,Y,N,5,Y
1607.00379,High,20,Probabilistic Programming and PyMC3,Y,N,5,Y
2501.17711,High,19,STGCN-LSTM for Olympic Medal Prediction: Dynamic Power Modeling and Causal Policy Optimization,Y,N,5,Y
1707.01855,High,19,LinNet: Probabilistic Lineup Evaluation Through Network Embedding,Y,N,0,N
2312.11067,High,18,FightTracker: Real-time predictive analytics for Mixed Martial Arts bouts,Y,N,0,N
2001.00878,High,18,Predicting competitions by combining conditional logistic regression and subjective Bayes: An Academy Awards case study,Y,N,0,N
2503.23911,High,17,FineCausal: A Causal-Based Framework for Interpretable Fine-Grained Action Quality Assessment,Y,N,0,N
2501.02505,High,17,"Estimation of partial rankings from sparse, noisy comparisons",Y,Y,4,Y
2408.08331,High,17,Match predictions in soccer: Machine learning vs. Poisson approaches,Y,N,6,Y
2606.09327,High,17,A Universal Dense Football Event Representation Based on TabTransformer,Y,N,0,N
2508.02725,High,17,Forecasting NCAA Basketball Outcomes with Deep Learning: A Comparative Study of LSTM and Transformer Models,Y,N,3,Y
2503.18589,High,17,Unified Uncertainty-Aware Diffusion for Multi-Agent Trajectory Modeling,Y,N,0,N
2405.10247,High,16,Alternative ranking measures to predict international football results,Y,N,1,Y
2608.21530,High,16,Multimodal Injury Risk and Performance Prediction in Tennis Using Weighted Ensemble Learning,Y,N,0,N
2505.21543,High,16,Boltzmann-Informed Probabilities,Y,N,0,N
2503.21713,High,16,Investigating Experiential Effects in Online Chess using a Hierarchical Bayesian Analysis,Y,N,0,N
2411.02000,High,16,Predicting and understanding shooting performance in professional biathlon: A Bayesian approach,Y,N,0,N
2409.17129,High,16,Bayesian Bivariate Conway-Maxwell-Poisson Regression Model for Correlated Count Data in Sports,Y,N,0,N
2406.19563,High,16,Bayesian Rank-Clustering,Y,Y,1,Y
2404.12499,High,16,A Multivariate Copula-based Bayesian Framework for Doping Detection,Y,N,0,N
2303.01318,High,16,A Continuous-Time Stochastic Process for High-Resolution Network Data in Sports,Y,N,0,N
2207.13770,High,16,Calibrate: Interactive Analysis of Probabilistic Model Output,Y,N,2,Y
2105.09881,High,16,Poisson Modeling and Predicting English Premier League Goal Scoring,Y,N,0,N
1910.07410,High,16,Rugby-Bot: Utilizing Multi-Task Learning & Fine-Grained Features for Rugby League Analysis,Y,N,0,N
1902.08081,High,16,DeepHoops: Evaluating Micro-Actions in Basketball Using Deep Feature Representations of Spatio-Temporal Data,Y,N,0,N
1710.02824,High,16,Beating the bookies with their own numbers - and how the online sports betting market is rigged,Y,Y,0,N
1704.00823,High,16,A Hierarchical Bayesian Model of Pitch Framing,Y,N,0,N
1605.08753,High,16,Fairly Random: The Impact of Winning the Toss on the Probability of Winning,Y,N,0,N
2412.19363,High,15,Large Language Models for Market Research: A Data-augmentation Approach,Y,N,0,N
1704.00197,High,15,"iWinRNFL: A Simple, Interpretable & Well-Calibrated In-Game Win Probability Model for NFL",Y,N,5,Y
2608.09824,High,15,Longitudinal Bayesian Networks for Assessing Team Performance in the National Basketball Association,Y,N,0,N
2604.02447,High,15,PlayGen-MoG: Framework for Diverse Multi-Agent Play Generation via Mixture-of-Gaussians Trajectory Prediction,Y,N,0,N
2208.08598,High,15,Using Conformal Win Probability to Predict the Winners of the Cancelled 2020 NCAA Basketball Tournaments,Y,Y,2,Y
2207.14124,High,15,Graph Neural Networks to Predict Sports Outcomes,Y,N,0,N
2202.08500,High,15,Causal inference with recurrent and competing events,Y,N,0,N
2110.14017,High,15,What does not get observed can be used to make age curves stronger: estimating player age curves using regression and im,Y,N,0,N
1607.01756,High,15,Protocol for an Observational Study on the Effects of Playing High School Football on Later Life Cognitive Functioning a,Y,N,0,N
physics/0512143,High,15,What is the most competitive sport?,Y,N,0,N
2502.07491,High,14,Exploring Patterns Behind Sports,Y,N,1,Y
2402.12400,High,14,Estimating the age-conditioned average treatment effects curves: An application for assessing load-management strategies,Y,N,0,N
2311.03490,High,14,"Analytics, have some humility: a statistical view of fourth-down decision making",Y,Y,0,N
2602.08083,High,14,A Unified Server Quality Metric for Tennis,Y,N,0,N
2310.03417,High,14,Selecting the best compositions of a wheelchair basketball team: a data-driven approach,Y,N,0,N
2307.06754,High,14,Ranking Handball Teams from Statistical Strength Estimation,Y,N,0,N
2301.13052,High,14,A Machine Learning Approach for Player and Position Adjusted Expected Goals in Football (Soccer),Y,N,0,N
2301.04001,High,14,Big Ideas in Sports Analytics and Statistical Tools for their Investigation,Y,N,0,N
2206.13246,High,14,Prediction of Football Player Value using Bayesian Ensemble Approach,Y,N,0,N
2206.09083,High,14,Universal Behavior of Opponent Statistics and Applications to the MLB,Y,N,0,N
2012.04378,High,14,Forecasting the Olympic medal distribution during a pandemic: a socio-economic machine learning model,Y,N,0,N
2011.11178,High,14,Bayesian Nonparametric Estimation for Point Processes with Spatial Homogeneity: A Spatial Analysis of NBA Shot Locations,Y,N,0,N
2008.01485,High,14,Wisdom of crowds: much ado about nothing,Y,Y,0,N
2005.12853,High,14,Space-Time VON CRAMM: Evaluating Decision-Making in Tennis with Variational generatiON of Complete Resolution Arcs via M,Y,N,0,N
1911.08791,High,14,Bayesian Hierarchical Models for the Prediction of Volleyball Results,Y,N,0,N
1911.04541,High,14,Bayesian models for prediction of the set-difference in volleyball,Y,N,0,N
1909.08034,High,14,Optimizing Through Learned Errors for Accurate Sports Field Registration,Y,N,0,N
1906.05029,High,14,A Bayesian Approach to In-Game Win Probability in Soccer,Y,N,0,N
1801.02954,High,14,A method for Bayesian regression modelling of composition data,Y,N,0,N
2504.08747,Medium,13,"GridMind: A Multi-Agent NLP Framework for Unified, Cross-Modal NFL Data Insights",Y,N,0,N
2312.04711,Medium,13,"Luck, skill, and depth of competition in games and social hierarchies",Y,N,0,N
2606.27957,Medium,13,From Streaks to Synergies: A Multi-Scale Analysis of Performance and Scoring in the NBA,Y,N,0,N
2603.21163,Medium,13,Simultaneous Estimation of Ballpark Effects and Team Defense Using Total Bases Residuals,Y,N,0,N
2601.03099,Medium,13,Time-Aware Synthetic Control,Y,N,0,N
2509.22111,Medium,13,Modeling Psychological Profiles in Volleyball via Mixed-Type Bayesian Networks,Y,N,0,N
2505.15859,Medium,13,AutoData: A Multi-Agent System for Open Web Data Collection,Y,N,0,N
2403.20214,Medium,13,Hypergraph adjusted plus-minus,Y,N,0,N
2306.09983,Medium,13,Evaluating Superhuman Models with Consistency Checks,Y,N,0,N
2304.09918,Medium,13,Smart Sports Predictions via Hybrid Simulation: NBA Case Study,Y,N,0,N
2303.17863,Medium,13,Can the hot hand phenomenon be modelled? A Bayesian hidden Markov approach,Y,N,0,N
2211.12217,Medium,13,Where Will Players Move Next? Dynamic Graphs and Hierarchical Fusion for Movement Forecasting in Badminton,Y,N,0,N
2205.10746,Medium,13,Athlete rating in multi-competitor games with scored outcomes via monotone transformations,Y,N,0,N
2203.09128,Medium,13,"Time Dependency, Data Flow, and Competitive Advantage",Y,N,0,N
2203.07029,Medium,13,SuperCone: Unified User Segmentation over Heterogeneous Experts via Concept Meta-learning,Y,N,0,N
2202.00583,Medium,13,A Statistical Model of Serve Return Impact Patterns in Professional Tennis,Y,N,0,N
2111.03599,Medium,13,Statistical Properties of Rankings in Sports and Games,Y,N,0,N
2109.13743,Medium,13,Dynamic Ranking with the BTL Model: A Nearest Neighbor based Rank Centrality Method,Y,N,0,N
2108.02419,Medium,13,Implementing the BBE Agent-Based Model of a Sports-Betting Exchange,Y,N,0,N
2105.08310,Medium,13,BBE: Simulating the Microstructural Dynamics of an In-Play Betting Exchange via Agent-Based Modelling,Y,N,0,N
2103.13736,Medium,13,Deep Similarity Learning for Sports Team Ranking,Y,N,0,N
2012.10006,Medium,13,Relationship between brain injury criteria and brain strain across different types of head impacts can be different,Y,N,2,Y
2012.06366,Medium,13,Limits of PageRank-based ranking methods in sports data,Y,N,0,N
2010.10202,Medium,13,SoccerMap: A Deep Learning Architecture for Visually-Interpretable Analysis in Soccer,Y,N,0,N
2010.09211,Medium,13,Unsupervised Domain Adaptation for Spatio-Temporal Action Localization,Y,N,0,N
2002.01328,Medium,13,TRAP: A Predictive Framework for Trail Running Assessment of Performance,Y,N,0,N
1605.03471,Medium,13,Nonparametric hierarchical Bayesian quantiles,Y,N,0,N
1602.08754,Medium,13,Adjusting for Scorekeeper Bias in NBA Box Scores,Y,N,0,N
1211.6496,Medium,13,TwitterPaul: Extracting and Aggregating Twitter Predictions,Y,N,0,N
1211.5290,Medium,13,EMMIX-uskew: An R Package for Fitting Mixtures of Multivariate Skew t-distributions via the EM Algorithm,Y,N,0,N
1209.4724,Medium,13,Randomness in Competitions,Y,N,0,N
1203.2228,Medium,13,A network-based dynamical ranking system for competitive sports,Y,N,0,N
0705.3257,Medium,13,Evaluating Throwing Ability in Baseball,Y,N,0,N
physics/0608007,Medium,13,Parity and Predictability of Competitions,Y,N,0,N
2501.05873,Medium,12,Forecasting Soccer Matches through Distributions,Y,N,0,N
2411.02343,Medium,12,Boulder2Vec: Modeling Climber Performances in Professional Bouldering Competitions,Y,N,0,N
2409.10176,Medium,12,TCDformer-based Momentum Transfer Model for Long-term Sports Prediction,Y,N,0,N
2507.18404,Medium,12,Convergence Rate of Efficient MCMC with Ancillarity-Sufficiency Interweaving Strategy for Panel Data Models,Y,N,0,N
2503.02137,Medium,12,What Influences Field Goal Attempts? Basketball Shot Charts via Log Gaussian Cox Processes,Y,N,0,N
2408.01603,Medium,12,FIVB ranking: Misstep in the right direction,Y,N,0,N
2311.06268,Medium,12,The Paradox of Talent: how Chance affects Success in Tennis Tournaments,Y,N,0,N
2307.13700,Medium,12,CAMP: A Context-Aware Cricket Players Performance Metric,Y,N,0,N
2306.05285,Medium,12,Unsupervised Statistical Feature-Guided Diffusion Model for Sensor-based Human Activity Recognition,Y,N,0,N
2305.07740,Medium,12,Double-Iterative Gaussian Process Regression for Modeling Error Compensation in Autonomous Racing,Y,N,0,N
2111.08140,Medium,12,Bayesian inference of the climbing grade scale,Y,N,0,N
2108.04510,Medium,12,A hydraulic model outperforms work-balance models for predicting recovery kinetics from intermittent exercise,Y,N,0,N
2008.04216,Medium,12,Using Experts' Opinions in Machine Learning Tasks,Y,N,0,N
2002.09770,Medium,12,Allotaxonometry and rank-turbulence divergence: A universal instrument for comparing complex systems,Y,N,0,N
1910.03203,Medium,12,Random forest model identifies serve strength as a key predictor of tennis match outcome,Y,N,0,N
1909.12938,Medium,12,Time Series Modeling for Dream Team in Fantasy Premier League,Y,N,0,N
1706.02447,Medium,12,Luck is Hard to Beat: The Difficulty of Sports Prediction,Y,N,0,N
1111.2919,Medium,12,Universal scaling in sports ranking,Y,N,0,N
2608.01882,Medium,11,Gap distributions between successive personal bests in cricket: Data and Models,Y,N,3,Y
2507.22472,Medium,11,Inference in a generalized Bradley-Terry model for paired comparisons with covariates and a growing number of subjects,Y,N,0,N
2404.13300,Medium,11,Capturing Momentum: Tennis Match Analysis Using Machine Learning and Time Series Theory,Y,N,0,N
2309.09103,Medium,11,Optimal Estimation under a Semiparametric Density Ratio Model,Y,N,0,N
2308.10231,Medium,11,Static and Dynamic BART for Rank-Order Data,Y,N,0,N
2411.02954,Medium,11,IMUDiffusion: A Diffusion Model for Multivariate Time Series Synthetisation for Inertial Motion Capturing Systems,Y,N,0,N
2405.13995,Medium,11,Leveraging World Events to Predict E-Commerce Consumer Demand under Anomaly,Y,N,0,N
2609.07617,Medium,11,Forecasting the Winner of a Live Tennis Match,Y,N,0,N
2603.26935,Medium,11,The Load Management Paradox: Correcting the Healthy-Worker Survivor Effect in NBA Injury Modeling,Y,N,0,N
2601.15000,Medium,11,Lineup Regularized Adjusted Plus-Minus (L-RAPM): Basketball Lineup Ratings with Informed Priors,Y,N,3,Y
2510.06789,Medium,11,Model-free Rank Aggregation in the Presence of Rater Heterogeneity: A Maximum Score Approach,Y,N,0,N
2509.22522,Medium,11,JointDiff: Bridging Continuous and Discrete in Multi-Agent Trajectory Generation,Y,N,0,N
2509.21421,Medium,11,The Impact of the UEFA Women's EURO on Hotel Overnight Stays: Evidence from a Causal Analysis,Y,N,0,N
2509.20083,Medium,11,Rethinking player evaluation in sports: Goals above expectation and beyond,Y,N,0,N
2508.19848,Medium,11,Hierarchy and ranking in fencing and tennis,Y,N,0,N
2411.15075,Medium,11,The Effects of Major League Baseball's Ban on Infield Shifts: A Quasi-Experimental Analysis,Y,N,0,N
2409.02872,Medium,11,Momentum Dynamics in Competitive Sports: A Multi-Model Analysis Using TOPSIS and Logistic Regression,Y,N,0,N
2405.19958,Medium,11,Multi-Aspect Controllable Text Generation with Disentangled Counterfactual Augmentation,Y,N,0,N
2401.15161,Medium,11,Individual and team performance in cricket,Y,N,0,N
2401.06336,Medium,11,TRACE: A Time-Relational Approximate Cubing Engine for Fast Data Insights,Y,N,0,N
2309.06248,Medium,11,Rethinking Evaluation Metric for Probability Estimation Models Using Esports Data,Y,N,0,N
2308.11142,Medium,11,Graph Encoding and Neural Network Approaches for Volleyball Analytics: From Game Outcome to Individual Play Predictions,Y,N,0,N
2303.14655,Medium,11,GOAL: A Challenging Knowledge-grounded Video Captioning Benchmark for Real-time Soccer Commentary Generation,Y,N,0,N
2301.04251,Medium,11,"On classical and Bayesian inference for bivariate Poisson conditionals distributions: Theory, methods and applications",Y,N,0,N
2206.07212,Medium,11,Explainable expected goal models for performance analysis in football analytics,Y,N,0,N
2205.07193,Medium,11,How Much Does Home Field Advantage Matter in Soccer Games? A Causal Inference Approach for English Premier League Analys,Y,N,0,N
2201.01168,Medium,11,Application of the Pythagorean Expected Wins Percentage and Cross-Validation Methods in Estimating Team Quality,Y,N,0,N
2109.00378,Medium,11,A truncated mean-parameterised Conway-Maxwell-Poisson model for the analysis of Test match bowlers,Y,N,0,N
2006.03348,Medium,11,Same-Score Streaks: A Case Study in Probability Modeling,Y,N,0,N
2005.12661,Medium,11,DAG-Net: Double Attentive Graph Neural Network for Trajectory Forecasting,Y,N,0,N
1606.04153,Medium,11,Universal temporal features of rankings in competitive sports and games,Y,N,0,N
1511.04351,Medium,11,A Scalable Framework for NBA Player and Team Comparisons Using Player Tracking Data,Y,N,0,N
1107.5474,Medium,11,Selecting Attributes for Sport Forecasting using Formal Concept Analysis,Y,N,0,N
1002.0797,Medium,11,Soccer: is scoring goals a predictable Poissonian process?,Y,N,0,N
2405.02715,Medium,10,Grouping predictors via network-wide metrics,Y,N,0,N
2505.01902,Medium,10,From Players to Champions: A Generalizable ML Approach for Match Outcome Prediction with Insights from the FIFA World Cu,Y,N,0,N
2503.08945,Medium,10,PassAI: explainable AI algorithm for soccer pass analysis using multimodal information resources,Y,N,0,N
2410.21484,Medium,10,"A Systematic Review of Machine Learning in Sports Betting: Techniques, Challenges, and Future Directions",Y,N,0,N
2409.04889,Medium,10,Moving from Machine Learning to Statistics: the case of Expected Points in American football,Y,N,0,N
2406.16171,Medium,10,Exploring the Difficulty of Estimating Win Probability: A Simulation Study,Y,N,0,N
2406.00814,Medium,10,Expected Possession Value of Control and Duel Actions for Soccer Player's Skills Estimation,Y,N,0,N
2403.12977,Medium,10,SportsNGEN: Sustained Generation of Realistic Multi-player Sports Gameplay,Y,N,0,N
2312.09466,Medium,10,Enhancing Trajectory Prediction through Self-Supervised Waypoint Noise Prediction,Y,N,0,N
2605.14855,Medium,10,Exploitation of Hidden Context in Dynamic Movement Forecasting: RNN to GNN and Transformers,Y,N,0,N
2605.10717,Medium,10,Heteroscedastic Diffusion for Multi-Agent Trajectory Modeling,Y,N,0,N
2603.10916,Medium,10,NCAA Bracket Prediction Using Machine Learning and Combinatorial Fusion Analysis,Y,N,0,N
2602.15673,Medium,10,Leicester's Tale: Another Perspective on the EPL 2015/16 Through Expected Goals (xG) Modelling,Y,N,0,N
2512.04407,Medium,10,Learning Heterogeneous Ordinal Graphical Models via Bayesian Nonparametric Clustering,Y,N,0,N
2511.13326,Medium,10,TacEleven: generative tactic discovery for football open play,Y,N,0,N
2508.17611,Medium,10,Evaluating Movement Initiation Timing in Ultimate Frisbee via Temporal Counterfactuals,Y,N,0,N
2508.17157,Medium,10,SPORTSQL: An Interactive System for Real-Time Sports Reasoning and Visualization,Y,N,0,N
2507.10334,Medium,10,MoCap-Impute: A Comprehensive Benchmark and Comparative Analysis of Imputation Methods for IMU-based Motion Capture Data,Y,N,0,N
2507.02904,Medium,10,Enhancing Sports Strategy with Video Analytics and Data Mining: Assessing the effectiveness of Multimodal LLMs in tennis,Y,N,0,N
2507.01340,Medium,10,Physics-informed Ground Reaction Dynamics from Human Motion Capture,Y,N,0,N
2505.11841,Medium,10,Framing Causal Questions in Sports Analytics: A Tutorial on Estimand Choice Illustrated Through Crossing in Soccer,Y,N,0,N
2501.16565,Medium,10,Efficient inference of rankings from multi-body comparisons,Y,N,0,N
2404.06626,Medium,10,Why is soccer so popular: Understanding underdog achievement and randomness in team ball sports,Y,N,0,N
