team,motion_at_snap_pass_epa_per_play_allowed,motion_at_snap_run_epa_per_play_allowed,note
PIT,-0.85,-0.07,approx
BAL,-0.68,+0.11,approx
ATL,-0.66,-0.06,approx
SF,-0.60,-0.08,approx
PHI,-0.53,+0.06,approx
NYJ,-0.41,+0.04,approx
GB,-0.41,-0.09,approx
CIN,-0.34,+0.06,approx
LV,-0.30,+0.04,approx
KC,-0.32,-0.16,approx
IND,-0.10,+0.23,approx
NO,-0.03,+0.08,approx
SEA,-0.03,-0.47,approx
NE,+0.02,-0.07,approx
DEN,+0.04,-0.02,approx
DET,+0.03,-0.16,approx
ARI,+0.03,-0.35,approx
TB,+0.08,+0.19,approx
LAC,+0.13,-0.03,approx
CHI,+0.13,+0.06,approx
BUF,+0.18,+0.06,approx
WAS,+0.13,-0.38,approx
TEN,+0.28,+0.04,approx
NYG,+0.28,+0.12,approx
JAX,+0.31,-0.04,approx
MIA,+0.31,-0.13,approx
LAR,+0.40,+0.18,approx
DAL,+0.48,+0.14,approx
CAR,+0.48,+0.57,approx
HOU,+0.46,-0.36,approx
MIN,+0.60,+0.10,approx
CLE,+0.66,-0.13,approx
