rank,player,cmp_pct,fpts,fpts_g,fpts_opp,fpts_db,td
01,Baker Mayfield (TB),82.1,11.64,11.64,0.32,0.27,0
02,Jaxson Dart (NYG),79.3,26.60,26.60,0.68,0.68,3
03,Geno Smith (NYJ),79.2,9.30,9.30,0.34,0.36,0
04,Trevor Lawrence (JAX),78.3,26.10,26.10,1.00,1.07,4
05,Brock Purdy (SF),73.5,21.10,21.10,0.54,0.54,3
06,Jacoby Brissett (ARI),73,16.48,16.48,0.40,0.40,1
07,Drew Lock (SEA),72.7,12.78,12.78,0.53,0.50,1
08,Deshaun Watson (CLE),72.7,14.00,14.00,0.42,0.38,1
09,Caleb Williams (CHI),72.4,37.26,37.26,0.91,0.60,2
10,Joe Burrow (CIN),71.4,14.16,14.16,0.35,0.34,1
11,Lamar Jackson (BAL),70.8,24.96,24.96,0.83,0.65,1
12,Kirk Cousins (LV),70,13.80,13.80,0.43,0.48,3
13,Drake Maye (NE),69.7,9.82,9.82,0.23,0.14,1
14,C.J. Stroud (HOU),68.4,16.46,16.46,0.38,0.46,2
15,Jared Goff (DET),68.4,16.44,16.44,0.39,0.41,2
