rank,player,grade,trend,reps,pressures,over_exp
1,"Garett Bolles, OT - DEN",-3.1,+0.5,777,37,-37.5
2,"Warren McClendon, OT - LAR",-3.0,+0.6,555,23,-21.1
3,"Luke Goedeke, OT - TB",-2.9,-0.5,410,21,-17.2
4,"Cam Jurgens, OC - PHI",-2.8,+0.1,536,16,-24.2
5,"Zach Frazier, OC - PIT",-2.7,-0.9,674,24,-20.0
6,"Kelvin Banks, OT - NO",-2.6,-3.0,702,49,-17.7
7,"Jordan Mailata, OT - PHI",-2.5,-0.4,595,40,-20.4
8,"Darnell Wright, OT - CHI",-2.5,+0.4,747,49,-18.8
9,"Alreontae Ersery, OT - HOU",-2.4,-1.0,761,50,-22.2
10,"Quenton Nelson, OG - IND",-2.3,+1.8,691,28,-22.6
11,"Joe Alt, OT - LAC",-2.3,-2.3,223,11,-10.3
12,"Amarius Mims, OT - CIN",-2.2,-2.0,714,46,-16.3
13,"Kolton Miller, OT - LV",-2.1,-2.3,179,5,-10.6
14,"Paris Johnson, OT - ARI",-2.1,-1.7,568,40,-11.9
15,"Anton Harrison, OT - JAX",-2.1,-1.3,631,44,-12.2
16,"Troy Fautanu, OG - PIT",-2.0,+1.7,682,37,-24.4
17,"Tate Ratledge, OG - DET",-2.0,-1.7,713,38,-14.2
18,"Alaric Jackson, OT - LAR",-2.0,+1.3,736,39,-24.6
19,"Ted Karras, OC - CIN",-1.9,-1.1,761,32,-16.6
20,"Charles Cross, OT - SEA",-1.9,-0.6,556,33,-18.4
