rank,player,grade,trend,reps,pressures,over_exp
1,"Aidan Hutchinson, DE - DET",+4.7,+2.1,597,87,+34.4
2,"Jeffery Simmons, DT - TEN",+4.4,+1.6,451,66,+30.8
3,"Gregory Rousseau, DE - BUF",+4.3,+1.2,427,62,+23.8
4,"Myles Garrett, DE - CLE",+4.3,-1.2,490,75,+35.6
5,"Josh Hines-Allen, DE - JAX",+4.2,+0.7,555,85,+34.9
6,"Will Anderson, DE - HOU",+4.2,-0.1,505,85,+38.1
7,"Tuli Tulipulotu, DE - LAC",+3.7,+0.2,416,62,+24.1
8,"Nik Bonitto, DE - DEN",+3.5,-0.8,436,67,+28.0
9,"Chase Young, DE - NO",+3.4,+0.7,294,45,+17.1
10,"Jadeveon Clowney, DE - HOU",+3.3,+0.3,211,33,+13.4
11,"Jared Verse, DE - LAR",+3.1,-0.9,598,82,+30.1
12,"Dallas Turner, DE - MIN",+3.0,+3.5,296,38,+8.3
13,"Chris Jones, DT - KC",+3.0,-0.8,476,60,+20.7
14,"Jalyx Hunt, DE - PHI",+3.0,+1.5,356,49,+15.6
15,"Danielle Hunter, DE - HOU",+3.0,+0.8,537,69,+22.3
16,"Zach Allen, DE - DEN",+2.7,-0.7,587,76,+27.1
17,"Al-Quadin Muhammad, DE - TB",+2.6,+0.6,323,44,+15.9
18,"Abdul Carter, DE - NYG",+2.5,-0.3,477,57,+12.9
19,"Christian Barmore, DE - NE",+2.5,+0.7,522,61,+18.2
20,"Osa Odighizuwa, DT - SF",+2.2,+1.7,404,48,+13.2
