rank,player,penalties,penalty_yards,team_logo_read,team_note
1,M.Melton,1,48,ARI,
2,K.Lassiter,1,46,HOU,
3,Aj.Terrell,2,42,ATL,
4,G.Newsome,1,38,NYG,logo shows NY
5,J.Jobe,1,34,SEA,
6,A.Phillips,3,31,NYG,
7,R.Ya-Sin,2,26,DET,uncertain logo read
8,D.Jackson,1,24,LAC,
8,D.Burke,1,24,ARI,
10,C.Benford,1,21,BUF,
11,C.Jurgens,2,20,PHI,
11,J.Brents,2,20,MIA,
11,P.Johnson,2,20,ARI,
11,Z.Johnson,2,20,CLE,
11,P.Bryant,2,20,DEN,
11,W.Campbell,2,20,NE,
11,O.Ioane,2,20,,"purple logo, unidentified"
11,J.Bullard,2,20,GB,
11,R.Stanley,2,20,BAL,
20,R.Green,1,16,SF,
21,M.Edwards,1,15,HOU,uncertain
21,S.Diggs,1,15,,unidentified logo
21,D.Montgomery,1,15,,unidentified logo
21,J.Latham,2,15,TEN,
21,E.Williams,1,15,GB,
21,D.Hall,1,15,SEA,
21,T.Smith,1,15,KC,
21,C.Surratt,1,15,,unidentified logo
21,J.Holland,1,15,NYG,
21,J.Williams,1,15,DAL,
