rank,qb,team,aggressiveness_pct
1,Willis,MIA,22
2,Brissett,ARI,22
3,Stroud,HOU,21
4,Stafford,LAR,20
5,Herbert,LAC,19
6,Purdy,SF,18
7,Dart,NYG,17
8,Young,CAR,16
9,Jackson,BAL,16
10,Goff,DET,15
11,Rodgers,PIT,15
12,Prescott,DAL,15
13,Daniels,WAS,15
14,Shough,NO,14
15,Burrow,CIN,14
16,Williams,CHI,14
17,Watson,CLE,14
18,Lock,SEA,14
19,Lawrence,JAX,13
20,Jones,IND,13
21,Smith,NYJ,12
22,Mayfield,TB,11
23,Nix,DEN,11
24,Wentz,MIN,11
25,Cousins,LV,10
26,Love,GB,10
27,Hurts,PHI,8
28,Allen,BUF,7
29,Ward,TEN,6
30,Maye,NE,6
31,Rush,ATL,5
32,Mahomes,KC,4
