player,first_read_pct,second_read_pct,designated_receiver_pct,checkdown_pct,scramble_pct
J.Love,78.6,7.1,0.0,2.4,11.9
J.Brissett,77.5,0.0,5.0,10.0,7.5
J.Dart,67.7,16.1,3.2,6.5,6.5
B.Young,65.0,2.5,5.0,7.5,20.0
D.Lock,64.0,0.0,8.0,12.0,16.0
T.Lawrence,63.6,9.1,18.2,0.0,9.1
C.Stroud,62.2,11.1,6.7,6.7,13.3
J.Burrow,62.2,5.4,8.1,16.2,8.1
J.Herbert,61.1,8.3,11.1,0.0,19.4
A.Rodgers,60.5,2.3,7.0,18.6,11.6
J.Allen,60.0,11.4,5.7,11.4,11.4
D.Jones,56.7,23.3,10.0,10.0,0.0
C.Rush,54.2,4.2,20.8,16.7,4.2
K.Cousins,53.1,18.8,9.4,15.6,3.1
G.Smith,51.9,29.6,11.1,0.0,7.4
L.Jackson,51.7,34.5,3.4,0.0,10.3
B.Nix,51.6,3.2,19.4,12.9,12.9
C.Wentz,50.0,22.7,9.1,13.6,4.5
D.Watson,50.0,3.6,7.1,17.9,21.4
M.Willis,48.6,8.6,8.6,8.6,25.7
M.Stafford,48.3,31.0,3.4,10.3,6.9
D.Prescott,47.5,27.5,7.5,10.0,7.5
T.Shough,46.9,20.3,3.1,14.1,15.6
J.Daniels,44.1,14.7,14.7,5.9,20.6
C.Ward,43.8,9.4,12.5,15.6,18.8
B.Mayfield,42.9,2.9,11.4,25.7,17.1
D.Maye,42.5,0.0,15.0,15.0,27.5
P.Mahomes,40.6,6.2,21.9,15.6,15.6
J.Goff,40.0,25.0,7.5,22.5,5.0
C.Williams,39.5,0.0,7.9,18.4,34.2
J.Hurts,39.3,14.3,10.7,10.7,25.0
B.Purdy,27.0,27.0,18.9,16.2,10.8
