team,season,n_plays_def,n_dropbacks_def,n_rushes_def,n_def_drives,int_forced,int_forced_rate_per_dropback,forced_fumbles,forced_fumble_rate_per_play,opp_fumble_recovery_share,tfl,tfl_rate_per_rush,takeaways,takeaway_rate_per_drive,defensive_tds,defensive_td_rate_per_drive,points_allowed_per_drive,int_forced_rate_per_dropback_pct,forced_fumble_rate_per_play_pct,opp_fumble_recovery_share_pct,tfl_rate_per_rush_pct,takeaway_rate_per_drive_pct,defensive_td_rate_per_drive_pct,points_allowed_per_drive_pct
ARI,2026,45,29,16,10,1,0.03448,1,0.02222,1.00000,3,0.18750,2,0.20000,0,0.00000,1.40000,67.74194,58.06452,81.57895,87.09677,82.25806,45.16129,22.58065
ATL,2026,59,43,16,13,0,0.00000,1,0.01695,1.00000,2,0.12500,1,0.07692,0,0.00000,1.53846,22.58065,41.93548,81.57895,79.03226,33.87097,45.16129,29.03226
BAL,2026,43,24,19,12,1,0.04167,1,0.02326,1.00000,4,0.21053,2,0.16667,0,0.00000,1.91667,87.09677,66.12903,81.57895,96.77419,66.12903,45.16129,38.70968
BUF,2026,73,42,31,11,0,0.00000,2,0.02740,1.00000,3,0.09677,2,0.18182,0,0.00000,2.81818,22.58065,72.58065,81.57895,59.67742,74.19355,45.16129,64.51613
CAR,2026,54,32,22,14,0,0.00000,1,0.01852,1.00000,2,0.09091,1,0.07143,0,0.00000,4.21429,22.58065,45.16129,81.57895,51.61290,27.41935,45.16129,96.77419
CHI,2026,45,31,14,13,1,0.03226,1,0.02222,1.00000,0,0.00000,2,0.15385,0,0.00000,2.84615,61.29032,58.06452,81.57895,12.90323,59.67742,45.16129,67.74194
CIN,2026,50,35,15,8,0,0.00000,4,0.08000,1.00000,1,0.06667,4,0.50000,1,0.12500,3.37500,22.58065,100.00000,81.57895,41.93548,100.00000,100.00000,87.09677
CLE,2026,49,24,25,8,0,0.00000,1,0.02041,0.00000,2,0.08000,0,0.00000,0,0.00000,4.25000,22.58065,51.61290,13.15789,46.77419,11.29032,45.16129,100.00000
DAL,2026,58,32,26,7,0,0.00000,4,0.06897,0.25000,0,0.00000,1,0.14286,0,0.00000,4.00000,22.58065,96.77419,31.57895,12.90323,53.22581,45.16129,93.54839
DEN,2026,50,28,22,12,1,0.03571,2,0.04000,0.00000,1,0.04545,1,0.08333,0,0.00000,2.58333,72.58065,87.09677,13.15789,35.48387,40.32258,45.16129,54.83871
DET,2026,86,63,23,14,2,0.03175,2,0.02326,0.50000,1,0.04348,3,0.21429,0,0.00000,2.14286,58.06452,66.12903,47.36842,32.25806,87.09677,45.16129,45.16129
GB,2026,55,30,25,12,1,0.03333,0,0.00000,,2,0.08000,1,0.08333,0,0.00000,3.25000,64.51613,17.74194,,46.77419,40.32258,45.16129,80.64516
HOU,2026,52,33,19,11,0,0.00000,2,0.03846,0.00000,2,0.10526,0,0.00000,0,0.00000,3.27273,22.58065,83.87097,13.15789,70.96774,11.29032,45.16129,83.87097
IND,2026,45,26,19,13,0,0.00000,1,0.02222,1.00000,0,0.00000,1,0.07692,0,0.00000,3.15385,22.58065,58.06452,81.57895,12.90323,33.87097,45.16129,77.41935
JAX,2026,32,22,10,9,1,0.04545,2,0.06250,0.50000,1,0.10000,2,0.22222,0,0.00000,1.11111,90.32258,93.54839,47.36842,66.12903,91.93548,45.16129,12.90323
KC,2026,37,26,11,11,1,0.03846,2,0.05405,0.50000,0,0.00000,2,0.18182,0,0.00000,0.90909,80.64516,90.32258,47.36842,12.90323,74.19355,45.16129,3.22581
LA,2026,55,34,21,9,1,0.02941,0,0.00000,,0,0.00000,1,0.11111,0,0.00000,3.00000,54.83871,17.74194,,12.90323,46.77419,45.16129,74.19355
LAC,2026,64,38,26,10,0,0.00000,0,0.00000,,1,0.03846,0,0.00000,0,0.00000,2.60000,22.58065,17.74194,,29.03226,11.29032,45.16129,58.06452
LV,2026,38,26,12,11,1,0.03846,0,0.00000,,2,0.16667,2,0.18182,0,0.00000,1.18182,80.64516,17.74194,,83.87097,74.19355,45.16129,19.35484
MIA,2026,51,26,25,10,1,0.03846,0,0.00000,,3,0.12000,2,0.20000,0,0.00000,2.70000,80.64516,17.74194,,74.19355,82.25806,45.16129,61.29032
MIN,2026,56,35,21,12,1,0.02857,2,0.03571,0.50000,4,0.19048,2,0.16667,0,0.00000,1.83333,50.00000,80.64516,47.36842,90.32258,66.12903,45.16129,33.87097
NE,2026,47,27,20,9,0,0.00000,0,0.00000,,1,0.05000,0,0.00000,0,0.00000,1.44444,22.58065,17.74194,,38.70968,11.29032,45.16129,25.80645
NO,2026,73,41,32,14,0,0.00000,2,0.02740,0.50000,3,0.09375,1,0.07143,0,0.00000,2.21429,22.58065,72.58065,47.36842,54.83871,27.41935,45.16129,51.61290
NYG,2026,44,28,16,7,1,0.03571,0,0.00000,,0,0.00000,1,0.14286,0,0.00000,2.85714,72.58065,17.74194,,12.90323,53.22581,45.16129,70.96774
NYJ,2026,32,24,8,9,0,0.00000,0,0.00000,,0,0.00000,0,0.00000,0,0.00000,1.11111,22.58065,17.74194,,12.90323,11.29032,45.16129,12.90323
PHI,2026,68,39,29,12,0,0.00000,1,0.01471,0.00000,0,0.00000,0,0.00000,0,0.00000,1.83333,22.58065,38.70968,13.15789,12.90323,11.29032,45.16129,33.87097
PIT,2026,57,26,31,13,2,0.07692,2,0.03509,0.00000,3,0.09677,2,0.15385,1,0.07692,1.00000,100.00000,77.41935,13.15789,59.67742,59.67742,93.54839,6.45161
SEA,2026,67,42,25,9,3,0.07143,0,0.00000,,5,0.20000,3,0.33333,0,0.00000,1.11111,96.77419,17.74194,,93.54839,96.77419,45.16129,12.90323
SF,2026,36,16,20,9,1,0.06250,0,0.00000,,2,0.10000,2,0.22222,0,0.00000,0.77778,93.54839,17.74194,,66.12903,91.93548,45.16129,0.00000
TB,2026,51,35,16,9,1,0.02857,0,0.00000,,2,0.12500,1,0.11111,1,0.11111,3.66667,50.00000,17.74194,,79.03226,46.77419,96.77419,90.32258
TEN,2026,50,25,25,11,0,0.00000,1,0.02000,0.00000,0,0.00000,0,0.00000,0,0.00000,2.09091,22.58065,48.38710,13.15789,12.90323,11.29032,45.16129,41.93548
WAS,2026,51,33,18,11,0,0.00000,0,0.00000,,4,0.22222,0,0.00000,0,0.00000,2.18182,22.58065,17.74194,,100.00000,11.29032,45.16129,48.38710
