team,season,side,down_group,n_plays,epa_per_play,success_rate
ARI,2026,offense,early_1_2,53,0.18227,0.50943
ARI,2026,offense,late_3_4,11,0.30252,0.54545
ARI,2026,defense,early_1_2,38,0.10374,0.44737
ARI,2026,defense,late_3_4,7,0.42059,0.28571
ATL,2026,offense,early_1_2,45,-0.21319,0.44444
ATL,2026,offense,late_3_4,12,-0.72533,0.16667
ATL,2026,defense,early_1_2,45,0.14211,0.35556
ATL,2026,defense,late_3_4,14,0.85581,0.21429
BAL,2026,offense,early_1_2,38,0.27322,0.44737
BAL,2026,offense,late_3_4,7,0.02214,0.28571
BAL,2026,defense,early_1_2,34,0.37789,0.38235
BAL,2026,defense,late_3_4,9,-0.03517,0.33333
BUF,2026,offense,early_1_2,41,0.24179,0.41463
BUF,2026,offense,late_3_4,10,0.29552,0.40000
BUF,2026,defense,early_1_2,55,-0.08938,0.45455
BUF,2026,defense,late_3_4,18,-0.00635,0.50000
CAR,2026,offense,early_1_2,37,0.27988,0.51351
CAR,2026,offense,late_3_4,8,-0.80056,0.25000
CAR,2026,defense,early_1_2,43,-0.37511,0.55814
CAR,2026,defense,late_3_4,11,-0.30016,0.54545
CHI,2026,offense,early_1_2,43,0.37511,0.55814
CHI,2026,offense,late_3_4,11,0.30016,0.54545
CHI,2026,defense,early_1_2,37,-0.27988,0.51351
CHI,2026,defense,late_3_4,8,0.80056,0.25000
CIN,2026,offense,early_1_2,40,0.11535,0.45000
CIN,2026,offense,late_3_4,11,-0.39528,0.54545
CIN,2026,defense,early_1_2,40,0.14605,0.45000
CIN,2026,defense,late_3_4,10,0.48153,0.50000
CLE,2026,offense,early_1_2,26,-0.45187,0.42308
CLE,2026,offense,late_3_4,6,-0.67081,0.16667
CLE,2026,defense,early_1_2,41,-0.39208,0.58537
CLE,2026,defense,late_3_4,8,-0.43951,0.75000
DAL,2026,offense,early_1_2,35,0.11578,0.45714
DAL,2026,offense,late_3_4,9,0.41618,0.55556
DAL,2026,defense,early_1_2,49,-0.24255,0.57143
DAL,2026,defense,late_3_4,9,-1.23680,0.88889
DEN,2026,offense,early_1_2,27,-0.01307,0.40741
DEN,2026,offense,late_3_4,10,-0.92984,0.30000
DEN,2026,defense,early_1_2,36,0.15526,0.30556
DEN,2026,defense,late_3_4,14,-0.82181,0.57143
DET,2026,offense,early_1_2,60,0.02796,0.46667
DET,2026,offense,late_3_4,13,-0.12675,0.38462
DET,2026,defense,early_1_2,66,0.02436,0.39394
DET,2026,defense,late_3_4,19,0.00438,0.52632
GB,2026,offense,early_1_2,45,0.10999,0.42222
GB,2026,offense,late_3_4,11,-1.27544,0.18182
GB,2026,defense,early_1_2,41,0.26230,0.26829
GB,2026,defense,late_3_4,13,-0.54857,0.61538
HOU,2026,offense,early_1_2,55,0.08938,0.45455
HOU,2026,offense,late_3_4,18,0.00635,0.50000
HOU,2026,defense,early_1_2,41,-0.24179,0.41463
HOU,2026,defense,late_3_4,10,-0.29552,0.40000
IND,2026,offense,early_1_2,34,-0.37789,0.38235
IND,2026,offense,late_3_4,9,0.03517,0.33333
IND,2026,defense,early_1_2,38,-0.27322,0.44737
IND,2026,defense,late_3_4,7,-0.02214,0.28571
JAX,2026,offense,early_1_2,41,0.39208,0.58537
JAX,2026,offense,late_3_4,8,0.43951,0.75000
JAX,2026,defense,early_1_2,26,0.45187,0.42308
JAX,2026,defense,late_3_4,6,0.67081,0.16667
KC,2026,offense,early_1_2,36,-0.15526,0.30556
KC,2026,offense,late_3_4,14,0.82181,0.57143
KC,2026,defense,early_1_2,27,0.01307,0.40741
KC,2026,defense,late_3_4,10,0.92984,0.30000
LA,2026,offense,early_1_2,28,0.20391,0.53571
LA,2026,offense,late_3_4,8,-1.07018,0.25000
LA,2026,defense,early_1_2,46,-0.23672,0.60870
LA,2026,defense,late_3_4,9,-0.39376,0.66667
LAC,2026,offense,early_1_2,38,-0.10374,0.44737
LAC,2026,offense,late_3_4,7,-0.42059,0.28571
LAC,2026,defense,early_1_2,53,-0.18227,0.50943
LAC,2026,defense,late_3_4,11,-0.30252,0.54545
LV,2026,offense,early_1_2,42,-0.01696,0.47619
LV,2026,offense,late_3_4,9,1.20382,0.66667
LV,2026,defense,early_1_2,31,-0.02102,0.38710
LV,2026,defense,late_3_4,7,0.55380,0.42857
MIA,2026,offense,early_1_2,31,0.02102,0.38710
MIA,2026,offense,late_3_4,7,-0.55380,0.42857
