team,n_drives,points_per_drive,td_rate,fg_rate,punt_rate,three_and_out_rate,turnover_drive_rate,downs_rate,avg_drive_start_own,season
ARI,10,2.60000,0.20000,0.40000,0.30000,0.10000,0.00000,0.00000,33.66667,2026
ATL,13,1.00000,0.07692,0.15385,0.46154,0.15385,0.15385,0.00000,36.53846,2026
BAL,13,2.92308,0.38462,0.15385,0.23077,0.15385,0.07692,0.07692,36.61538,2026
BUF,11,3.27273,0.36364,0.27273,0.18182,0.09091,0.00000,0.09091,29.10000,2026
CAR,13,2.84615,0.38462,0.07692,0.23077,0.23077,0.15385,0.07692,35.61538,2026
CHI,14,3.78571,0.57143,0.07143,0.14286,0.14286,0.07143,0.07143,36.15385,2026
CIN,9,2.55556,0.22222,0.44444,0.11111,0.11111,0.11111,0.00000,32.66667,2026
CLE,9,1.11111,0.11111,0.11111,0.33333,0.22222,0.22222,0.11111,32.37500,2026
DAL,7,2.85714,0.42857,0.00000,0.28571,0.14286,0.14286,0.00000,20.83333,2026
DEN,11,0.90909,0.09091,0.09091,0.54545,0.36364,0.18182,0.09091,31.30000,2026
DET,14,2.21429,0.28571,0.07143,0.50000,0.28571,0.07143,0.00000,33.75000,2026
GB,12,1.83333,0.16667,0.25000,0.25000,0.08333,0.16667,0.16667,31.33333,2026
HOU,11,2.81818,0.36364,0.09091,0.36364,0.36364,0.18182,0.00000,26.45455,2026
IND,12,1.91667,0.25000,0.08333,0.41667,0.25000,0.16667,0.08333,29.27273,2026
JAX,8,4.25000,0.50000,0.25000,0.25000,0.00000,0.00000,0.00000,32.12500,2026
KC,12,2.58333,0.33333,0.08333,0.33333,0.08333,0.08333,0.08333,31.83333,2026
LA,9,0.77778,0.11111,0.00000,0.33333,0.11111,0.22222,0.22222,32.25000,2026
LAC,10,1.40000,0.20000,0.00000,0.30000,0.10000,0.20000,0.30000,25.40000,2026
LV,10,2.70000,0.30000,0.20000,0.30000,0.20000,0.20000,0.00000,32.22222,2026
MIA,11,1.18182,0.09091,0.18182,0.36364,0.27273,0.18182,0.09091,34.40000,2026
MIN,12,2.75000,0.41667,0.08333,0.33333,0.16667,0.08333,0.00000,40.45455,2026
NE,9,1.11111,0.11111,0.11111,0.44444,0.11111,0.33333,0.00000,18.55556,2026
NO,14,1.64286,0.28571,0.07143,0.35714,0.07143,0.21429,0.00000,25.85714,2026
NYG,7,4.00000,0.57143,0.00000,0.14286,0.00000,0.14286,0.00000,25.28571,2026
NYJ,11,1.81818,0.18182,0.27273,0.27273,0.27273,0.00000,0.00000,26.87500,2026
PHI,11,2.18182,0.27273,0.09091,0.63636,0.36364,0.00000,0.00000,31.63636,2026
PIT,13,1.00000,0.07692,0.15385,0.30769,0.30769,0.07692,0.15385,29.66667,2026
SEA,9,1.44444,0.11111,0.22222,0.55556,0.00000,0.00000,0.00000,29.12500,2026
SF,9,3.00000,0.33333,0.22222,0.22222,0.11111,0.11111,0.00000,26.25000,2026
TB,8,2.50000,0.25000,0.25000,0.00000,0.00000,0.50000,0.00000,32.14286,2026
TEN,9,1.11111,0.11111,0.11111,0.77778,0.44444,0.00000,0.00000,29.22222,2026
WAS,12,1.83333,0.25000,0.08333,0.50000,0.41667,0.00000,0.00000,25.18182,2026
