team,season,side,split,n,mean,p10,p25,median,p75,p90,share_neg_epa,share_chunk_epa
ARI,2025,offense,all,933,-0.02765,-1.28311,-0.67257,-0.19615,0.72879,1.53478,0.57342,0.17149
ARI,2025,offense,dropback,640,0.01905,-1.42609,-0.72794,-0.19352,0.92093,1.84229,0.55156,0.21406
ARI,2025,offense,rush,293,-0.12965,-0.90335,-0.53175,-0.22204,0.36582,0.88946,0.62116,0.07850
ARI,2025,defense,all,934,-0.07848,-1.63751,-0.80404,0.08919,0.54671,1.12493,0.47966,0.11777
ARI,2025,defense,dropback,559,-0.14231,-1.90361,-1.02092,-0.02399,0.63315,1.38409,0.50984,0.14132
ARI,2025,defense,rush,375,0.01667,-1.08420,-0.54940,0.15033,0.47845,0.90254,0.43467,0.08267
ATL,2025,offense,all,947,0.00597,-1.33320,-0.63962,-0.12924,0.74852,1.65429,0.55333,0.19324
ATL,2025,offense,dropback,545,0.03970,-1.52986,-0.83544,-0.12144,1.05083,1.91255,0.53578,0.26606
ATL,2025,offense,rush,402,-0.03977,-0.93379,-0.48198,-0.15384,0.42261,0.93946,0.57711,0.09453
ATL,2025,defense,all,958,0.02628,-1.66644,-0.64620,0.18498,0.64149,1.30788,0.43841,0.15031
ATL,2025,defense,dropback,575,0.02731,-1.91305,-0.83236,0.30323,0.80325,1.56239,0.44174,0.19478
ATL,2025,defense,rush,383,0.02474,-0.95269,-0.39411,0.08805,0.48311,0.88639,0.43342,0.08355
BAL,2025,offense,all,849,0.05696,-1.33900,-0.58921,-0.11871,0.76300,1.74255,0.54417,0.20259
BAL,2025,offense,dropback,449,0.05828,-1.56907,-0.81031,-0.09710,1.05300,2.11364,0.51893,0.26726
BAL,2025,offense,rush,400,0.05547,-0.78680,-0.47339,-0.13218,0.61733,1.30124,0.57250,0.13000
BAL,2025,defense,all,906,-0.05308,-1.79534,-0.72308,0.15192,0.61287,1.20108,0.44702,0.12583
BAL,2025,defense,dropback,588,-0.11137,-2.08255,-0.92823,0.14888,0.69848,1.37773,0.46088,0.14966
BAL,2025,defense,rush,318,0.05471,-0.94716,-0.39490,0.15720,0.50865,0.87943,0.42138,0.08176
BUF,2025,offense,all,958,0.13196,-1.19397,-0.54440,-0.04157,0.78994,1.81666,0.51357,0.20042
BUF,2025,offense,dropback,539,0.17357,-1.43251,-0.77323,-0.08326,1.14435,2.21428,0.51206,0.27458
BUF,2025,offense,rush,419,0.07844,-0.68008,-0.39911,-0.03706,0.63517,1.01569,0.51551,0.10501
BUF,2025,defense,all,857,0.03172,-1.57953,-0.69396,0.19719,0.70308,1.24240,0.42590,0.15053
BUF,2025,defense,dropback,478,0.10757,-1.84008,-0.96302,0.30055,0.83489,1.56358,0.41841,0.20711
BUF,2025,defense,rush,379,-0.06394,-1.07085,-0.51386,0.11776,0.48595,0.88772,0.43536,0.07916
CAR,2025,offense,all,897,-0.07190,-1.34578,-0.60104,-0.21141,0.63614,1.50441,0.57637,0.18060
CAR,2025,offense,dropback,518,-0.08673,-1.61393,-0.77795,-0.27578,0.83717,1.79073,0.57529,0.22973
CAR,2025,offense,rush,379,-0.05163,-0.82910,-0.49241,-0.18398,0.34744,1.06374,0.57784,0.11346
CAR,2025,defense,all,911,-0.07611,-1.77585,-0.71781,0.12924,0.55465,1.18957,0.44676,0.12623
CAR,2025,defense,dropback,533,-0.12511,-2.09149,-1.03591,0.11381,0.71878,1.41434,0.47467,0.15760
CAR,2025,defense,rush,378,-0.00703,-1.01590,-0.40010,0.14836,0.44545,0.90484,0.40741,0.08201
CHI,2025,offense,all,1025,0.09535,-1.11999,-0.59330,-0.08692,0.81967,1.60609,0.53073,0.20683
CHI,2025,offense,dropback,607,0.12346,-1.35850,-0.65709,-0.17731,1.01520,1.85409,0.54695,0.25700
CHI,2025,offense,rush,418,0.05452,-0.86168,-0.44988,-0.01056,0.62660,1.15091,0.50718,0.13397
CHI,2025,defense,all,928,-0.01468,-1.59784,-0.71649,0.11857,0.55119,1.25202,0.46121,0.13793
CHI,2025,defense,dropback,524,-0.04979,-2.06265,-1.01744,0.10194,0.71634,1.55497,0.47710,0.18702
CHI,2025,defense,rush,404,0.03087,-0.97249,-0.45340,0.12765,0.44970,0.81738,0.44059,0.07426
CIN,2025,offense,all,918,-0.00139,-1.13998,-0.54117,-0.14589,0.68497,1.66235,0.54248,0.18736
CIN,2025,offense,dropback,603,-0.03946,-1.39680,-0.73562,-0.20902,0.89441,1.89273,0.55058,0.23383
CIN,2025,offense,rush,315,0.07149,-0.60911,-0.39480,-0.07768,0.48878,0.97772,0.52698,0.09841
CIN,2025,defense,all,914,-0.13970,-1.79655,-0.81660,0.02412,0.51940,1.10382,0.48687,0.11816
CIN,2025,defense,dropback,545,-0.17980,-2.03975,-1.13282,-0.03598,0.64906,1.44671,0.50826,0.15780
CIN,2025,defense,rush,369,-0.08048,-1.18997,-0.52061,0.05830,0.41288,0.78568,0.45528,0.05962
CLE,2025,offense,all,878,-0.17375,-1.34249,-0.75770,-0.32768,0.45862,1.42440,0.65718,0.14806
CLE,2025,offense,dropback,530,-0.22450,-1.51917,-0.88464,-0.39974,0.58490,1.59573,0.65660,0.18491
CLE,2025,offense,rush,348,-0.09647,-0.99015,-0.56481,-0.25858,0.32900,0.92783,0.65805,0.09195
CLE,2025,defense,all,893,0.07535,-1.49537,-0.65269,0.24753,0.74272,1.35402,0.41209,0.16349
CLE,2025,defense,dropback,513,0.11071,-1.87782,-0.85081,0.32467,0.92034,1.52181,0.42105,0.21832
CLE,2025,defense,rush,380,0.02760,-1.06136,-0.51143,0.20622,0.53678,0.96920,0.40000,0.08947
DAL,2025,offense,all,981,0.13536,-1.08461,-0.55077,-0.08397,0.78198,1.80847,0.52803,0.19266
DAL,2025,offense,dropback,602,0.20904,-1.32909,-0.65536,-0.06788,1.07034,2.22540,0.51329,0.26412
DAL,2025,offense,rush,379,0.01833,-0.78180,-0.42606,-0.10856,0.51298,0.91311,0.55145,0.07916
DAL,2025,defense,all,916,-0.17914,-1.94326,-0.86121,0.02238,0.55716,1.13300,0.49236,0.11463
