team,season,stuff_rate,stuff_rate_allowed,air_epa_per_dropback,yac_epa_per_dropback,air_yards_per_dropback,def_air_epa_allowed,def_yac_epa_allowed,def_air_yards_allowed,n_late_close,late_close_epa,late_close_success,late_close_def_epa
ARI,2026,0.19231,0.25000,0.33569,-0.04896,7.64865,-0.69465,0.49245,10.27273,4,-0.06315,0.25000,0.95776
ATL,2026,0.22581,0.31250,-0.35207,-0.04673,3.50000,-0.71639,0.98341,9.92683,7,-1.83394,0.14286,
BAL,2026,0.05263,0.26316,0.98257,-0.50882,11.04762,-0.06244,0.65727,5.63636,0,,,
BUF,2026,0.15789,0.25806,0.83390,-0.18724,13.20690,-0.36509,0.09774,8.47368,16,0.35282,0.37500,0.08386
CAR,2026,0.00000,0.13636,0.62151,-0.39015,8.89286,-0.81507,0.36006,12.62500,0,,,
CHI,2026,0.13636,0.00000,0.81507,-0.36006,12.62500,-0.62151,0.39015,8.89286,0,,,
CIN,2026,0.12500,0.20000,0.17666,-0.16198,6.39394,0.04563,-0.27939,4.70370,0,,,
CLE,2026,0.20000,0.16000,0.18315,-0.83472,8.70588,-0.77900,-0.13506,10.52174,0,,,
DAL,2026,0.18750,0.03846,0.36012,-0.10227,8.03846,-0.49546,-0.30724,8.57143,0,,,
DEN,2026,0.00000,0.09091,-0.11334,-0.01030,3.61905,-0.11275,0.30174,6.13043,0,,,
DET,2026,0.12500,0.17391,0.22630,-0.19373,5.30769,-0.53809,0.34858,8.76364,3,-0.34257,0.33333,-0.16971
GB,2026,0.23810,0.20000,0.84211,-0.58509,11.40625,-0.52179,0.46976,7.73913,4,-1.17331,0.25000,-0.10307
HOU,2026,0.25806,0.15789,0.36509,-0.09774,8.47368,-0.83390,0.18724,13.20690,22,-0.08386,0.40909,-0.35282
IND,2026,0.26316,0.05263,0.06244,-0.65727,5.63636,-0.98257,0.50882,11.04762,0,,,
JAX,2026,0.16000,0.20000,0.77900,0.13506,10.52174,-0.18315,0.83472,8.70588,0,,,
KC,2026,0.09091,0.00000,0.11275,-0.30174,6.13043,0.11334,0.01030,3.61905,0,,,
LA,2026,0.20000,0.09524,0.32124,-0.43361,9.43750,-0.24840,0.01888,4.81250,0,,,
LAC,2026,0.25000,0.19231,0.69465,-0.49245,10.27273,-0.33569,0.04896,7.64865,3,-0.95776,0.00000,0.06315
LV,2026,0.16000,0.25000,0.35325,-0.11566,6.84000,-0.65063,0.45561,12.00000,0,,,
MIA,2026,0.25000,0.16000,0.65063,-0.45561,12.00000,-0.35325,0.11566,6.84000,0,,,
MIN,2026,0.20000,0.23810,0.52179,-0.46976,7.73913,-0.84211,0.58509,11.40625,10,0.10307,0.50000,1.17331
NE,2026,0.28000,0.15000,0.33471,-0.41268,6.69697,-0.35609,0.03409,6.41667,20,-0.13545,0.45000,-0.13871
NO,2026,0.17391,0.12500,0.53809,-0.34858,8.76364,-0.22630,0.19373,5.30769,8,0.16971,0.62500,0.34257
NYG,2026,0.03846,0.18750,0.49546,0.30724,8.57143,-0.36012,0.10227,8.03846,0,,,
NYJ,2026,0.12000,0.00000,0.15042,0.28763,7.08696,-0.25173,0.64478,6.73684,0,,,
PHI,2026,0.22222,0.17241,0.61216,-0.35712,9.00000,-0.79437,0.62191,9.32353,8,0.74359,0.50000,-0.74386
PIT,2026,0.31250,0.22581,0.71639,-0.98341,9.92683,0.35207,0.04673,3.50000,0,,,1.83394
SEA,2026,0.15000,0.28000,0.35609,-0.03409,6.41667,-0.33471,0.41268,6.69697,11,0.13871,0.54545,0.13545
SF,2026,0.09524,0.20000,0.24840,-0.01888,4.81250,-0.32124,0.43361,9.43750,0,,,
TB,2026,0.20000,0.12500,-0.04563,0.27939,4.70370,-0.17666,0.16198,6.39394,0,,,
TEN,2026,0.00000,0.12000,0.25173,-0.64478,6.73684,-0.15042,-0.28763,7.08696,0,,,
WAS,2026,0.17241,0.22222,0.79437,-0.62191,9.32353,-0.61216,0.35712,9.00000,3,0.74386,0.33333,-0.74359
