team,season,n_games,kickers,fg_att_total,fg_made_total,fg_make_rate,fg_epa_per_attempt,xp_att,xp_made,xp_make_rate,xp_epa_per_attempt,fg_att_u30,fg_made_u30,fg_make_rate_u30,fg_att_u30_per_game,fg_att_b30_39,fg_made_b30_39,fg_make_rate_b30_39,fg_att_b30_39_per_game,fg_att_b40_49,fg_made_b40_49,fg_make_rate_b40_49,fg_att_b40_49_per_game,fg_att_b50p,fg_made_b50p,fg_make_rate_b50p,fg_att_b50p_per_game,kicking_points_per_game,fg_make_rate_pct,xp_make_rate_pct,kicking_points_per_game_pct,fg_epa_per_attempt_pct,xp_epa_per_attempt_pct
ARI,2025,17,C.Ryland,33,25,0.75758,-0.14830,36,36,1.00000,0.06644,5,5,1.00000,0.29412,8,7,0.87500,0.47059,10,7,0.70000,0.58824,10,6,0.60000,0.58824,6.52941,6.45161,88.70968,25.80645,9.67742,90.32258
ATL,2025,17,J.Romo;Y.Koo;Z.Gonzalez,39,32,0.82051,-0.16492,33,31,0.93939,0.00664,3,3,1.00000,0.17647,13,11,0.84615,0.76471,12,10,0.83333,0.70588,11,8,0.72727,0.64706,7.47059,25.80645,25.80645,51.61290,6.45161,25.80645
BAL,2025,17,T.Loop,34,30,0.88235,0.07612,46,44,0.95652,0.02374,10,10,1.00000,0.58824,11,11,1.00000,0.64706,9,8,0.88889,0.52941,4,1,0.25000,0.23529,7.88235,62.90323,35.48387,69.35484,32.25806,35.48387
BUF,2025,17,M.Badgley;M.Prater,21,19,0.90476,0.23578,53,48,0.90566,-0.02566,4,4,1.00000,0.23529,8,7,0.87500,0.47059,7,7,1.00000,0.41176,2,1,0.50000,0.11765,6.17647,77.41935,9.67742,17.74194,51.61290,9.67742
CAR,2025,17,R.Fitzgerald,29,24,0.82759,0.24790,30,27,0.90000,-0.01810,6,6,1.00000,0.35294,9,8,0.88889,0.52941,9,8,0.88889,0.52941,5,2,0.40000,0.29412,5.82353,32.25806,6.45161,6.45161,54.83871,16.12903
CHI,2025,17,C.Santos;J.Moody,39,33,0.84615,0.14318,42,42,1.00000,0.06562,5,5,1.00000,0.29412,12,11,0.91667,0.70588,16,13,0.81250,0.94118,6,4,0.66667,0.35294,8.29412,45.16129,88.70968,83.87097,41.93548,87.09677
CIN,2025,17,E.McPherson,28,25,0.89286,0.58591,44,41,0.93182,-0.00098,4,4,1.00000,0.23529,6,6,1.00000,0.35294,10,10,1.00000,0.58824,8,5,0.62500,0.47059,6.82353,74.19355,19.35484,35.48387,93.54839,19.35484
CLE,2025,17,A.Szmyt,27,24,0.88889,0.17191,26,25,0.96154,0.04431,4,4,1.00000,0.23529,11,10,0.90909,0.64706,6,5,0.83333,0.35294,6,5,0.83333,0.35294,5.70588,70.96774,38.70968,3.22581,45.16129,67.74194
DAL,2025,17,B.Aubrey,42,36,0.85714,0.35190,48,47,0.97917,0.05602,10,10,1.00000,0.58824,5,5,1.00000,0.29412,10,10,1.00000,0.58824,17,11,0.64706,1.00000,9.11765,51.61290,70.96774,93.54839,64.51613,74.19355
DEN,2025,17,W.Lutz,32,28,0.87500,0.12531,39,39,1.00000,0.06560,10,10,1.00000,0.58824,11,11,1.00000,0.64706,5,3,0.60000,0.29412,6,4,0.66667,0.35294,7.23529,58.06452,88.70968,45.16129,35.48387,83.87097
DET,2025,17,J.Bates,34,27,0.79412,-0.07981,56,54,0.96429,0.02514,6,6,1.00000,0.35294,8,8,1.00000,0.47059,11,9,0.81818,0.64706,9,4,0.44444,0.52941,7.94118,16.12903,46.77419,74.19355,19.35484,38.70968
GB,2025,17,B.McManus;L.Havrisik,34,28,0.82353,0.01581,42,39,0.92857,-0.04736,10,10,1.00000,0.58824,10,10,1.00000,0.58824,8,4,0.50000,0.47059,6,4,0.66667,0.35294,7.23529,29.03226,16.12903,45.16129,29.03226,0.00000
