team,season,epa_per_play_pct,epa_per_dropback_pct,epa_per_rush_pct,success_rate_pct,def_epa_per_play_pct,def_epa_per_dropback_pct,def_epa_per_rush_pct,def_success_rate_allowed_pct,explosive_rate_pct,explosive_rate_allowed_pct,int_rate_per_dropback_pct,int_diff_actual_minus_expected_pct,fumble_lost_rate_per_play_pct,fumble_lost_diff_actual_minus_expected_pct,takeaways_int_diff_pct,opp_fumble_recovery_rate_pct,qb_hit_rate_allowed_pct,sack_rate_allowed_pct,qb_hit_rate_forced_pct,sack_rate_forced_pct,points_per_game_pct,points_per_drive_pct,int_worthy_throw_rate_pct
ARI,2026,77.41935,83.87097,58.06452,83.87097,74.19355,70.96774,93.54839,50.00000,22.58065,38.70968,22.58065,12.90323,27.41935,6.45161,64.51613,81.57895,25.80645,8.06452,22.58065,54.83871,51.61290,61.29032,
ATL,2026,3.22581,6.45161,32.25806,25.80645,93.54839,83.87097,90.32258,0.00000,51.61290,48.38710,100.00000,96.77419,27.41935,9.67742,0.00000,81.57895,75.80645,98.38710,51.61290,38.70968,19.35484,0.00000,
BAL,2026,83.87097,74.19355,96.77419,50.00000,90.32258,96.77419,19.35484,9.67742,96.77419,66.12903,22.58065,35.48387,80.64516,80.64516,83.87097,81.57895,37.09677,67.74194,93.54839,33.87097,96.77419,80.64516,
BUF,2026,80.64516,93.54839,16.12903,32.25806,41.93548,45.16129,32.25806,64.51613,100.00000,77.41935,22.58065,20.96774,27.41935,19.35484,3.22581,81.57895,12.90323,41.93548,83.87097,59.67742,87.09677,67.74194,
CAR,2026,64.51613,58.06452,54.83871,67.74194,6.45161,9.67742,9.67742,87.09677,83.87097,87.09677,61.29032,58.06452,80.64516,80.64516,27.41935,81.57895,19.35484,51.61290,16.12903,46.77419,90.32258,70.96774,
CHI,2026,93.54839,90.32258,90.32258,87.09677,35.48387,41.93548,45.16129,67.74194,87.09677,83.87097,22.58065,27.41935,74.19355,74.19355,58.06452,81.57895,16.12903,46.77419,19.35484,51.61290,100.00000,100.00000,
CIN,2026,48.38710,32.25806,77.41935,70.96774,80.64516,87.09677,25.80645,61.29032,90.32258,19.35484,50.00000,50.00000,27.41935,25.80645,16.12903,81.57895,69.35484,25.80645,69.35484,87.09677,80.64516,77.41935,
CLE,2026,0.00000,0.00000,19.35484,14.51613,0.00000,0.00000,35.48387,93.54839,1.61290,93.54839,90.32258,87.09677,96.77419,93.54839,43.54839,13.15789,90.32258,93.54839,46.77419,33.87097,8.06452,12.90323,
DAL,2026,70.96774,77.41935,61.29032,77.41935,3.22581,3.22581,29.03226,100.00000,6.45161,80.64516,72.58065,69.35484,27.41935,45.16129,27.41935,31.57895,30.64516,8.06452,61.29032,46.77419,30.64516,54.83871,
DEN,2026,16.12903,9.67742,48.38710,19.35484,32.25806,74.19355,0.00000,22.58065,9.67742,25.80645,80.64516,77.41935,90.32258,90.32258,69.35484,13.15789,37.09677,98.38710,30.64516,29.03226,8.06452,4.83871,
DET,2026,45.16129,48.38710,51.61290,58.06452,58.06452,61.29032,61.29032,45.16129,58.06452,66.12903,22.58065,6.45161,61.29032,61.29032,93.54839,47.36842,80.64516,19.35484,54.83871,70.96774,74.19355,45.16129,
GB,2026,22.58065,41.93548,0.00000,14.51613,61.29032,64.51613,64.51613,6.45161,74.19355,16.12903,50.00000,50.00000,70.96774,70.96774,61.29032,,96.77419,77.41935,64.51613,83.87097,37.09677,35.48387,
HOU,2026,58.06452,54.83871,67.74194,64.51613,19.35484,6.45161,83.87097,32.25806,77.41935,100.00000,22.58065,3.22581,93.54839,96.77419,20.96774,13.15789,83.87097,59.67742,12.90323,41.93548,74.19355,51.61290,
IND,2026,9.67742,3.22581,80.64516,9.67742,16.12903,25.80645,3.22581,50.00000,66.12903,96.77419,87.09677,83.87097,87.09677,87.09677,35.48387,81.57895,93.54839,33.87097,37.09677,67.74194,43.54839,48.38710,
JAX,2026,100.00000,100.00000,64.51613,93.54839,100.00000,100.00000,80.64516,14.51613,93.54839,1.61290,22.58065,43.54839,27.41935,38.70968,87.09677,47.36842,46.77419,33.87097,90.32258,93.54839,83.87097,96.77419,
KC,2026,67.74194,25.80645,100.00000,22.58065,83.87097,90.32258,51.61290,19.35484,25.80645,9.67742,72.58065,69.35484,27.41935,33.87097,77.41935,47.36842,30.64516,29.03226,37.09677,98.38710,74.19355,64.51613,
LA,2026,35.48387,22.58065,41.93548,74.19355,12.90323,19.35484,6.45161,96.77419,61.29032,54.83871,93.54839,90.32258,27.41935,51.61290,54.83871,,100.00000,8.06452,6.45161,8.06452,0.00000,9.67742,
LAC,2026,25.80645,29.03226,6.45161,50.00000,22.58065,16.12903,41.93548,83.87097,38.70968,22.58065,67.74194,64.51613,80.64516,80.64516,12.90323,,22.58065,54.83871,25.80645,8.06452,25.80645,25.80645,
LV,2026,74.19355,67.74194,87.09677,80.64516,67.74194,54.83871,87.09677,29.03226,43.54839,32.25806,80.64516,77.41935,27.41935,25.80645,77.41935,,9.67742,8.06452,75.80645,90.32258,58.06452,85.48387,
MIA,2026,32.25806,45.16129,12.90323,29.03226,25.80645,32.25806,12.90323,80.64516,32.25806,43.54839,80.64516,77.41935,27.41935,48.38710,77.41935,,75.80645,90.32258,9.67742,8.06452,19.35484,17.74194,
MIN,2026,38.70968,35.48387,35.48387,6.45161,77.41935,58.06452,100.00000,14.51613,16.12903,74.19355,64.51613,61.29032,27.41935,14.51613,50.00000,47.36842,64.51613,83.87097,96.77419,77.41935,93.54839,90.32258,
NE,2026,29.03226,51.61290,3.22581,41.93548,45.16129,29.03226,77.41935,35.48387,12.90323,35.48387,96.77419,100.00000,27.41935,3.22581,32.25806,,41.93548,59.67742,87.09677,64.51613,8.06452,4.83871,
NO,2026,41.93548,38.70968,38.70968,45.16129,54.83871,51.61290,48.38710,58.06452,66.12903,58.06452,58.06452,93.54839,58.06452,58.06452,6.45161,47.36842,54.83871,70.96774,80.64516,19.35484,67.74194,38.70968,
NYG,2026,96.77419,96.77419,70.96774,100.00000,29.03226,22.58065,38.70968,77.41935,80.64516,6.45161,22.58065,27.41935,67.74194,67.74194,69.35484,,61.29032,46.77419,30.64516,8.06452,64.51613,93.54839,
NYJ,2026,90.32258,87.09677,83.87097,90.32258,87.09677,80.64516,74.19355,38.70968,70.96774,1.61290,22.58065,38.70968,27.41935,33.87097,43.54839,,0.00000,8.06452,46.77419,74.19355,43.54839,58.06452,
PHI,2026,61.29032,64.51613,29.03226,3.22581,48.38710,38.70968,54.83871,54.83871,43.54839,29.03226,22.58065,20.96774,27.41935,25.80645,9.67742,13.15789,58.06452,80.64516,3.22581,22.58065,48.38710,41.93548,
PIT,2026,6.45161,16.12903,9.67742,0.00000,96.77419,93.54839,67.74194,25.80645,48.38710,51.61290,22.58065,0.00000,64.51613,64.51613,96.77419,13.15789,51.61290,38.70968,75.80645,98.38710,30.64516,22.58065,
SEA,2026,54.83871,70.96774,22.58065,35.48387,70.96774,48.38710,96.77419,41.93548,35.48387,12.90323,22.58065,32.25806,27.41935,41.93548,100.00000,,87.09677,64.51613,41.93548,59.67742,19.35484,17.74194,
SF,2026,87.09677,80.64516,93.54839,96.77419,64.51613,77.41935,58.06452,74.19355,54.83871,61.29032,54.83871,54.83871,27.41935,14.51613,90.32258,,6.45161,8.06452,100.00000,8.06452,58.06452,85.48387,
TB,2026,19.35484,12.90323,74.19355,61.29032,51.61290,67.74194,22.58065,70.96774,19.35484,90.32258,22.58065,16.12903,100.00000,100.00000,50.00000,,69.35484,87.09677,69.35484,25.80645,58.06452,74.19355,
