player,team,season,rushes,rush_first_downs,rush_fd_rate,rush_fd_rate_pct,targets,receptions,rec_first_downs,rec_fd_rate,rec_fd_rate_pct,target_fd_rate
A.Barner,SEA,2025,10.00000,9.00000,0.90000,,62.00000,49.00000,23.00000,0.46939,40.93023,0.37097
A.Brown,PHI,2025,0.00000,0.00000,,,112.00000,70.00000,41.00000,0.58571,65.11628,0.36607
A.Iosivas,CIN,2025,2.00000,0.00000,0.00000,,51.00000,30.00000,21.00000,0.70000,88.13953,0.41176
A.Jeanty,LV,2025,247.00000,43.00000,0.17409,5.63380,63.00000,46.00000,11.00000,0.23913,8.37209,0.17460
A.Jones,MIN,2025,120.00000,25.00000,0.20833,21.12676,39.00000,27.00000,8.00000,0.29630,13.02326,0.20513
A.Kamara,NO,2025,122.00000,19.00000,0.15574,1.40845,39.00000,33.00000,7.00000,0.21212,4.65116,0.17949
A.Mitchell,NYJ,2025,1.00000,0.00000,0.00000,,55.00000,26.00000,12.00000,0.46154,39.06977,0.21818
A.Pierce,IND,2025,0.00000,0.00000,,,71.00000,41.00000,36.00000,0.87805,99.06977,0.50704
A.St. Brown,DET,2025,3.00000,1.00000,0.33333,,156.00000,106.00000,63.00000,0.59434,66.97674,0.40385
A.Thielen,PIT,2025,0.00000,0.00000,,,33.00000,19.00000,10.00000,0.52632,54.65116,0.30303
B.Bowers,LV,2025,2.00000,0.00000,0.00000,,72.00000,52.00000,30.00000,0.57692,63.72093,0.41667
B.Cooks,NO,2025,0.00000,0.00000,,,30.00000,21.00000,12.00000,0.57143,61.62791,0.40000
B.Corum,LA,2025,118.00000,38.00000,0.32203,80.28169,14.00000,8.00000,2.00000,0.25000,9.76744,0.14286
B.Hall,NYJ,2025,229.00000,54.00000,0.23581,42.25352,40.00000,31.00000,11.00000,0.35484,20.46512,0.27500
B.Irving,TB,2025,170.00000,26.00000,0.15294,0.00000,35.00000,30.00000,11.00000,0.36667,23.25581,0.31429
B.Nix,DEN,2025,58.00000,23.00000,0.39655,85.91549,1.00000,0.00000,0.00000,,,0.00000
B.Robinson,ATL,2025,360.00000,78.00000,0.21667,26.05634,111.00000,83.00000,35.00000,0.42169,34.41860,0.31532
B.Smith,KC,2025,30.00000,4.00000,0.13333,,33.00000,23.00000,7.00000,0.30435,14.88372,0.21212
B.Strange,JAX,2025,0.00000,0.00000,,,58.00000,45.00000,27.00000,0.60000,68.60465,0.46552
B.Thomas,JAX,2025,3.00000,2.00000,0.66667,,88.00000,48.00000,33.00000,0.68750,84.88372,0.37500
B.Tuten,JAX,2025,76.00000,22.00000,0.28947,76.05634,14.00000,10.00000,3.00000,0.30000,13.72093,0.21429
C.Austin,PIT,2025,0.00000,0.00000,,,46.00000,25.00000,13.00000,0.52000,51.39535,0.28261
C.Brown,CIN,2025,218.00000,46.00000,0.21101,22.53521,74.00000,57.00000,14.00000,0.24561,9.30233,0.18919
C.Dike,TEN,2025,11.00000,0.00000,0.00000,,55.00000,37.00000,18.00000,0.48649,44.18605,0.32727
C.Godwin,TB,2025,0.00000,0.00000,,,50.00000,31.00000,19.00000,0.61290,74.65116,0.38000
C.Hubbard,CAR,2025,122.00000,26.00000,0.21311,23.94366,33.00000,25.00000,8.00000,0.32000,16.74419,0.24242
C.Kirk,HOU,2025,0.00000,0.00000,,,51.00000,27.00000,11.00000,0.40741,31.62791,0.21569
C.Kmet,CHI,2025,0.00000,0.00000,,,46.00000,27.00000,14.00000,0.51852,50.23256,0.30435
C.Kupp,SEA,2025,0.00000,0.00000,,,67.00000,44.00000,23.00000,0.52273,52.55814,0.34328
C.Lamb,DAL,2025,1.00000,0.00000,0.00000,,106.00000,69.00000,39.00000,0.56522,60.46512,0.36792
C.Loveland,CHI,2025,1.00000,0.00000,0.00000,,79.00000,56.00000,34.00000,0.60714,71.62791,0.43038
C.McCaffrey,SF,2025,284.00000,65.00000,0.22887,35.21127,117.00000,92.00000,43.00000,0.46739,40.00000,0.36752
