player,team,season,attempts,n_cpoe,completions,comp_pct,comp_pct_pct,exp_comp_pct,cpoe,cpoe_pct,adot,adot_pct,air_yards
A.Rodgers,PIT,2025,474,425,291.00000,68.47059,61.36364,68.98565,-0.51507,45.45455,6.15436,9.09091,2751.00000
B.Cook,NYJ,2025,104,88,52.00000,59.09091,2.27273,71.68915,-12.59824,0.00000,4.82609,0.00000,444.00000
B.Mayfield,TB,2025,541,487,321.00000,65.91376,38.63636,67.43992,-1.52616,34.09091,8.01996,68.18182,4018.00000
B.Nix,DEN,2025,572,524,350.00000,66.79389,47.72727,68.04470,-1.25080,40.90909,7.30182,29.54545,4016.00000
B.Purdy,SF,2025,273,251,183.00000,72.90837,97.72727,65.30938,7.59899,97.72727,7.51145,36.36364,1968.00000
B.Young,CAR,2025,455,397,268.00000,67.50630,52.27273,67.53746,-0.03116,52.27273,6.43427,13.63636,2741.00000
C.Stroud,HOU,2025,409,366,253.00000,69.12568,65.90909,68.50292,0.62276,54.54545,7.98177,63.63636,3065.00000
C.Ward,TEN,2025,453,378,242.00000,64.02116,18.18182,67.60901,-3.58785,13.63636,7.36765,34.09091,3006.00000
C.Wentz,MIN,2025,170,145,99.00000,68.27586,56.81818,67.38434,0.89152,59.09091,7.66887,43.18182,1158.00000
C.Williams,CHI,2025,563,501,315.00000,62.87425,13.63636,66.57434,-3.70009,11.36364,8.60185,84.09091,4645.00000
D.Gabriel,CLE,2025,148,133,81.00000,60.90226,9.09091,69.37865,-8.47639,2.27273,5.83582,4.54545,782.00000
D.Jones,IND,2025,378,345,241.00000,69.85507,77.27273,67.69944,2.15564,75.00000,7.99150,65.90909,2821.00000
D.Maye,NE,2025,509,449,335.00000,74.61024,100.00000,64.02042,10.58983,100.00000,9.35622,97.72727,4360.00000
D.Mills,HOU,2025,157,141,85.00000,60.28369,6.81818,66.96556,-6.68188,6.81818,8.44898,77.27273,1242.00000
D.Prescott,DAL,2025,566,527,367.00000,69.63947,75.00000,67.15109,2.48838,79.54545,7.88848,59.09091,4244.00000
G.Smith,LV,2025,420,358,246.00000,68.71508,63.63636,70.04824,-1.33315,36.36364,6.05108,6.81818,2251.00000
J.Allen,BUF,2025,464,408,291.00000,71.32353,81.81818,68.50537,2.81816,81.81818,7.12114,25.00000,2998.00000
J.Brissett,ARI,2025,438,376,257.00000,68.35106,59.09091,67.68094,0.67012,56.81818,7.57393,40.90909,3022.00000
J.Browning,CIN,2025,110,100,65.00000,65.00000,25.00000,67.50506,-2.50506,27.27273,7.81905,54.54545,821.00000
J.Burrow,CIN,2025,257,228,158.00000,69.29825,68.18182,65.43998,3.85827,90.90909,7.09623,22.72727,1696.00000
J.Daniels,WAS,2025,180,152,99.00000,65.13158,28.40909,68.08057,-2.94899,20.45455,7.83537,56.81818,1285.00000
J.Dart,NYG,2025,324,284,185.00000,65.14085,31.81818,66.13278,-0.99193,43.18182,8.04811,70.45455,2342.00000
J.Fields,NYJ,2025,185,152,99.00000,65.13158,28.40909,68.08423,-2.95265,18.18182,6.79874,18.18182,1081.00000
J.Flacco,CIN,2025,372,333,215.00000,64.56456,22.72727,67.55785,-2.99328,15.90909,7.56620,38.63636,2686.00000
J.Goff,DET,2025,554,492,357.00000,72.56098,93.18182,70.47395,2.08702,68.18182,6.43378,11.36364,3352.00000
J.Herbert,LAC,2025,529,462,321.00000,69.48052,70.45455,67.34780,2.13272,72.72727,7.79583,52.27273,3742.00000
J.Hurts,PHI,2025,457,400,272.00000,68.00000,54.54545,65.86918,2.13082,70.45455,8.82742,90.90909,3734.00000
J.Love,GB,2025,442,396,285.00000,71.96970,88.63636,65.73860,6.23110,95.45455,8.80760,88.63636,3708.00000
J.McCarthy,MIN,2025,241,209,125.00000,59.80861,4.54545,65.00095,-5.19234,9.09091,8.65421,86.36364,1852.00000
K.Cousins,ATL,2025,248,223,146.00000,65.47085,34.09091,67.68907,-2.21822,29.54545,7.08120,20.45455,1657.00000
K.Murray,ARI,2025,168,148,103.00000,69.59459,72.72727,70.90223,-1.30763,38.63636,5.72368,2.27273,870.00000
L.Jackson,BAL,2025,314,271,180.00000,66.42066,45.45455,64.67802,1.74265,63.63636,8.51786,79.54545,2385.00000
M.Jones,SF,2025,277,255,183.00000,71.76471,86.36364,68.65315,3.11156,84.09091,7.26718,27.27273,1904.00000
M.Mariota,WAS,2025,209,180,119.00000,66.11111,40.90909,62.94961,3.16151,86.36364,10.18041,100.00000,1975.00000
M.Penix,ATL,2025,282,256,165.00000,64.45312,20.45455,66.98487,-2.53174,25.00000,8.06716,72.72727,2162.00000
M.Stafford,LA,2025,596,561,375.00000,66.84492,50.00000,65.42023,1.42469,61.36364,9.29965,95.45455,5338.00000
P.Mahomes,KC,2025,509,448,297.00000,66.29464,43.18182,66.65314,-0.35849,50.00000,7.75789,47.72727,3685.00000
R.Wilson,NYG,2025,113,96,63.00000,65.62500,36.36364,66.09739,-0.47239,47.72727,8.84466,93.18182,911.00000
S.Darnold,SEA,2025,474,426,308.00000,72.30047,90.90909,66.60254,5.69793,93.18182,7.91946,61.36364,3540.00000
S.Rattler,NO,2025,258,234,167.00000,71.36752,84.09091,69.01462,2.35290,77.27273,7.76033,50.00000,1878.00000
S.Sanders,CLE,2025,204,171,101.00000,59.06433,0.00000,66.05270,-6.98838,4.54545,7.35135,31.81818,1360.00000
T.Lawrence,JAX,2025,557,506,322.00000,63.63636,15.90909,65.28372,-1.64735,31.81818,8.55019,81.81818,4429.00000
T.Shough,NO,2025,283,246,179.00000,72.76423,95.45455,69.53182,3.23241,88.63636,7.70980,45.45455,1966.00000
T.Tagovailoa,MIA,2025,361,322,227.00000,70.49689,79.54545,68.61261,1.88428,65.90909,6.66967,15.90909,2221.00000
T.Taylor,NYJ,2025,115,101,62.00000,61.38614,11.36364,64.28841,-2.90227,22.72727,8.42056,75.00000,901.00000
