team,season,n_dropbacks_def,n_dropbacks_off,n_ftn_def,n_ftn_off,four_man_rush_rate,four_man_rush_rate_faced,pressure_proxy_rate_forced,pressure_proxy_rate_allowed,four_man_rush_rate_pct,pressure_proxy_rate_forced_pct,pressure_proxy_rate_allowed_pct
ARI,2026,29,38,29,38,0.86207,0.78947,0.10345,0.10526,93.54839,22.58065,25.80645
ATL,2026,43,26,42,26,0.80952,0.92308,0.13953,0.19231,77.41935,41.93548,74.19355
BAL,2026,24,26,24,26,0.75000,0.50000,0.33333,0.11538,61.29032,93.54839,35.48387
BUF,2026,42,33,42,33,0.64286,0.84848,0.21429,0.09091,35.48387,83.87097,12.90323
CAR,2026,32,31,32,31,0.65625,0.61290,0.09375,0.09677,41.93548,16.12903,19.35484
CHI,2026,31,32,31,32,0.61290,0.65625,0.09677,0.09375,29.03226,19.35484,16.12903
CIN,2026,35,35,34,35,0.85294,0.57143,0.17143,0.17143,87.09677,66.12903,66.12903
CLE,2026,24,22,24,22,0.87500,0.54545,0.12500,0.31818,96.77419,38.70968,90.32258
DAL,2026,32,28,32,28,0.75000,0.85714,0.15625,0.10714,61.29032,54.83871,30.64516
DEN,2026,28,26,28,26,0.57143,0.50000,0.10714,0.19231,20.96774,30.64516,74.19355
DET,2026,63,41,63,41,0.63492,0.78049,0.14286,0.19512,32.25806,46.77419,80.64516
GB,2026,30,35,30,35,0.53333,0.17143,0.16667,0.34286,9.67742,59.67742,96.77419
HOU,2026,33,42,33,42,0.84848,0.64286,0.09091,0.21429,82.25806,12.90323,83.87097
IND,2026,26,24,26,24,0.50000,0.75000,0.11538,0.33333,4.83871,35.48387,93.54839
JAX,2026,22,24,22,24,0.54545,0.87500,0.31818,0.12500,12.90323,90.32258,38.70968
KC,2026,26,28,26,28,0.50000,0.57143,0.19231,0.10714,4.83871,74.19355,30.64516
LA,2026,34,16,33,16,0.84848,0.75000,0.05882,0.37500,82.25806,6.45161,100.00000
LAC,2026,38,29,38,29,0.78947,0.86207,0.10526,0.10345,74.19355,25.80645,22.58065
LV,2026,26,26,26,26,0.76923,0.65385,0.19231,0.07692,67.74194,74.19355,9.67742
MIA,2026,26,26,26,26,0.65385,0.76923,0.07692,0.19231,38.70968,9.67742,74.19355
MIN,2026,35,30,35,30,0.17143,0.53333,0.34286,0.16667,0.00000,96.77419,59.67742
NE,2026,27,42,27,42,0.55556,0.71429,0.22222,0.14286,16.12903,87.09677,46.77419
NO,2026,41,63,41,63,0.78049,0.63492,0.19512,0.14286,70.96774,80.64516,46.77419
NYG,2026,28,32,28,32,0.85714,0.75000,0.10714,0.15625,90.32258,30.64516,54.83871
NYJ,2026,24,25,24,25,0.70833,0.68000,0.16667,0.04000,48.38710,59.67742,0.00000
PHI,2026,39,33,38,33,0.71053,0.57576,0.05128,0.15152,51.61290,3.22581,51.61290
PIT,2026,26,43,26,42,0.92308,0.80952,0.19231,0.13953,100.00000,74.19355,41.93548
SEA,2026,42,27,42,27,0.71429,0.55556,0.14286,0.22222,54.83871,46.77419,87.09677
SF,2026,16,34,16,33,0.75000,0.84848,0.37500,0.05882,61.29032,100.00000,6.45161
TB,2026,35,35,35,34,0.57143,0.85294,0.17143,0.17143,20.96774,66.12903,66.12903
TEN,2026,25,24,25,24,0.68000,0.70833,0.04000,0.16667,45.16129,0.00000,59.67742
WAS,2026,33,39,33,38,0.57576,0.71053,0.15152,0.05128,25.80645,51.61290,3.22581
