team,season,n_kickoffs,touchbacks_forced,touchback_rate,opp_avg_start_after_kickoff,n_ko_excluded_onside_kept,kickoff_epa_per_kick,n_kickoffs_received,n_kick_returns,kick_return_epa_per_return,kick_return_yards_per_return,n_punts,punt_epa_per_punt,punt_touchback_rate,punt_inside_20_rate,n_punt_returns,punt_return_epa_per_return,punt_return_yards_per_return,fg_blocks_forced,opp_fg_attempts,punt_blocks_forced,opp_punts,xp_blocks_forced,touchback_rate_pct,kickoff_epa_per_kick_pct,kick_return_epa_per_return_pct,punt_epa_per_punt_pct,punt_inside_20_rate_pct,punt_return_epa_per_return_pct,opp_avg_start_after_kickoff_pct,punt_touchback_rate_pct
ARI,2025,82,20,0.24390,30.85333,7,-0.43987,104,82,-0.00497,24.13415,60,-0.15403,0.05000,0.35000,19,0.26922,11.42105,1,41,0,42,2,77.41935,3.22581,0.00000,29.03226,27.41935,64.51613,90.32258,22.58065
ATL,2025,84,23,0.27381,29.97403,6,-0.45639,90,70,0.08449,21.87143,64,-0.05628,0.04688,0.53125,25,-0.04022,6.72000,0,42,1,56,0,90.32258,0.00000,9.67742,67.74194,100.00000,16.12903,48.38710,12.90323
BAL,2025,94,10,0.10638,30.84270,2,-0.26274,93,76,0.25008,25.14474,53,0.04730,0.11321,0.45283,17,0.25385,11.64706,0,41,1,48,1,6.45161,51.61290,61.29032,83.87097,80.64516,58.06452,87.09677,83.87097
BUF,2025,96,11,0.11458,30.52174,4,-0.33522,80,69,0.38254,26.69565,49,-0.23181,0.06122,0.42857,30,-0.32066,6.46667,1,25,0,68,0,9.67742,16.12903,87.09677,25.80645,64.51613,0.00000,77.41935,38.70968
CAR,2025,73,10,0.13699,27.52941,4,-0.04595,87,56,0.25102,23.28571,56,-0.12406,0.05357,0.48214,24,-0.20703,7.33333,1,33,0,49,0,16.12903,96.77419,64.51613,45.16129,83.87097,3.22581,0.00000,27.41935
CHI,2025,96,22,0.22917,29.27957,2,-0.24420,89,74,0.20708,24.21622,60,-0.25768,0.11667,0.35000,21,0.11565,11.00000,1,31,0,51,0,62.90323,64.51613,48.38710,19.35484,27.41935,35.48387,22.58065,87.09677
CIN,2025,89,11,0.12360,30.11628,3,-0.26560,97,81,0.31638,25.40741,65,-0.00259,0.16923,0.43077,23,0.28312,9.56522,1,25,0,52,0,12.90323,41.93548,74.19355,77.41935,67.74194,67.74194,64.51613,100.00000
CLE,2025,68,13,0.19118,30.67742,4,-0.32767,83,72,0.18294,22.04167,93,-0.36294,0.11828,0.24731,32,0.14140,7.25000,1,33,0,82,1,58.06452,22.58065,38.70968,9.67742,0.00000,38.70968,80.64516,90.32258
DAL,2025,101,17,0.16832,30.05102,2,-0.27301,106,87,0.20085,24.10345,41,0.07830,0.00000,0.34146,14,0.49313,5.85714,1,34,1,51,1,32.25806,35.48387,45.16129,90.32258,22.58065,90.32258,54.83871,0.00000
DEN,2025,88,21,0.23864,30.49412,2,-0.26296,77,62,0.16461,24.04839,75,-0.13129,0.12000,0.40000,35,0.25101,13.74286,0,39,1,90,1,74.19355,48.38710,29.03226,38.70968,50.00000,54.83871,74.19355,93.54839
