team,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed,explosive_rate,explosive_rate_allowed,int_thrown,int_rate_per_dropback,int_expected,int_diff_actual_minus_expected,fumbles,fumbles_lost,fumble_lost_rate_per_play,fumble_lost_expected,fumble_lost_diff_actual_minus_expected,takeaways_int,takeaways_int_expected,takeaways_int_diff,opp_fumbles,opp_fumbles_lost,opp_fumbles_lost_expected,opp_fumble_recovery_rate,qb_hit_rate_allowed,sack_rate_allowed,qb_hit_rate_forced,sack_rate_forced,points_per_game,n_drives,points_per_drive,int_worthy_throws,int_worthy_throw_rate
ARI,2026,1,64,38,26,0.20294,0.33871,0.00449,0.51562,0.15302,0.03859,0.36044,0.42222,0.09375,0.11111,0,0.00000,0.78621,-0.78621,0,0,0.00000,0.68858,-0.68858,1,0.60000,0.40000,1,1,0.48416,1.00000,0.10526,0.00000,0.10345,0.06897,26.00000,9,2.88889,,
ATL,2026,1,57,26,31,-0.32101,-0.60633,-0.08170,0.38596,0.31146,0.32395,0.27791,0.32203,0.12281,0.11864,2,0.07692,0.53793,1.46207,2,0,0.00000,0.61327,-0.61327,0,0.88966,-0.88966,1,1,0.63479,1.00000,0.19231,0.15385,0.13953,0.04651,13.00000,13,1.00000,,
BAL,2026,1,45,26,19,0.23416,0.23301,0.23573,0.42222,0.29144,0.61396,-0.11595,0.37209,0.24444,0.13953,0,0.00000,0.53793,-0.53793,1,1,0.02222,0.48416,0.51584,1,0.49655,0.50345,1,1,0.46264,1.00000,0.11538,0.07692,0.33333,0.04167,41.00000,11,3.72727,,
BUF,2026,1,52,33,19,0.22926,0.51259,-0.26285,0.40385,-0.06891,-0.09740,-0.03030,0.46575,0.25000,0.15068,0,0.00000,0.68276,-0.68276,2,0,0.00000,0.55947,-0.55947,0,0.86897,-0.86897,2,2,0.78542,1.00000,0.09091,0.06061,0.21429,0.07143,36.00000,11,3.27273,,
CAR,2026,1,45,31,14,0.08780,0.13290,-0.01206,0.46667,-0.35984,-0.48276,-0.18106,0.55556,0.15556,0.16667,1,0.03226,0.64138,0.35862,1,1,0.02222,0.48416,0.51584,0,0.66207,-0.66207,1,1,0.58099,1.00000,0.09677,0.06452,0.09375,0.06250,37.00000,11,3.36364,,
CHI,2026,1,54,32,22,0.35984,0.48276,0.18106,0.55556,-0.08780,-0.13290,0.01206,0.46667,0.16667,0.15556,0,0.00000,0.66207,-0.66207,1,1,0.01852,0.58099,0.41901,1,0.64138,0.35862,1,1,0.48416,1.00000,0.09375,0.06250,0.09677,0.06452,59.00000,12,4.91667,,
CIN,2026,1,51,35,16,0.00521,-0.02807,0.07803,0.47059,0.21315,0.33545,-0.07223,0.46000,0.17647,0.08000,1,0.02857,0.72414,0.27586,0,0,0.00000,0.54871,-0.54871,0,0.72414,-0.72414,4,4,0.53796,1.00000,0.17143,0.02857,0.17143,0.11429,33.00000,9,3.66667,,
CLE,2026,1,32,22,10,-0.49292,-0.64335,-0.16197,0.37500,-0.39982,-0.79256,-0.02279,0.61224,0.03125,0.22449,1,0.04545,0.45517,0.54483,2,1,0.03125,0.34429,0.65571,0,0.49655,-0.49655,1,0,0.52720,0.00000,0.27273,0.13636,0.12500,0.04167,10.00000,8,1.25000,,
DAL,2026,1,44,28,16,0.17723,0.27288,0.00984,0.47727,-0.39683,-0.67657,-0.05253,0.62069,0.04545,0.15517,1,0.03571,0.57931,0.42069,0,0,0.00000,0.47340,-0.47340,0,0.66207,-0.66207,4,1,0.62403,0.25000,0.10714,0.00000,0.15625,0.06250,20.00000,7,2.85714,,
DEN,2026,1,37,26,11,-0.26084,-0.36495,-0.01477,0.37838,-0.11832,0.10047,-0.39678,0.38000,0.05405,0.10000,1,0.03846,0.53793,0.46207,2,1,0.02703,0.39809,0.60191,1,0.57931,0.42069,2,0,0.53796,0.00000,0.11538,0.15385,0.10714,0.03571,10.00000,9,1.11111,,
