team,season,n_plays,n_plays_def,own_fumbles,own_fumble_rate_per_play,own_fumbles_expected,own_fumble_diff_actual_minus_expected,forced_fumbles,forced_fumble_rate_per_play,forced_fumbles_expected,forced_fumble_diff_actual_minus_expected,own_fumble_retained_share,own_retained_share_vs_league,opp_fumble_recovery_share,opp_recovery_share_vs_league,league_recovery_share,forced_fumble_rate_per_play_pct,opp_fumble_recovery_share_pct,own_fumble_rate_per_play_pct
ARI,2025,933,934,9,0.00965,12.89141,-3.89141,14,0.01499,12.90523,1.09477,0.22222,-0.31491,0.64286,0.17999,0.46287,61.29032,77.41935,16.12903
ATL,2025,947,958,14,0.01478,13.08485,0.91515,17,0.01775,13.23684,3.76316,0.50000,-0.03713,0.29412,-0.16875,0.46287,80.64516,25.80645,51.61290
BAL,2025,849,906,16,0.01885,11.73077,4.26923,10,0.01104,12.51835,-2.51835,0.43750,-0.09963,0.50000,0.03713,0.46287,32.25806,54.83871,90.32258
BUF,2025,958,857,17,0.01775,13.23684,3.76316,10,0.01167,11.84131,-1.84131,0.52941,-0.00772,0.50000,0.03713,0.46287,35.48387,54.83871,83.87097
CAR,2025,897,911,15,0.01672,12.39399,2.60601,9,0.00988,12.58743,-3.58743,0.33333,-0.20380,0.33333,-0.12954,0.46287,16.12903,29.03226,74.19355
CHI,2025,1025,928,12,0.01171,14.16259,-2.16259,15,0.01616,12.82233,2.17767,0.66667,0.12954,0.66667,0.20380,0.46287,70.96774,88.70968,38.70968
CIN,2025,918,914,7,0.00763,12.68415,-5.68415,11,0.01204,12.62889,-1.62889,0.28571,-0.25141,0.63636,0.17349,0.46287,45.16129,74.19355,3.22581
CLE,2025,878,893,7,0.00797,12.13147,-5.13147,14,0.01568,12.33873,1.66127,0.42857,-0.10856,0.21429,-0.24859,0.46287,67.74194,9.67742,6.45161
DAL,2025,981,916,16,0.01631,13.55464,2.44536,11,0.01201,12.65652,-1.65652,0.50000,-0.03713,0.45455,-0.00833,0.46287,41.93548,41.93548,61.29032
DEN,2025,958,977,7,0.00731,13.23684,-6.23684,9,0.00921,13.49937,-4.49937,0.42857,-0.10856,0.22222,-0.24065,0.46287,3.22581,14.51613,0.00000
DET,2025,944,903,11,0.01165,13.04340,-2.04340,19,0.02104,12.47690,6.52310,0.36364,-0.17349,0.26316,-0.19971,0.46287,96.77419,19.35484,35.48387
GB,2025,920,953,18,0.01957,12.71179,5.28821,7,0.00735,13.16776,-6.16776,0.66667,0.12954,0.42857,-0.03430,0.46287,0.00000,35.48387,93.54839
HOU,2025,983,913,8,0.00814,13.58227,-5.58227,15,0.01643,12.61507,2.38493,0.75000,0.21287,0.46667,0.00380,0.46287,74.19355,45.16129,9.67742
IND,2025,915,961,15,0.01639,12.64270,2.35730,9,0.00937,13.27829,-4.27829,0.60000,0.06287,0.66667,0.20380,0.46287,6.45161,88.70968,64.51613
JAX,2025,961,876,10,0.01041,13.27829,-3.27829,9,0.01027,12.10383,-3.10383,0.50000,-0.03713,0.66667,0.20380,0.46287,22.58065,88.70968,22.58065
KC,2025,971,907,16,0.01648,13.41646,2.58354,9,0.00992,12.53217,-3.53217,0.81250,0.27537,0.22222,-0.24065,0.46287,19.35484,14.51613,67.74194
LA,2025,956,939,10,0.01046,13.20921,-3.20921,14,0.01491,12.97432,1.02568,0.30000,-0.23713,0.71429,0.25141,0.46287,58.06452,96.77419,25.80645
LAC,2025,950,860,14,0.01474,13.12630,0.87370,13,0.01512,11.88276,1.11724,0.71429,0.17716,0.15385,-0.30903,0.46287,64.51613,3.22581,48.38710
LV,2025,797,881,7,0.00878,11.01228,-4.01228,15,0.01703,12.17292,2.82708,0.85714,0.32001,0.40000,-0.06287,0.46287,77.41935,32.25806,12.90323
MIA,2025,777,871,14,0.01802,10.73593,3.26407,17,0.01952,12.03475,4.96525,0.71429,0.17716,0.52941,0.06654,0.46287,93.54839,62.90323,87.09677
MIN,2025,819,893,17,0.02076,11.31626,5.68374,17,0.01904,12.33873,4.66127,0.70588,0.16875,0.64706,0.18419,0.46287,90.32258,80.64516,100.00000
NE,2025,928,835,16,0.01724,12.82233,3.17767,12,0.01437,11.53733,0.46267,0.56250,0.02537,0.66667,0.20380,0.46287,51.61290,88.70968,80.64516
NO,2025,937,919,16,0.01708,12.94668,3.05332,17,0.01850,12.69797,4.30203,0.31250,-0.22463,0.52941,0.06654,0.46287,87.09677,62.90323,77.41935
NYG,2025,961,920,11,0.01145,13.27829,-2.27829,11,0.01196,12.71179,-1.71179,0.54545,0.00833,0.27273,-0.19014,0.46287,38.70968,22.58065,32.25806
NYJ,2025,812,943,13,0.01601,11.21954,1.78046,10,0.01060,13.02958,-3.02958,0.38462,-0.15251,0.20000,-0.26287,0.46287,25.80645,6.45161,58.06452
PHI,2025,904,1013,10,0.01106,12.49071,-2.49071,18,0.01777,13.99679,4.00321,0.50000,-0.03713,0.44444,-0.01843,0.46287,83.87097,38.70968,29.03226
PIT,2025,884,949,11,0.01244,12.21437,-1.21437,13,0.01370,13.11249,-0.11249,0.72727,0.19014,0.61538,0.15251,0.46287,48.38710,70.96774,41.93548
SEA,2025,881,928,18,0.02043,12.17292,5.82708,9,0.00970,12.82233,-3.82233,0.50000,-0.03713,0.77778,0.31491,0.46287,12.90323,100.00000,96.77419
SF,2025,968,894,10,0.01033,13.37501,-3.37501,13,0.01454,12.35254,0.64746,0.50000,-0.03713,0.53846,0.07559,0.46287,54.83871,67.74194,19.35484
TB,2025,989,899,13,0.01314,13.66517,-0.66517,19,0.02113,12.42163,6.57837,0.69231,0.15518,0.47368,0.01081,0.46287,100.00000,48.38710,45.16129
TEN,2025,796,852,12,0.01508,10.99846,1.00154,8,0.00939,11.77222,-3.77222,0.33333,-0.20380,0.50000,0.03713,0.46287,9.67742,54.83871,54.83871
WAS,2025,842,936,14,0.01663,11.63405,2.36595,10,0.01068,12.93286,-2.93286,0.57143,0.03430,0.10000,-0.36287,0.46287,29.03226,0.00000,70.96774
