team,season,pass_off_epa,pass_off_success,rush_off_epa,rush_off_success,pass_def_epa,pass_def_success_allowed,rush_def_epa,rush_def_success_allowed,stuff_rate,stuff_rate_allowed,int_worthy_throw_rate,n_plays,pass_off_epa_pct,rush_off_epa_pct,pass_off_success_pct,rush_off_success_pct,pass_def_epa_pct,rush_def_epa_pct,pass_def_success_allowed_pct,rush_def_success_allowed_pct,stuff_rate_pct,stuff_rate_allowed_pct,int_worthy_throw_rate_pct
ARI,2026,0.33871,0.57895,0.00449,0.42308,0.03859,0.44828,0.36044,0.37500,0.19231,0.25000,,64,83.87097,58.06452,87.09677,58.06452,70.96774,93.54839,41.93548,38.70968,58.06452,85.48387,
ATL,2026,-0.60633,0.30769,-0.08170,0.45161,0.32395,0.34884,0.27791,0.25000,0.22581,0.31250,,57,6.45161,32.25806,3.22581,64.51613,83.87097,90.32258,6.45161,4.83871,77.41935,100.00000,
BAL,2026,0.23301,0.50000,0.23573,0.31579,0.61396,0.29167,-0.11595,0.47368,0.05263,0.26316,,45,74.19355,96.77419,70.96774,24.19355,96.77419,19.35484,0.00000,67.74194,12.90323,93.54839,
BUF,2026,0.51259,0.45455,-0.26285,0.31579,-0.09740,0.50000,-0.03030,0.41935,0.15789,0.25806,,52,93.54839,16.12903,48.38710,24.19355,45.16129,32.25806,70.96774,54.83871,38.70968,90.32258,
CAR,2026,0.13290,0.45161,-0.01206,0.50000,-0.48276,0.59375,-0.18106,0.50000,0.00000,0.13636,,45,58.06452,54.83871,45.16129,77.41935,9.67742,9.67742,90.32258,77.41935,3.22581,32.25806,
CHI,2026,0.48276,0.59375,0.18106,0.50000,-0.13290,0.45161,0.01206,0.50000,0.13636,0.00000,,54,90.32258,90.32258,90.32258,77.41935,41.93548,45.16129,45.16129,77.41935,32.25806,3.22581,
CIN,2026,-0.02807,0.51429,0.07803,0.37500,0.33545,0.48571,-0.07223,0.40000,0.12500,0.20000,,51,32.25806,77.41935,77.41935,38.70968,87.09677,25.80645,64.51613,46.77419,27.41935,66.12903,
CLE,2026,-0.64335,0.36364,-0.16197,0.40000,-0.79256,0.70833,-0.02279,0.52000,0.20000,0.16000,,32,0.00000,19.35484,12.90323,46.77419,0.00000,35.48387,100.00000,83.87097,66.12903,43.54839,
DAL,2026,0.27288,0.50000,0.00984,0.43750,-0.67657,0.68750,-0.05253,0.53846,0.18750,0.03846,,44,77.41935,61.29032,70.96774,61.29032,3.22581,29.03226,96.77419,87.09677,54.83871,9.67742,
DEN,2026,-0.36495,0.42308,-0.01477,0.27273,0.10047,0.35714,-0.39678,0.40909,0.00000,0.09091,,37,9.67742,48.38710,38.70968,9.67742,74.19355,0.00000,9.67742,51.61290,3.22581,16.12903,
DET,2026,0.01218,0.41463,-0.01468,0.50000,0.01447,0.46032,0.07506,0.30435,0.12500,0.17391,,73,48.38710,51.61290,32.25806,77.41935,61.29032,61.29032,51.61290,19.35484,27.41935,51.61290,
GB,2026,-0.00202,0.40000,-0.42903,0.33333,0.02049,0.36667,0.07821,0.36000,0.23810,0.20000,,56,41.93548,0.00000,29.03226,29.03226,64.51613,64.51613,16.12903,32.25806,80.64516,66.12903,
HOU,2026,0.09740,0.50000,0.03030,0.41935,-0.51259,0.45455,0.26285,0.31579,0.25806,0.15789,,73,54.83871,67.74194,70.96774,54.83871,6.45161,83.87097,48.38710,24.19355,90.32258,38.70968,
IND,2026,-0.61396,0.29167,0.11595,0.47368,-0.23301,0.50000,-0.23573,0.31579,0.26316,0.05263,,43,3.22581,80.64516,0.00000,67.74194,25.80645,3.22581,70.96774,24.19355,93.54839,12.90323,
JAX,2026,0.79256,0.70833,0.02279,0.52000,0.64335,0.36364,0.16197,0.40000,0.16000,0.20000,,49,100.00000,64.51613,100.00000,83.87097,100.00000,80.64516,12.90323,46.77419,43.54839,66.12903,
KC,2026,-0.10047,0.35714,0.39678,0.40909,0.36495,0.42308,0.01477,0.27273,0.09091,0.00000,,50,25.80645,100.00000,9.67742,51.61290,90.32258,51.61290,38.70968,9.67742,16.12903,3.22581,
LA,2026,-0.11237,0.37500,-0.05270,0.55000,-0.29400,0.61765,-0.21128,0.61905,0.20000,0.09524,,36,22.58065,41.93548,19.35484,90.32258,19.35484,6.45161,93.54839,100.00000,66.12903,19.35484,
LAC,2026,-0.03859,0.44828,-0.36044,0.37500,-0.33871,0.57895,-0.00449,0.42308,0.25000,0.19231,,45,29.03226,6.45161,41.93548,38.70968,16.12903,41.93548,87.09677,58.06452,85.48387,58.06452,
LV,2026,0.22205,0.46154,0.17395,0.56000,-0.00193,0.46154,0.27291,0.25000,0.16000,0.25000,,51,67.74194,87.09677,56.45161,93.54839,54.83871,87.09677,56.45161,4.83871,43.54839,85.48387,
MIA,2026,0.00193,0.46154,-0.27291,0.25000,-0.22205,0.46154,-0.17395,0.56000,0.25000,0.16000,,38,45.16129,12.90323,56.45161,4.83871,32.25806,12.90323,56.45161,93.54839,85.48387,43.54839,
MIN,2026,-0.02049,0.36667,-0.07821,0.36000,0.00202,0.40000,0.42903,0.33333,0.20000,0.23810,,55,35.48387,35.48387,16.12903,32.25806,58.06452,100.00000,29.03226,29.03226,66.12903,80.64516,
NE,2026,0.06546,0.52381,-0.40378,0.24000,-0.22601,0.48148,0.15095,0.30000,0.28000,0.15000,,67,51.61290,3.22581,83.87097,0.00000,29.03226,77.41935,61.29032,16.12903,96.77419,35.48387,
NO,2026,-0.01447,0.46032,-0.07506,0.30435,-0.01218,0.41463,0.01468,0.50000,0.17391,0.12500,,86,38.70968,38.70968,51.61290,19.35484,51.61290,48.38710,32.25806,77.41935,51.61290,27.41935,
NYG,2026,0.67657,0.68750,0.05253,0.53846,-0.27288,0.50000,-0.00984,0.43750,0.03846,0.18750,,58,96.77419,70.96774,96.77419,87.09677,22.58065,38.70968,70.96774,61.29032,9.67742,54.83871,
NYJ,2026,0.37694,0.52000,0.16567,0.60000,0.31054,0.41667,0.12487,0.37500,0.12000,0.00000,,50,87.09677,83.87097,80.64516,96.77419,80.64516,74.19355,35.48387,38.70968,22.58065,3.22581,
PHI,2026,0.16582,0.39394,-0.10279,0.27778,-0.13899,0.38462,0.04647,0.48276,0.22222,0.17241,,51,64.51613,29.03226,25.80645,12.90323,38.70968,54.83871,22.58065,70.96774,74.19355,48.38710,
PIT,2026,-0.32395,0.34884,-0.27791,0.25000,0.60633,0.30769,0.08170,0.45161,0.31250,0.22581,,59,16.12903,9.67742,6.45161,4.83871,93.54839,67.74194,3.22581,64.51613,100.00000,77.41935,
SEA,2026,0.22601,0.48148,-0.15095,0.30000,-0.06546,0.52381,0.40378,0.24000,0.15000,0.28000,,47,70.96774,22.58065,61.29032,16.12903,48.38710,96.77419,83.87097,0.00000,35.48387,96.77419,
SF,2026,0.29400,0.61765,0.21128,0.61905,0.11237,0.37500,0.05270,0.55000,0.09524,0.20000,,55,80.64516,93.54839,93.54839,100.00000,77.41935,58.06452,19.35484,90.32258,19.35484,66.12903,
TB,2026,-0.33545,0.48571,0.07223,0.40000,0.02807,0.51429,-0.07803,0.37500,0.20000,0.12500,,50,12.90323,74.19355,64.51613,46.77419,67.74194,22.58065,77.41935,38.70968,66.12903,27.41935,
TEN,2026,-0.31054,0.41667,-0.12487,0.37500,-0.37694,0.52000,-0.16567,0.60000,0.00000,0.12000,,32,19.35484,25.80645,35.48387,38.70968,12.90323,16.12903,80.64516,96.77419,3.22581,22.58065,
WAS,2026,0.13899,0.38462,-0.04647,0.48276,-0.16582,0.39394,0.10279,0.27778,0.17241,0.22222,,68,61.29032,45.16129,22.58065,70.96774,35.48387,70.96774,25.80645,12.90323,48.38710,74.19355,
