team,week,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed
ARI,1,2025,1,55,36,19,0.07875,0.05989,0.11448,0.43636,0.04165,0.03077,0.06724,0.43284
ARI,2,2025,1,38,24,14,0.19592,0.41253,-0.17540,0.42105,0.27339,0.30925,0.20167,0.35294
ARI,3,2025,1,64,40,24,-0.01104,0.05677,-0.12407,0.39062,0.05528,-0.03870,0.25809,0.51667
ARI,4,2025,1,61,48,13,-0.14689,-0.13127,-0.20455,0.36066,-0.06811,-0.37992,0.21536,0.42857
ARI,5,2025,1,60,35,25,-0.04392,0.12869,-0.28558,0.38333,0.11053,0.06942,0.19275,0.43860
ARI,6,2025,1,70,47,23,0.08987,0.14845,-0.02983,0.47143,-0.14932,-0.15456,-0.14181,0.53571
ARI,7,2025,1,70,46,24,-0.05221,0.04699,-0.24235,0.41429,-0.11763,-0.25017,0.11258,0.50000
ARI,9,2025,1,54,33,21,0.25300,0.34444,0.10932,0.50000,0.14271,0.21559,-0.02127,0.40385
ARI,10,2025,1,63,48,15,-0.32215,-0.27920,-0.45959,0.41270,-0.16287,-0.28564,-0.11025,0.57500
ARI,11,2025,1,50,37,13,0.00229,0.04118,-0.10839,0.48000,-0.20107,-0.31755,0.01398,0.54054
ARI,12,2025,1,76,59,17,-0.14695,-0.13484,-0.18899,0.40789,0.18809,0.18984,0.18563,0.41667
ARI,13,2025,1,60,44,16,-0.02630,0.11355,-0.41090,0.60000,-0.06203,-0.09806,-0.00541,0.44444
ARI,14,2025,1,39,31,8,-0.15450,-0.12637,-0.26352,0.30769,-0.45737,-0.49709,-0.40608,0.65455
ARI,15,2025,1,45,28,17,0.05844,0.03318,0.10004,0.51111,-0.33778,-0.53033,-0.09456,0.55814
ARI,16,2025,1,56,33,23,-0.00424,-0.07260,0.09384,0.37500,-0.12408,-0.22484,-0.01415,0.42029
ARI,17,2025,1,29,20,9,-0.29995,-0.29008,-0.32189,0.27586,-0.39616,-0.53086,-0.20758,0.51667
ARI,18,2025,1,43,31,12,0.08589,0.16712,-0.12395,0.41860,-0.17714,-0.35457,0.13547,0.50000
ATL,1,2025,1,70,47,23,0.05511,0.35819,-0.56423,0.44286,-0.11404,-0.27894,0.22492,0.36364
ATL,2,2025,1,51,24,27,-0.06903,-0.39577,0.22141,0.47059,0.45267,0.63412,0.15781,0.40476
ATL,3,2025,1,51,38,13,-0.36648,-0.51294,0.06166,0.33333,0.05535,0.04245,0.07184,0.48780
ATL,4,2025,1,57,28,29,0.30406,0.68686,-0.06554,0.52632,0.02043,0.05188,-0.02045,0.45652
ATL,6,2025,1,59,34,25,0.09649,0.00733,0.21775,0.49153,0.19454,0.28287,0.06647,0.42857
ATL,7,2025,1,53,35,18,-0.05684,-0.05278,-0.06474,0.47170,-0.04314,-0.09040,-0.00422,0.50000
ATL,8,2025,1,28,17,11,-0.59727,-0.29489,-1.06459,0.32143,-0.18773,-0.23857,-0.14254,0.50980
ATL,9,2025,1,54,40,14,0.06972,0.13763,-0.12432,0.40741,-0.01342,-0.01883,-0.00476,0.44615
ATL,10,2025,1,60,32,28,-0.06675,-0.25156,0.14446,0.45000,-0.15099,0.01176,-0.33699,0.54667
ATL,11,2025,1,58,31,27,0.12682,0.25630,-0.02185,0.51724,-0.12749,-0.27389,0.18970,0.40789
ATL,12,2025,1,45,26,19,-0.04859,-0.14941,0.08937,0.44444,0.29998,0.42116,0.15083,0.36207
ATL,13,2025,1,67,35,32,0.17423,0.16725,0.18185,0.52239,-0.00925,-0.03726,0.04544,0.45161
ATL,14,2025,1,48,21,27,-0.22469,-0.27712,-0.18390,0.41667,0.04083,-0.02112,0.16474,0.46154
ATL,15,2025,1,66,45,21,0.22109,0.27370,0.10837,0.50000,-0.05511,-0.08854,0.01016,0.46774
ATL,16,2025,1,69,36,33,0.12408,0.22484,0.01415,0.42029,0.00424,0.07260,-0.09384,0.37500
ATL,17,2025,1,53,20,33,0.11564,0.24617,0.03653,0.43396,0.10362,0.06704,0.17861,0.42623
ATL,18,2025,1,58,36,22,-0.24802,-0.15872,-0.39415,0.32759,0.21158,0.24658,0.15431,0.34483
BAL,1,2025,1,45,21,24,0.55643,0.55812,0.55494,0.53333,-0.21443,-0.32269,-0.03087,0.46774
BAL,2,2025,1,47,32,15,0.08184,0.23307,-0.24080,0.40426,0.25871,0.38169,-0.03997,0.27083
BAL,3,2025,1,48,32,16,-0.02285,0.16514,-0.39883,0.47917,-0.32088,-0.46690,-0.20824,0.58065
BAL,4,2025,1,39,29,10,-0.04745,-0.12776,0.18546,0.46154,-0.27799,-0.37133,-0.08031,0.49057
BAL,5,2025,1,31,17,14,-0.14657,0.02658,-0.35684,0.38710,-0.46326,-0.65833,-0.20968,0.67391
BAL,6,2025,1,60,26,34,-0.39577,-0.45595,-0.34975,0.40000,-0.10748,-0.15279,-0.02010,0.51220
