player,team,season,sacks,qb_hits_credited,solo,assists,tackles,n_games
C.Bishop,BUF,2025,1.0,1,47,29,76,17
M.Milano,BUF,2025,3.5,6,33,31,64,17
J.Poyer,BUF,2025,0.5,1,24,35,59,17
T.Bernard,BUF,2025,0.0,2,37,21,58,17
Ta.Johnson,BUF,2025,0.0,0,31,21,52,17
S.Thompson,BUF,2025,1.0,2,26,22,48,17
D.Williams,BUF,2025,0.0,2,20,23,43,17
G.Rousseau,BUF,2025,7.0,23,22,21,43,17
C.Benford,BUF,2025,2.0,2,30,9,39,17
T.White,BUF,2025,0.0,0,27,11,38,17
D.Walker,BUF,2025,0.5,3,15,20,35,17
C.Lewis,BUF,2025,0.0,0,23,9,32,17
A.Epenesa,BUF,2025,0.5,5,13,14,27,17
J.Bosa,BUF,2025,3.0,14,15,11,26,17
T.Rapp,BUF,2025,0.0,0,15,9,24,17
D.Jones,BUF,2025,1.0,6,7,11,18,17
M.Hairston,BUF,2025,0.0,0,14,3,17,17
L.Ogunjobi,BUF,2025,0.0,0,7,8,15,17
T.Sanders,BUF,2025,1.0,1,5,9,14,17
P.Mathis,BUF,2025,0.0,0,4,8,12,17
E.Oliver,BUF,2025,3.0,5,8,2,10,17
J.Phillips,BUF,2025,1.0,1,5,4,9,17
J.Hancock,BUF,2025,0.0,0,5,4,9,17
J.Solomon,BUF,2025,1.0,2,5,1,6,17
J.Andreessen,BUF,2025,0.0,1,3,3,6,17
D.Strong,BUF,2025,0.0,0,5,0,5,17
A.Jones,BUF,2025,0.0,0,0,3,3,17
M.Hoecht,BUF,2025,1.5,1,2,1,3,17
J.Ingram,BUF,2025,0.0,0,3,0,3,17
Z.Logue,BUF,2025,0.5,1,1,1,2,17
J.Waddle,BUF,2025,0.0,0,2,0,2,17
K.Jenkins,BUF,2025,0.0,0,1,1,2,17
D.Savage,BUF,2025,0.0,0,0,2,2,17
L.Wypler,BUF,2025,0.0,0,1,1,2,17
B.Christensen,BUF,2025,0.0,0,0,1,1,17
M.Washington,BUF,2025,0.0,0,1,0,1,17
X.Worthy,BUF,2025,0.0,0,1,0,1,17
M.Hollins,BUF,2025,0.0,0,1,0,1,17
T.Fuaga,BUF,2025,0.0,0,1,0,1,17
G.Barton,BUF,2025,0.0,0,1,0,1,17
H.Fannin,BUF,2025,0.0,0,0,1,1,17
C.Hubbard,BUF,2025,0.0,0,1,0,1,17
R.Dowdle,BUF,2025,0.0,0,1,0,1,17
D.Risner,BUF,2025,0.0,0,1,0,1,17
A.Dalton,BUF,2025,0.0,0,0,1,1,17
J.Campbell,DET,2025,5.0,5,74,70,144,17
A.Anzalone,DET,2025,2.0,5,47,38,85,17
B.Branch,DET,2025,1.5,4,39,25,64,17
D.Barnes,DET,2025,3.0,4,33,25,58,17
A.Hutchinson,DET,2025,11.5,27,30,17,47,17
A.Robertson,DET,2025,0.0,0,38,9,47,17
D.Reed,DET,2025,0.0,0,34,8,42,17
R.Ya-Sin,DET,2025,0.0,2,22,14,36,17
T.Harper,DET,2025,0.0,0,22,10,32,17
T.Arnold,DET,2025,0.0,0,20,8,28,17
R.Lopez,DET,2025,2.0,5,9,17,26,17
A.Maddox,DET,2025,0.0,0,18,7,25,17
D.Reader,DET,2025,0.0,2,11,12,23,17
T.Lacy,DET,2025,1.0,2,6,13,19,17
A.Muhammad,DET,2025,7.5,14,11,7,18,17
T.Williams,DET,2025,1.0,2,8,9,17,17
K.Joseph,DET,2025,0.0,0,13,2,15,17
E.Hallett,DET,2025,0.0,0,8,6,14,17
M.Davenport,DET,2025,1.0,3,5,8,13,17
D.Thomas,DET,2025,0.0,0,6,7,13,17
A.McNeill,DET,2025,1.0,2,5,7,12,17
A.Maulet,DET,2025,0.0,0,9,1,10,17
M.Rodriguez,DET,2025,0.0,0,6,2,8,17
J.Mills,DET,2025,0.0,0,2,4,6,17
T.Nowaske,DET,2025,1.0,2,2,3,5,17
N.Whiteside,DET,2025,0.0,0,2,2,4,17
J.Chase,DET,2025,0.0,0,3,0,3,17
M.Wingo,DET,2025,0.0,0,2,1,3,17
Z.Cunningham,DET,2025,0.0,0,3,0,3,17
P.O'Connor,DET,2025,0.0,0,1,1,2,17
T.Wheat,DET,2025,0.5,1,1,1,2,17
K.Leveston,DET,2025,0.0,0,1,0,1,17
J.Nailor,DET,2025,0.0,0,1,0,1,17
W.Robinson,DET,2025,0.0,0,1,0,1,17
G.Stuard,DET,2025,0.0,0,1,0,1,17
L.Jackson,DET,2025,0.0,0,1,0,1,17
D.Prescott,DET,2025,0.0,0,1,0,1,17
J.Jackson,DET,2025,0.0,0,1,0,1,17
C.Parkinson,DET,2025,0.0,0,1,0,1,17
C.Otton,DET,2025,0.0,0,1,0,1,17
