game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_DET_GB,0.0,0,0,0,0.0,0,5,3,36.0
2025_02_CHI_DET,0.0,0,0,0,7.0,2,9,7,103.0
2025_03_DET_BAL,0.0,0,0,0,0.0,0,7,6,57.0
2025_04_CLE_DET,0.0,0,0,0,0.0,0,5,5,54.0
2025_05_DET_CIN,0.0,0,0,0,0.0,0,7,6,67.0
2025_06_DET_KC,0.0,0,0,0,2.0,1,10,9,48.0
2025_07_TB_DET,0.0,0,0,0,0.0,0,9,5,87.0
2025_09_MIN_DET,0.0,0,0,0,0.0,0,13,9,97.0
2025_10_DET_WAS,0.0,0,0,0,0.0,0,8,5,58.0
2025_11_DET_PHI,0.0,0,0,0,0.0,0,11,2,42.0
2025_12_NYG_DET,0.0,0,0,0,0.0,0,13,9,149.0
2025_13_GB_DET,0.0,0,0,0,0.0,0,1,0,0.0
2025_14_DAL_DET,0.0,0,0,0,0.0,0,9,6,92.0
2025_15_DET_LA,0.0,0,0,0,0.0,0,14,11,142.0
2025_16_PIT_DET,0.0,0,0,0,0.0,0,8,4,54.0
2025_17_DET_MIN,0.0,0,0,0,0.0,0,12,8,68.0
2025_18_DET_CHI,0.0,0,0,0,0.0,0,15,11,139.0
