game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_BAL_BUF,0.0,0,0,0,0.0,0,4,3,37.0
2025_02_BUF_NYJ,0.0,0,0,0,0.0,0,5,3,25.0
2025_03_MIA_BUF,0.0,0,0,0,0.0,0,6,5,66.0
2025_04_NO_BUF,0.0,0,0,0,0.0,0,2,1,28.0
2025_05_NE_BUF,0.0,0,0,0,0.0,0,6,6,108.0
2025_08_BUF_CAR,0.0,0,0,0,0.0,0,3,1,23.0
2025_09_KC_BUF,0.0,0,0,0,0.0,0,6,6,101.0
2025_10_BUF_MIA,0.0,0,0,0,0.0,0,3,2,37.0
2025_14_CIN_BUF,0.0,0,0,0,0.0,0,5,4,41.0
2025_15_BUF_NE,0.0,0,0,0,0.0,0,4,3,34.0
2025_16_BUF_CLE,0.0,0,0,0,0.0,0,1,0,0.0
2025_18_NYJ_BUF,0.0,0,0,0,0.0,0,3,3,48.0
