game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_DET_GB,0.0,0,0,0,25.0,11,4,4,18.0
2025_02_CHI_DET,0.0,0,0,0,52.0,8,1,1,4.0
2025_03_DET_BAL,0.0,0,0,0,120.0,11,1,1,13.0
2025_04_CLE_DET,0.0,0,0,0,6.0,6,0,0,0.0
2025_05_DET_CIN,3.0,1,1,0,39.0,11,1,1,6.0
2025_06_DET_KC,0.0,0,0,0,24.0,4,2,2,37.0
2025_07_TB_DET,0.0,0,0,0,14.0,8,3,2,18.0
2025_09_MIN_DET,0.0,0,0,0,40.0,11,4,2,10.0
2025_10_DET_WAS,0.0,0,0,0,47.0,11,1,1,0.0
2025_11_DET_PHI,0.0,0,0,0,27.0,6,1,1,10.0
2025_12_NYG_DET,0.0,0,0,0,18.0,5,3,3,19.0
2025_13_GB_DET,0.0,1,0,0,32.0,8,2,2,16.0
2025_14_DAL_DET,0.0,0,0,0,60.0,6,1,1,13.0
2025_15_DET_LA,0.0,0,0,0,31.0,6,1,0,0.0
2025_16_PIT_DET,0.0,0,0,0,14.0,4,0,0,0.0
2025_17_DET_MIN,0.0,0,0,0,25.0,10,2,2,15.0
2025_18_DET_CHI,0.0,0,0,0,42.0,8,1,1,13.0
