game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_BAL_BUF,313.0,36,1,0,20.0,9,0,0,0.0
2025_02_BUF_NYJ,136.0,23,0,0,60.0,5,0,0,0.0
2025_03_MIA_BUF,213.0,28,3,0,23.0,3,0,0,0.0
2025_04_NO_BUF,201.0,19,2,1,33.0,3,0,0,0.0
2025_05_NE_BUF,253.0,31,2,1,53.0,9,0,0,0.0
2025_06_BUF_ATL,150.0,22,2,2,18.0,5,0,0,0.0
2025_08_BUF_CAR,163.0,19,1,0,7.0,3,0,0,0.0
2025_09_KC_BUF,273.0,26,1,0,20.0,5,0,0,0.0
2025_10_BUF_MIA,150.0,28,0,1,31.0,4,0,0,0.0
2025_11_TB_BUF,317.0,31,3,2,40.0,6,0,0,0.0
2025_12_BUF_HOU,253.0,34,0,2,21.0,4,0,0,0.0
2025_13_BUF_PIT,92.0,19,1,1,38.0,8,0,0,0.0
2025_14_CIN_BUF,251.0,29,3,0,81.0,6,0,0,0.0
2025_15_BUF_NE,193.0,28,3,0,51.0,8,0,0,0.0
2025_16_BUF_CLE,130.0,19,0,0,19.0,5,0,0,0.0
2025_17_PHI_BUF,262.0,36,0,0,28.0,6,0,0,0.0
