game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_BAL_BUF,0.0,0,0,0,44.0,13,5,5,58.0
2025_02_BUF_NYJ,0.0,0,0,0,132.0,21,1,1,3.0
2025_03_MIA_BUF,0.0,0,0,0,105.0,17,3,3,10.0
2025_04_NO_BUF,0.0,0,0,0,106.0,19,3,2,16.0
2025_05_NE_BUF,0.0,0,0,0,49.0,15,1,0,0.0
2025_06_BUF_ATL,0.0,0,0,0,87.0,17,0,0,0.0
2025_08_BUF_CAR,0.0,0,0,0,216.0,19,0,0,0.0
2025_09_KC_BUF,0.0,0,0,0,110.0,24,1,1,11.0
2025_10_BUF_MIA,0.0,0,0,0,46.0,12,3,3,9.0
2025_11_TB_BUF,0.0,0,0,0,39.0,13,3,3,66.0
2025_12_BUF_HOU,0.0,0,0,0,116.0,17,3,3,13.0
2025_13_BUF_PIT,0.0,0,0,0,132.0,26,3,3,33.0
2025_14_CIN_BUF,0.0,0,0,0,80.0,18,2,2,31.0
2025_15_BUF_NE,0.0,0,0,0,99.0,20,3,2,4.0
2025_16_BUF_CLE,0.0,0,0,0,117.0,16,2,1,17.0
2025_17_PHI_BUF,0.0,0,0,0,74.0,20,4,1,3.0
2025_18_NYJ_BUF,0.0,0,0,0,15.0,2,0,0,0.0
