game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_DET_GB,0.0,0,0,0,20.0,8,7,7,19.0
2025_02_CHI_DET,0.0,0,0,0,68.0,11,3,3,10.0
2025_03_DET_BAL,0.0,0,0,0,67.0,22,5,4,29.0
2025_04_CLE_DET,0.0,0,0,0,82.0,12,2,2,6.0
2025_05_DET_CIN,0.0,0,0,0,43.0,10,2,2,33.0
2025_06_DET_KC,0.0,0,0,0,65.0,17,2,1,-3.0
2025_07_TB_DET,0.0,0,0,0,136.0,16,3,3,82.0
2025_09_MIN_DET,0.0,0,0,0,25.0,9,3,3,3.0
2025_10_DET_WAS,0.0,0,0,0,94.0,13,4,3,30.0
2025_11_DET_PHI,0.0,0,0,0,39.0,12,8,5,107.0
2025_12_NYG_DET,0.0,0,0,0,219.0,15,12,11,45.0
2025_13_GB_DET,0.0,0,0,0,68.0,20,4,3,18.0
2025_14_DAL_DET,0.0,0,0,0,30.0,11,7,7,77.0
2025_15_DET_LA,0.0,0,0,0,34.0,12,5,3,5.0
2025_16_PIT_DET,0.0,0,0,0,2.0,7,12,9,61.0
2025_17_DET_MIN,0.0,0,0,0,41.0,17,2,1,10.0
2025_18_DET_CHI,0.0,0,0,0,80.0,19,5,3,33.0
