game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_DET_GB,152.0,25,0,1,0.0,0,0,0,0.0
2025_02_CHI_DET,314.0,25,3,0,6.0,1,0,0,0.0
2025_03_DET_BAL,179.0,26,1,0,7.0,3,0,0,0.0
2025_04_CLE_DET,125.0,22,1,1,0.0,0,0,0,0.0
2025_05_DET_CIN,207.0,19,2,0,0.0,0,0,0,0.0
2025_06_DET_KC,194.0,25,2,0,7.0,1,0,0,0.0
2025_07_TB_DET,242.0,27,1,1,7.0,2,0,0,0.0
2025_09_MIN_DET,284.0,37,2,0,0.0,0,0,0,0.0
2025_10_DET_WAS,312.0,32,3,0,0.0,0,0,0,0.0
2025_11_DET_PHI,228.0,35,1,1,0.0,0,0,0,0.0
2025_12_NYG_DET,279.0,40,2,1,0.0,0,0,0,0.0
2025_13_GB_DET,256.0,26,2,0,24.0,1,0,0,0.0
2025_14_DAL_DET,309.0,34,1,0,0.0,0,0,0,0.0
2025_15_DET_LA,260.0,30,3,0,0.0,0,0,0,0.0
2025_16_PIT_DET,338.0,51,3,0,0.0,0,0,0,0.0
2025_17_DET_MIN,162.0,25,1,2,2.0,3,0,0,0.0
2025_18_DET_CHI,331.0,42,1,1,0.0,0,0,0,0.0
