game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_DET_GB,0.0,0,0,0,3.0,1,3,3,18.0
2025_02_CHI_DET,0.0,0,0,0,0.0,0,4,2,108.0
2025_03_DET_BAL,0.0,0,0,0,0.0,0,3,2,43.0
2025_04_CLE_DET,0.0,0,0,0,0.0,0,7,1,13.0
2025_05_DET_CIN,0.0,0,0,0,1.0,1,1,1,9.0
2025_06_DET_KC,0.0,0,0,0,0.0,0,6,6,66.0
2025_07_TB_DET,0.0,0,0,0,0.0,0,1,0,0.0
2025_09_MIN_DET,0.0,0,0,0,0.0,0,6,4,66.0
2025_10_DET_WAS,0.0,0,0,0,0.0,0,6,6,119.0
2025_11_DET_PHI,0.0,0,0,0,9.0,1,6,3,61.0
2025_12_NYG_DET,0.0,0,0,0,0.0,0,3,0,0.0
2025_13_GB_DET,0.0,0,0,0,-5.0,1,10,7,144.0
2025_14_DAL_DET,0.0,0,0,0,7.0,1,9,7,96.0
2025_15_DET_LA,0.0,0,0,0,0.0,0,6,5,93.0
2025_16_PIT_DET,0.0,0,0,0,0.0,0,8,4,49.0
2025_17_DET_MIN,0.0,0,0,0,0.0,0,3,2,37.0
2025_18_DET_CHI,0.0,0,0,0,0.0,0,8,6,74.0
