game,pass_yds,att,ptd,ints,rush_yds,rush_att,tgt,rec,rec_yds
2025_01_BAL_BUF,0.0,0,0,0,0.0,0,7,5,58.0
2025_02_BUF_NYJ,0.0,0,0,0,0.0,0,2,1,12.0
2025_03_MIA_BUF,0.0,0,0,0,0.0,0,4,4,45.0
2025_04_NO_BUF,0.0,0,0,0,0.0,0,4,4,63.0
2025_05_NE_BUF,0.0,0,0,0,5.0,1,9,6,45.0
2025_06_BUF_ATL,0.0,0,0,0,0.0,0,5,3,33.0
2025_08_BUF_CAR,0.0,0,0,0,0.0,0,7,6,88.0
2025_09_KC_BUF,0.0,0,0,0,0.0,0,8,7,43.0
2025_10_BUF_MIA,0.0,0,0,0,0.0,0,6,4,28.0
2025_11_TB_BUF,0.0,0,0,0,0.0,0,3,1,-3.0
2025_12_BUF_HOU,0.0,0,0,0,0.0,0,10,8,77.0
2025_13_BUF_PIT,0.0,0,0,0,0.0,0,4,1,5.0
2025_14_CIN_BUF,0.0,0,0,0,0.0,0,3,2,16.0
2025_15_BUF_NE,0.0,0,0,0,0.0,0,5,5,65.0
2025_16_BUF_CLE,0.0,0,0,0,0.0,0,5,4,34.0
2025_17_PHI_BUF,0.0,0,0,0,0.0,0,8,6,35.0
