player,team,prop_type,projection,low,high,method,key_assumptions,sample_basis,notes
Josh Allen,BUF,passing_yards,201,135,265,"exp_att(25.5) x 2025 yds/att(7.83); x1.031 garbage-time adj","BUF 56 plays x 53% script-adj dropback rate (favorite); Allen 91.0% of team dropbacks in his games; attempts excl. sacks. Opponent NOT adjusted: DET pass D +0.014 EPA/db (~avg).","2025 16g; full-game adj; Wk1 334 yds","MARKET (DraftKings via SI 9/16): 250.5 -> model UNDER by ~50. Market weights W1 form + DET secondary injuries (Branch/Joseph out) + 55.5 total; model weights 2025 base + favorite script. Safety absences are a real unmodeled upside risk: lean under, not a strong call."
Josh Allen,BUF,pass_attempts,26,20,32,"56 plays x 53% dropback x 91.0% Allen share x 92.2% att/db; x1.025 garbage adj","Attempts = official (excl. sacks); sacks 7.8% of Allen dropbacks 2025.","2025 16g; full-game adj",""
Josh Allen,BUF,passing_TDs,1.5,0,3,"2025 per-game mean (22/16g) x1.112 garbage adj; RZ mechanism: 4.5 rz att/g x 20.8% RZ TD rate","TDs high-variance; RZ share (16.8% of attempts) assumed stable.","2025 16g; full-game adj","BUF RZ TD rate 35.3% of drives."
Josh Allen,BUF,rushing_yards,34,14,54,"5.6 exp rush att x 2025 ypc 6.10; x1.112 garbage adj","5.56 att/g haircut to 5.0 for favorite script, then garbage-adjusted; 71% of Allen rush yds came on scrambles (387/543) -> pressure/script sensitive.","2025 16g; full-game adj","Scramble-driven: production follows pressure + trailing script, not design."
Josh Allen,BUF,rushing_TDs,1.0,0,2,"2025 per-game mean (14/16g) x1.112 garbage adj; RZ mechanism: 27 RZ rushes -> 13 TD (48.1%)","Allen is BUF's goal-line back; RZ role assumed intact.","2025 16g; full-game adj","Strongest TD mechanism on the slate."
Josh Allen,BUF,interceptions,0.5,0,2,"27.0 exp dropbacks x worthy-throw rate 3.66% x league conversion 52.3%","FTN is_interception_worthy (2025 only); DET takeaways +1.5 over expected 2025 (mildly lucky).","2025 16g (464 db)","Allen threw 17 worthy balls vs 10 actual INTs: danger volume is the signal. Typical 0.5 line -> coin flip, no edge."
Jared Goff,DET,passing_yards,282,215,355,"exp_att(35.5) x 2025 yds/att(8.01); x1.094 garbage adj","DET 55 plays x 63% script-adj dropback rate (underdog); Goff 98.6% of team dropbacks. Opponent NOT adjusted: BUF pass D +0.108 EPA/db (good) = mild efficiency risk.","2025 17g; full-game adj","Goff hit on 18.9% of 2025 dropbacks; DET down LG Mahogany + RT Miller (both ruled out 9/17) -> downside risk, unmodeled in numbers."
Jared Goff,DET,passing_TDs,1.9,1,3,"2025 per-game mean (29/17g) x1.113 garbage adj; RZ mechanism: 5.1 rz att/g x 23.3% RZ TD rate","High-variance; RZ role stable.","2025 17g; full-game adj","DET RZ TD rate 29.0% of drives."
Jared Goff,DET,interceptions,0.3,0,1,"34.2 exp dropbacks x worthy rate 1.44% x 52.3% conversion; x1.1 garbage adj","Worthy-implied (0.28) below actual mean (0.47); BUF takeaways +4.1 over expected 2025 (lucky year, expect regression).","2025 17g (554 db)","Typical 0.5 line -> mild under lean on process; single-game INTs are noise, no strong call."
James Cook,BUF,rushing_yards,102,52,150,"19.4 exp carries x 2025 YPC 5.42; x1.035 garbage adj","BUF 26.3 designed rushes (47% of 56 plays, favorite script); Cook 69.0% carry share (Wk1 2026: 13/19 = 68% confirms). 95.5% of carries on early downs -> volume evaporates if BUF trails. Opponent NOT adjusted: DET rush D -0.001 (~avg).","2025 17g; full-game adj; Wk1 share check","YPC 5.42 is elite and may regress; band carries it. Early-down back: game script is the risk."
James Cook,BUF,receiving_yards,28,8,48,"3.8 exp targets x YPT 7.41; x1.081 garbage adj","W1-2026 share 13.8% (4/29; n=1, noisy) vs 2025 8.6%; used W1 (current roster); catch 81.1%.","2025 17g eff.; Wk1 share (n=1)","Bonus row; thin role, share noisy."
Jahmyr Gibbs,DET,rushing_yards,95,50,140,"18.0 exp carries x 2025 YPC 4.82; x1.10 garbage adj","BASE CASE: Montgomery OUT (on HOU: 20 carries W1). Gibbs ~88% of DET designed rushes (W1: 29/32 = 91%; 2025 share ex-Monty implied ~93%; used 88% as compromise, stated). 89.6% of carries on early downs. Opponent NOT adjusted: BUF rush D -0.064 (bad) = mild positive.","2025 17g; Wk1 bellcow check (29/156); full-game adj","MARKET (DraftKings via SI): 89.5 -> model 95, essentially AT the line: no edge (coin flip). If Montgomery were somehow active: ~60 yds. Sensitivity stated, not averaged."
Jahmyr Gibbs,DET,receiving_yards,38,10,70,"5.8 exp targets x YPT 6.57; x1.093 garbage adj","Target share 16.51% of Goff attempts; catch 81.4%; share grew H2 (12.3%->17.5%).","2025 17g; full-game adj",""
Jahmyr Gibbs,DET,receptions,4.7,2,7,"5.8 exp targets x 81.4% catch rate; x1.093 garbage adj","Share stability verified (split-half).","2025 17g; full-game adj",""
Amon-Ra St. Brown,DET,receiving_yards,97,45,135,"11.7 exp targets x YPT 8.29; x1.103 garbage adj","Target share 29.94% of Goff attempts; split-half stable (29.5%/27.0%); catch 67.9%.","2025 17g; full-game adj","Most stable WR role on the slate."
