player,team,season,g,pass_yds,pass_att,pass_att_incl_sack,sacks_taken,pass_td,ints,scrambles,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,air_yds,rz_pass_att,rz_pass_td,rz_rush_att,rz_rush_td,rz_targets,rz_rec_td
J.Allen,BUF,2026,1,334.0,30,32,2,2,0,0,5,24.0,2,0,0,0.0,0,0.0,6,0,1,1,0,0
J.Goff,DET,2026,1,206.0,39,40,1,2,0,0,2,2.0,0,0,0,0.0,0,0.0,8,2,0,0,0,0
J.Cook,BUF,2026,1,0.0,0,0,0,0,0,0,13,57.0,0,4,3,12.0,0,-4.0,0,0,2,0,1,0
J.Gibbs,DET,2026,1,0.0,0,0,0,0,0,0,29,156.0,2,5,5,30.0,0,-4.0,0,0,8,2,0,0
D.Montgomery,DET,2026,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0
A.St. Brown,DET,2026,1,0.0,0,0,0,0,0,0,0,0.0,0,14,10,67.0,2,70.0,0,0,0,0,4,2
J.Williams,DET,2026,1,0.0,0,0,0,0,0,0,0,0.0,0,9,4,45.0,0,127.0,0,0,0,0,1,0
K.Shakir,BUF,2026,1,0.0,0,0,0,0,0,0,0,0.0,0,6,4,40.0,0,39.0,0,0,0,0,3,0
D.Kincaid,BUF,2026,1,0.0,0,0,0,0,0,0,0,0.0,0,6,5,130.0,0,98.0,0,0,0,0,0,0
S.LaPorta,DET,2026,1,0.0,0,0,0,0,0,0,0,0.0,0,8,5,48.0,0,7.0,0,0,0,0,2,0
