category,metric_path,metric_title,free_full,rank,name,name_href,team,position,season_label,season_value,last_1,last_3,last_5,last_10,home,away,extra_json
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,1,Ja'Kobi LaneJ. Lane,/nfl/player-pages/110650/jakobi-lane,Baltimore Ravens,WR,2026,61.5%,61.5%,61.5%,61.5%,61.5%,-,61.5%,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,2,A.J. BrownA. Brown,/nfl/player-pages/3584/aj-brown,New England Patriots,WR,2026,58.3%,58.3%,58.3%,58.3%,58.3%,-,58.3%,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,3,Tee HigginsT. Higgins,/nfl/player-pages/16731/tee-higgins,Cincinnati Bengals,WR,2026,56.7%,56.7%,56.7%,56.7%,56.7%,56.7%,-,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,4,Drake LondonD. London,/nfl/player-pages/17187/drake-london,Atlanta Falcons,WR,2026,56.0%,56.0%,56.0%,56.0%,56.0%,-,56.0%,
advanced-players,/nfl/advanced/players/alignment/left-alignment-rate,Left Alignment Rate | NFL Advanced Stats,no,5,Nico CollinsN. Collins,/nfl/player-pages/14167/nico-collins,Houston Texans,WR,2026,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,-,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,1,Trey McBrideT. McBride,/nfl/player-pages/20178/trey-mcbride,Arizona Cardinals,TE,2026,71.1%,71.1%,71.1%,71.1%,71.1%,-,71.1%,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,2,Colston LovelandC. Loveland,/nfl/player-pages/9105/colston-loveland,Chicago Bears,TE,2026,71.0%,71.0%,71.0%,71.0%,71.0%,-,71.0%,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,3,Isaiah LikelyI. Likely,/nfl/player-pages/21028/isaiah-likely,New York Giants,TE,2026,67.7%,67.7%,67.7%,67.7%,67.7%,67.7%,-,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,4,Juwan JohnsonJ. Johnson,/nfl/player-pages/14481/juwan-johnson,New Orleans Saints,TE,2026,61.3%,61.3%,61.3%,61.3%,61.3%,-,61.3%,
advanced-players,/nfl/advanced/players/alignment/move-te-percent,Move TE Percentage | NFL Advanced Stats,no,5,Tyler WarrenT. Warren,/nfl/player-pages/18261/tyler-warren,Indianapolis Colts,TE,2026,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,-,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,1,Juwan JohnsonJ. Johnson,/nfl/player-pages/14481/juwan-johnson,New Orleans Saints,TE,2026,45,45,45,45,45,-,45,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,2,Trey McBrideT. McBride,/nfl/player-pages/20178/trey-mcbride,Arizona Cardinals,TE,2026,35,35,35,35,35,-,35,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,3,Colston LovelandC. Loveland,/nfl/player-pages/9105/colston-loveland,Chicago Bears,TE,2026,34,34,34,34,34,-,34,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,4,Hunter HenryH. Henry,/nfl/player-pages/6312/hunter-henry,New England Patriots,TE,2026,30,30,30,30,30,-,30,
advanced-players,/nfl/advanced/players/alignment/move-te-snaps,Move TE Snaps | NFL Advanced Stats,no,4,Dalton SchultzD. Schultz,/nfl/player-pages/17832/dalton-schultz,Houston Texans,TE,2026,30,30,30,30,30,30,-,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,1,George PickensG. Pickens,/nfl/player-pages/23440/george-pickens,Dallas Cowboys,WR,2026,93.3%,93.3%,93.3%,93.3%,93.3%,-,93.3%,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,2,Denzel BostonD. Boston,/nfl/player-pages/110385/denzel-boston,Cleveland Browns,WR,2026,92.3%,92.3%,92.3%,92.3%,92.3%,-,92.3%,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,2,Tre TuckerT. Tucker,/nfl/player-pages/16994/tre-tucker,Las Vegas Raiders,WR,2026,92.3%,92.3%,92.3%,92.3%,92.3%,92.3%,-,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,4,Kevin Coleman Jr.K. Coleman Jr.,/nfl/player-pages/110437/kevin-coleman-jr,Miami Dolphins,WR,2026,91.7%,91.7%,91.7%,91.7%,91.7%,-,91.7%,
advanced-players,/nfl/advanced/players/alignment/perimeter-rate,Perimeter Rate | NFL Advanced Stats,no,4,Nico CollinsN. Collins,/nfl/player-pages/14167/nico-collins,Houston Texans,WR,2026,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,-,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,1,Puka NacuaP. Nacua,/nfl/player-pages/14907/puka-nacua,Los Angeles Rams,WR,2026,65.0%,65.0%,65.0%,65.0%,65.0%,65.0%,-,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,2,Rome OdunzeR. Odunze,/nfl/player-pages/8836/rome-odunze,Chicago Bears,WR,2026,57.9%,57.9%,57.9%,57.9%,57.9%,-,57.9%,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,3,Dyami BrownD. Brown,/nfl/player-pages/10849/dyami-brown,Washington Commanders,WR,2026,54.5%,54.5%,54.5%,54.5%,54.5%,-,54.5%,
advanced-players,/nfl/advanced/players/alignment/right-alignment-rate,Right Alignment Rate | NFL Advanced Stats,no,4,Xavier LegetteX. Legette,/nfl/player-pages/23813/xavier-legette,Carolina Panthers,WR,2026,54.2%,54.2%,54.2%,54.2%,54.2%,54.2%,-,
