category,metric_path,metric_title,free_full,rank,name,name_href,team,position,season_label,season_value,last_1,last_3,last_5,last_10,home,away,extra_json
advanced-teams,/nfl/advanced/teams/coverage/average-cushion-allowed,Average Cushion Allowed (Team Defense) | NFL Advanced Stats,no,1,Minnesota Vikings,,Minnesota Vikings,,2026,7.4,7.4,7.4,7.4,7.4,7.4,-,"{""2025"": ""4.8""}"
advanced-teams,/nfl/advanced/teams/coverage/average-cushion-allowed,Average Cushion Allowed (Team Defense) | NFL Advanced Stats,no,2,Washington Commanders,,Washington Commanders,,2026,6.4,6.4,6.4,6.4,6.4,-,6.4,"{""2025"": ""4.7""}"
advanced-teams,/nfl/advanced/teams/coverage/average-cushion-allowed,Average Cushion Allowed (Team Defense) | NFL Advanced Stats,no,3,New Orleans Saints,,New Orleans Saints,,2026,6.3,6.3,6.3,6.3,6.3,-,6.3,"{""2025"": ""5.3""}"
advanced-teams,/nfl/advanced/teams/coverage/average-cushion-allowed,Average Cushion Allowed (Team Defense) | NFL Advanced Stats,no,4,Houston Texans,,Houston Texans,,2026,6.0,6.0,6.0,6.0,6.0,6.0,-,"{""2025"": ""4.9""}"
advanced-teams,/nfl/advanced/teams/coverage/average-cushion-allowed,Average Cushion Allowed (Team Defense) | NFL Advanced Stats,no,5,Pittsburgh Steelers,,Pittsburgh Steelers,,2026,5.5,5.5,5.5,5.5,5.5,5.5,-,"{""2025"": ""5.0""}"
advanced-teams,/nfl/advanced/teams/coverage/average-depth-of-target-allowed,Avg Depth of Target Allowed | NFL Advanced Stats,no,1,Houston Texans,,Houston Texans,,2026,12.4,12.4,12.4,12.4,12.4,12.4,-,"{""2025"": ""8.5""}"
advanced-teams,/nfl/advanced/teams/coverage/average-depth-of-target-allowed,Avg Depth of Target Allowed | NFL Advanced Stats,no,2,Las Vegas Raiders,,Las Vegas Raiders,,2026,11.4,11.4,11.4,11.4,11.4,11.4,-,"{""2025"": ""7.5""}"
advanced-teams,/nfl/advanced/teams/coverage/average-depth-of-target-allowed,Avg Depth of Target Allowed | NFL Advanced Stats,no,3,Minnesota Vikings,,Minnesota Vikings,,2026,11.4,11.4,11.4,11.4,11.4,11.4,-,"{""2025"": ""6.7""}"
advanced-teams,/nfl/advanced/teams/coverage/average-depth-of-target-allowed,Avg Depth of Target Allowed | NFL Advanced Stats,no,4,Indianapolis Colts,,Indianapolis Colts,,2026,11.3,11.3,11.3,11.3,11.3,11.3,-,"{""2025"": ""8.0""}"
advanced-teams,/nfl/advanced/teams/coverage/average-depth-of-target-allowed,Avg Depth of Target Allowed | NFL Advanced Stats,no,5,Carolina Panthers,,Carolina Panthers,,2026,10.8,10.8,10.8,10.8,10.8,10.8,-,"{""2025"": ""7.8""}"
advanced-teams,/nfl/advanced/teams/coverage/explosive-reception-rate-allowed,Explosive Reception Rate Allowed | NFL Advanced Stats,no,1,Las Vegas Raiders,,Las Vegas Raiders,,2026,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,-,"{""2025"": ""10.3%""}"
