team,pressure_rate_on_4man_pct,four_man_rush_rate_pct,status
SF,28,86,named in post text (exact)
PIT,21,92,named in post text (exact)
JAX,25,55,named in post text (exact)
MIN,12,15,named in post text (exact)
LV,,,,top-right quadrant (approx)
CIN,,,,top-right quadrant (approx)
CLE,,,,top-right quadrant (approx)
HOU,,,,top-right quadrant (approx)
ARI,,,,top-right quadrant (approx)
LAR,,,,top-right quadrant (approx)
NYG,,,,top-right quadrant (approx)
ATL,,,,top-right quadrant (approx)
LAC,,,,top-right quadrant (approx)
BAL,,,,top-right quadrant (approx)
DAL,,,,top-right quadrant (approx)
NYJ,,,,top-right quadrant (approx)
SEA,,,,top-right quadrant (approx)
NO,,,,top-right quadrant (approx)
DEN,,,,bottom-right quadrant (approx)
IND,,,,bottom-right quadrant (approx)
KC,,,,bottom-right quadrant (approx)
TB,,,,bottom-right quadrant (approx)
BUF,,,,bottom-right quadrant (approx)
DET,,,,bottom-right quadrant (approx)
GB,,,,bottom-right quadrant (approx)
NE,,,,bottom-right quadrant (approx)
WAS,,,,bottom-right quadrant (approx)
CHI,,,,bottom-right quadrant (approx)
CAR,,,,bottom-right quadrant (approx)
TEN,,,,bottom-right quadrant (approx)
MIA,,,,bottom-right quadrant (approx)
PHI,,,,bottom-right quadrant (approx)
