qb,avg_time_to_throw_s,cpoe_pct,note
T. Lawrence,2.95,17,approx
B. Mayfield,2.85,16,approx
J. Dart,2.65,11.5,approx
C. Williams,3.10,12,approx
J. Allen,3.10,10.5,approx
G. Smith,3.05,10,approx
C. Stroud,2.85,9,approx
J. Brissett,2.60,8.5,approx
B. Purdy,2.75,8,approx
L. Jackson,3.30,6.5,approx
D. Lock,2.75,6,approx
J. Burrow,2.55,5.5,approx
B. Young,3.05,5,approx
K. Cousins,2.80,5,approx
D. Prescott,2.75,4,approx
D. Watson,3.00,3.5,approx
M. Stafford,2.95,2.5,approx
D. Maye,2.85,2.5,approx
M. Willis,3.20,-0.5,approx
T. Shough,2.62,-0.5,approx
A. Rodgers,3.00,-0.5,approx
J. Herbert,2.85,-1,approx
D. Jones,2.82,-1.5,approx
J. Hurts,3.30,-1.5,approx
J. Goff,2.70,-2.5,approx
J. Daniels,3.40,-4.5,approx
C. Ward,2.95,-5,approx
C. Wentz,2.80,-6,approx
B. Nix,3.05,-8.5,approx
J. Love,2.62,-8.5,approx
P. Mahomes,2.30,-12,approx
C. Rush,2.70,-13,approx
