rank,team,remaining_sos_pct
1,Cardinals,55.6
2,Chargers,55.3
3,Dolphins,55.3
4,Raiders,53.8
5,Seahawks,53.2
6,Cowboys,52.8
7,Rams,52.6
8,Jaguars,52.6
9,Titans,52.0
10,Commanders,51.4
11,Giants,50.8
12,Eagles,50.6
13,Chiefs,50.4
14,Broncos,50.3
15,Bills,50.2
16,Steelers,50.0
17,Bears,49.8
18,Packers,49.4
19,Texans,49.3
20,Jets,49.1
21,Panthers,48.9
22,49ers,48.9
23,Falcons,48.8
24,Patriots,48.3
25,Colts,48.3
26,Vikings,48.1
27,Buccaneers,47.3
28,Browns,46.8
29,Ravens,46.1
30,Bengals,45.0
31,Lions,43.7
32,Saints,43.4
