player,team,backfield_xfp_share_pct
De'Von Achane,MIA,95
Javonte Williams,DAL,95
Jahmyr Gibbs,DET,93
Jonathan Taylor,IND,93
James Cook,BUF,93
Ashton Jeanty,LV,87
Bijan Robinson,ATL,84
Omarion Hampton,LAC,81
Bucky Irving,TB,80
Derrick Henry,BAL,80
Breece Hall,NYJ,78
David Montgomery,HOU,77
Saquon Barkley,PHI,75
Rhamondre Stevenson,NE,74
Chase Brown,CIN,73
Kenneth Walker,KC,73
D'Andre Swift,CHI,71
Chuba Hubbard,CAR,71
Travis Etienne,NO,71
Christian McCaffrey,SF,66
RJ Harvey,DEN,65
Bhayshul Tuten,JAX,65
MarShawn Lloyd,GB,63
Jaylen Warren,PIT,63
Kyren Williams,LAR,61
Quinshon Judkins,CLE,61
Jadarian Price,SEA,56
Tyjae Spears,TEN,55
Cam Skattebo,NYG,55
Jordan Mason,MIN,53
Jacory Croskey-Merritt,WAS,52
Jeremiyah Love,ARI,52
