rank,player,team_season,games,sim_score,fp_per_g,xfp_per_g,route_pct,tgt_pct,tprr,yprr,adot,first_read_pct,first_down_per_rr
,Parker Washington,JAX 2026,1,100,19.30,20.34,62.5%,26.1%,0.40,5.53,16.8,27.8%,0.27
1,Tyreek Hill,MIA 2023,17,42.4,23.21,23.41,75.2%,30.4%,0.37,3.94,11.1,37.5%,0.18
2,Puka Nacua,LA 2025,19,40.4,23.87,20.84,77.0%,29.7%,0.37,3.69,9.8,37.3%,0.17
3,Jaxon Smith-Njigba,SEA 2025,20,37.2,20.49,19.71,90.8%,31.8%,0.32,3.53,11.4,42.9%,0.16
4,Puka Nacua,LA 2024,13,36.4,17.88,16.55,74.3%,28.5%,0.36,3.29,8.3,34.9%,0.15
5,Antonio Brown,TB 2021,7,36.2,17.30,18.14,59.9%,20.6%,0.33,2.96,12.0,22.4%,0.16
6,Tyreek Hill,MIA 2022,18,35.6,19.87,21.44,81.5%,28.9%,0.32,3.17,12.4,37.6%,0.14
7,Nico Collins,HST 2023,17,35.5,17.31,15.07,67.8%,22.0%,0.29,3.37,11.4,28.1%,0.14
8,Davante Adams,GB 2021,17,34.7,21.31,20.18,87.2%,30.1%,0.31,2.93,9.5,39.2%,0.16
9,Mike Evans,TB 2024,15,34.6,17.51,18.08,70.6%,23.6%,0.29,2.79,12.1,28.1%,0.15
10,Justin Jefferson,MIN 2023,10,34.5,20.32,18.39,82.6%,25.9%,0.28,3.01,13.3,33.5%,0.14
