player,pct_0_5,pct_6_10,pct_11_20,pct_21_plus
C. Rush,72.7,4.5,18.2,4.5
B. Nix,71.4,14.3,10.7,3.6
B. Purdy,70.6,11.8,11.8,5.9
P. Mahomes,70.4,14.8,7.4,7.4
J. Goff,64.1,17.9,12.8,5.1
J. Burrow,62.9,11.4,17.1,8.6
G. Smith,62.5,12.5,16.7,8.3
D. Watson,59.1,9.1,13.6,18.2
D. Jones,58.1,12.9,25.8,3.2
D. Maye,57.8,15.2,18.2,9.1
B. Mayfield,57.1,10.7,28.6,3.6
K. Cousins,56.7,20.0,16.7,6.7
C. Ward,56.2,15.6,21.9,6.2
T. Shough,55.4,17.9,16.1,10.7
D. Lock,54.5,18.2,18.2,9.1
C. Wentz,52.6,10.5,31.6,5.3
M. Stafford,52.0,12.0,24.0,12.0
J. Brissett,51.4,29.7,8.1,10.8
C. Williams,48.3,10.3,27.6,13.8
A. Rodgers,47.5,20.0,12.5,20.0
B. Young,45.9,18.9,18.9,16.2
D. Prescott,44.1,20.6,20.6,14.7
J. Daniels,44.1,11.8,32.4,11.8
J. Hurts,44.0,24.0,20.0,12.0
C. Stroud,42.1,15.8,34.2,7.9
J. Allen,41.4,3.4,27.6,27.6
J. Herbert,37.0,18.5,40.7,3.7
T. Lawrence,34.8,13.0,39.1,13.0
J. Dart,34.5,27.6,31.0,6.9
L. Jackson,32.0,28.0,20.0,20.0
M. Willis,29.6,18.5,37.0,14.8
J. Love,28.6,23.8,35.7,11.9
