player,complete_pct,incomplete_pct,scramble_pct,sack_pct,int_pct
T. Lawrence,75.0,20.8,0.0,4.2,0.0
G. Smith,73.1,19.2,7.7,0.0,0.0
J. Dart,69.7,18.2,6.1,6.1,0.0
B. Purdy,69.4,22.2,5.6,0.0,2.8
J. Brissett,69.2,25.6,2.6,2.6,0.0
K. Cousins,67.7,22.6,3.2,0.0,6.5
J. Burrow,67.6,24.3,2.7,2.7,2.7
D. Lock,66.7,25.0,4.2,4.2,0.0
B. Mayfield,63.9,13.9,11.1,11.1,0.0
J. Goff,63.4,31.7,2.4,2.4,0.0
C. Stroud,61.9,28.6,2.4,7.1,0.0
D. Prescott,61.1,30.6,5.6,0.0,2.8
J. Allen,60.6,30.3,3.0,6.1,0.0
M. Stafford,60.0,36.0,0.0,0.0,4.0
L. Jackson,58.6,24.1,10.3,6.9,0.0
A. Rodgers,57.1,38.1,0.0,4.8,0.0
B. Young,56.1,31.7,4.9,4.9,2.4
D. Jones,55.9,32.4,2.9,5.9,2.9
T. Shough,55.6,28.6,3.2,7.9,3.2
C. Williams,55.3,21.1,18.4,5.3,0.0
D. Maye,54.8,16.7,14.3,7.1,7.1
D. Watson,53.3,16.7,10.0,16.7,3.3
B. Nix,51.5,30.3,3.0,12.1,3.0
C. Wentz,50.0,29.2,4.2,12.5,0.0
C. Ward,48.7,33.3,10.3,7.7,0.0
J. Herbert,48.6,25.7,14.3,8.6,2.9
J. Daniels,46.2,41.0,7.7,2.6,0.0
C. Rush,46.2,30.8,0.0,15.4,7.7
J. Love,45.7,43.5,0.0,8.7,2.2
P. Mahomes,45.5,33.3,12.1,6.1,3.0
J. Hurts,42.4,33.3,15.2,9.1,0.0
M. Willis,40.5,29.7,13.5,13.5,2.7
