team,pressure_rate_generated_pct,pressure_rate_allowed_pct
KC,56.3,39.4
JAX,50.0,25.0
CAR,44.7,27.9
CIN,44.4,32.4
WAS,42.4,41.0
PHI,41.0,42.4
LV,40.5,6.5
DEN,39.4,56.3
MIN,39.1,29.0
IND,33.3,32.4
NE,33.3,26.2
TB,32.4,44.4
BAL,32.4,33.3
DET,31.3,22.0
SF,31.0,22.2
GB,29.0,39.1
ARI,28.6,25.6
BUF,28.6,18.2
CHI,27.9,44.7
SEA,26.2,33.3
LAC,25.6,28.6
NYJ,25.6,11.5
CLE,25.0,50.0
LA,22.2,31.0
NYG,22.2,21.2
NO,22.0,31.3
DAL,21.2,22.8
ATL,20.9,19.2
PIT,19.2,20.9
HOU,18.2,28.6
TEN,11.5,25.6
MIA,6.5,40.5
