rank,team,middle_third_pct,middle_third_targets,total_targets
1,IND,60.0,15,25
2,GB,53.8,21,39
3,CHI,47.8,11,23
4,ARI,45.5,15,33
5,KC,42.1,8,19
6,HOU,39.4,13,33
7,MIN,38.9,7,18
8,CAR,38.7,12,31
9,DET,38.2,13,34
10,BUF,37.5,9,24
11,LAC,37.5,9,24
12,WAS,36.0,9,25
13,BAL,34.8,8,23
14,NYJ,33.3,7,21
15,SEA,31.8,7,22
16,CLE,31.6,6,19
17,LAR,30.8,8,26
18,ATL,30.0,3,10
19,LV,29.6,8,27
20,NYG,29.6,8,27
21,JAX,29.4,5,17
22,CIN,29.0,9,31
23,DEN,26.3,5,19
24,NE,24.0,6,25
25,MIA,23.8,5,21
26,PIT,22.6,7,31
27,TB,21.7,5,23
28,TEN,21.7,5,23
29,NO,21.3,10,47
30,SF,17.4,4,23
31,PHI,11.1,2,18
32,DAL,10.7,3,28
