play_caller,team,tendency_rating_approx,note
Liam Coen,JAX,0.27,approximate bar read
Kyle Shanahan,SF,0.18,approximate bar read
Frank Reich,CAR,0.14,approximate bar read
Klint Kubiak,LV,0.13,approximate bar read
Andy Reid,KC,0.12,approximate bar read
Declan Doyle,CHI,0.11,approximate bar read
Matt Nagy,NYG,0.10,approximate bar read
Zac Taylor,CIN,0.10,approximate bar read
Ben Johnson,DET,0.08,approximate bar read
Drew Petzing,ARI,0.06,approximate bar read
Mike LaFleur,LAR,0.06,approximate bar read
Mike McCarthy,PIT,0.04,approximate bar read
Kevin O'Connell,MIN,0.03,approximate bar read
Tommy Rees,ATL,0.02,approximate bar read
Brian Fleury,SEA,0.01,approximate bar read
Josh McDaniels,NE,0.00,approximate bar read
Joe Brady,BUF,0.00,approximate bar read
David Blough,WAS,0.00,approximate bar read
Mike McDaniel,MIA,-0.02,approximate bar read
Zac Robinson,, -0.03,approximate bar read; team not stated
Nick Caley,HOU,-0.04,approximate bar read
Brian Schottenheimer,DAL,-0.05,approximate bar read
Sean Mannion,, -0.06,approximate bar read; team not stated
Matt LaFleur,GB,-0.06,approximate bar read
Sean McVay,LAR,-0.07,approximate bar read
Davis Webb,DEN,-0.08,approximate bar read
Kellen Moore,NO,-0.09,approximate bar read
Brad Idzik,TB,-0.10,approximate bar read
Brian Daboll,TEN,-0.11,approximate bar read
Bobby Slowik,MIA,-0.12,approximate bar read
Shane Steichen,IND,-0.13,approximate bar read
Todd Monken,CLE,-0.30,approximate bar read; lowest
