rank,name,team,pos,g,snap_pct,rte,rte_pct,tgt,tgt_pct,yprr,tprr,row_note
0,LEAGUE AVG,--,--,,382,66.1,382,65.4,78,15.2,1.64,0.2,league average row
1,Puka Nacua,LA,WR,17,68.5,466,74.8,172,29.0,3.84,0.37,
2,Jaxon Smith-Njigba,SEA,WR,18,78.4,505,92.0,168,33.3,3.79,0.33,
3,Dalton Kincaid,BUF,TE,14,41.7,225,47.4,63,15.5,3.54,0.28,
4,Zay Flowers,BLT,WR,18,82.8,475,89.0,123,27.5,2.87,0.26,
5,Christian Watson,GB,WR,11,68.1,266,69.5,63,18.3,2.85,0.24,
6,Luther Burden,CHI,WR,16,41.9,256,42.7,65,12.2,2.79,0.25,
7,Amon-Ra St. Brown,DET,WR,19,86.1,608,85.5,193,29.3,2.65,0.32,
8,Drake London,ATL,WR,13,90.8,376,85.1,113,27.8,2.52,0.3,
9,Stefon Diggs,NE WAS,WR,18,54.6,426,65.4,109,20.3,2.51,0.26,team shown as NE WAS in source
10,Nico Collins,HST,WR,16,76.1,493,80.6,128,23.3,2.42,0.26,
11,CeeDee Lamb,DAL,WR,15,73.1,468,76.5,121,21.8,2.4,0.26,
12,George Pickens,DAL,WR,18,81.2,612,85.0,137,20.8,2.38,0.22,
13,Parker Washington,JAX,WR,17,61.5,396,62.2,96,17.3,2.35,0.24,
14,Alec Pierce,IND,WR,16,84.2,467,82.2,90,17.5,2.28,0.19,
15,Jaylen Waddle,MIA DEN,WR,17,77.2,403,75.3,101,21.0,2.26,0.25,team shown as MIA DEN in source
16,A.J. Brown,PHI NE,WR,16,87.0,464,85.1,124,26.4,2.22,0.27,team shown as PHI NE in source
999,,--,--,,,,,,,,,,rows 17+ not visible in source screenshot
