wk,2018_opp,2018_epa_play,2019_opp,2019_epa_play,2020_opp,2020_epa_play,2021_opp,2021_epa_play,2022_opp,2022_epa_play,2023_opp,2023_epa_play,2024_opp,2024_epa_play,2025_opp,2025_epa_play,2026_opp,2026_epa_play
1,BAL,0.01,NYJ,-0.17,NYJ,0.27,PIT,-0.08,LAR,0.46,NYJ,-0.07,ARI,0.55,BAL,0.36,HOU,0.39
2,LAC,-0.04,NYG,0.25,MIA,0.74,MIA,0.34,TEN,0.49,LV,0.43,MIA,0.54,NYJ,0.28,DET,0.53
3,MIN,0.29,CIN,-0.01,LAR,0.22,WAS,0.43,MIA,0.14,WAS,0.24,JAX,0.72,MIA,0.36,-,
4,GB,-0.45,NE,-0.33,LV,0.49,HOU,0.13,BAL,0.23,MIA,0.84,BAL,-0.22,NO,0.28,-,
5,TEN,-0.27,TEN,-0.06,TEN,0.07,KC,0.62,PIT,0.79,JAX,0.26,HOU,0.04,NE,0.19,-,
6,HOU,-0.28,-,,KC,0.18,TEN,0.22,KC,0.23,NYG,0.10,NYJ,0.34,ATL,-0.20,-,
7,-,,MIA,0.26,NYJ,0.16,-,,-,,NE,0.28,TEN,0.29,-,,-,
8,-,,PHI,-0.14,NE,0.00,MIA,0.24,GB,0.24,TB,0.14,SEA,0.37,CAR,0.44,-,
9,-,,WAS,0.34,SEA,0.34,JAX,-0.18,NYJ,-0.01,CIN,0.18,MIA,0.23,KC,0.43,-,
10,-,,CLE,0.05,ARI,0.02,NYJ,0.55,MIN,0.03,DEN,-0.28,IND,0.01,MIA,0.05,-,
11,-,,MIA,0.43,-,,IND,-0.01,CLE,0.17,NYJ,0.32,KC,0.30,TB,0.49,-,
12,JAX,0.22,DEN,0.17,LAC,0.06,NO,0.36,DET,0.17,PHI,0.35,-,,HOU,-0.08,-,
13,MIA,0.22,DAL,0.50,SF,0.38,NE,-0.23,NE,0.33,-,,SF,0.65,PIT,0.34,-,
14,NYJ,0.08,BAL,-0.30,PIT,0.12,TB,0.07,NYJ,-0.10,KC,-0.02,LAR,0.65,CIN,0.62,-,
15,DET,0.17,PIT,-0.03,DEN,0.55,CAR,0.23,MIA,0.30,DAL,0.26,DET,0.59,NE,0.35,-,
16,NE,-0.24,NE,0.10,NE,0.60,NE,0.36,CHI,0.12,LAC,0.28,NE,0.02,CLE,-0.22,-,
17,MIA,0.42,-,,MIA,0.41,ATL,0.14,-,,NE,0.02,NYJ,0.33,PHI,-0.03,-,
18,-,,HOU,-0.01,IND,0.27,NYJ,0.12,NE,0.19,MIA,0.14,-,,-,,-,
19,-,,-,,BAL,-0.06,NE,0.86,MIA,-0.17,PIT,0.32,DEN,0.60,JAX,0.37,-,
20,-,,-,,KC,-0.01,KC,0.51,CIN,0.01,KC,0.27,BAL,0.10,DEN,0.21,-,
21,-,,-,,-,,-,,-,,-,,KC,0.13,-,,-,
