air_yards_bucket,direction,comp,att,yds,epa_per_att
15+,Left,0,0,0,0.0
15+,Middle,3,4,84,2.55
15+,Right,0,1,0,-0.58
10,Left,1,1,23,1.48
10,Middle,2,2,25,0.84
10,Right,1,1,22,1.41
5,Left,3,3,23,1.14
5,Middle,1,1,6,-0.05
5,Right,2,4,25,0.08
LOS,Left,1,2,6,-0.28
LOS,Middle,0,1,0,-0.59
LOS,Right,5,7,25,0.15
Below LOS,Left,1,2,9,0.24
Below LOS,Middle,0,0,0,0.0
Below LOS,Right,0,2,0,-0.73
SUMMARY,comp_att_20_31,pass_yds_248,air_yds_pct_64.9,td_int_3_0,rating_121.4
SUMMARY,total_epa_25.4,epa_per_play_0.53,adot_7.9,cp_64.5,cpoe_minus_2.6
