team,no_blitzer_pct,one_blitzer_pct,two_plus_blitzer_pct,note
MIN,19.6,43.5,37.0,
TB,52.8,27.8,19.4,
GB,53.6,32.1,14.3,
NE,53.8,30.8,15.4,
DEN,55.2,34.5,10.3,
WAS,57.1,39.3,3.6,
CAR,61.3,38.7,,no 2+ segment labeled
IND,61.5,19.2,19.2,
JAX,63.0,29.6,7.4,
HOU,65.0,25.0,10.0,
MIA,66.7,30.0,3.3,
DET,67.2,13.1,19.7,
BUF,68.3,31.7,,no 2+ segment labeled
KC,68.8,18.8,12.5,
LV,70.8,20.8,8.3,
DAL,71.0,25.8,3.2,
SEA,72.2,16.7,11.1,
NYJ,77.1,17.1,5.7,
TEN,77.5,20.0,2.5,
PHI,77.8,13.9,8.3,
BAL,78.8,18.2,3.0,
LAC,78.9,15.8,5.3,
NYG,82.4,14.7,2.9,
ATL,83.3,16.7,,no 2+ segment labeled
ARI,83.7,16.3,,no 2+ segment labeled
CHI,84.4,12.5,3.1,
CIN,84.4,15.6,,no 2+ segment labeled
NO,84.4,15.6,,no 2+ segment labeled
LAR,85.3,8.8,5.9,
SF,85.7,10.7,3.6,
CLE,87.5,12.5,,no 2+ segment labeled
PIT,92.3,7.7,,no 2+ segment labeled
