rank,team,box5_pct,box6_pct,box7_pct,box8plus_pct,avg_box_def,off_sr_pct
1,BAL,6.4,42.5,36.3,14.9,6.63,44.6
2,NE,11.2,47.7,29.4,11.6,6.43,48.4
3,BUF,13.0,44.6,32.3,10.1,6.40,48.6
4,SEA,9.4,49.7,33.5,7.3,6.39,46.7
5,LA,12.5,46.7,33.5,7.3,6.35,52.2
6,NYJ,10.4,53.1,29.0,7.5,6.32,40.8
7,PHI,14.5,48.1,31.2,6.2,6.29,43.3
8,CLE,15.0,52.0,26.2,6.7,6.25,35.2
9,LAC,16.7,49.0,26.7,7.6,6.25,43.6
10,HOU,12.8,55.1,25.9,6.2,6.25,41.6
11,CHI,12.8,53.6,29.3,4.3,6.24,45.7
12,DET,12.5,53.6,29.3,4.7,6.24,45.1
13,PIT,18.9,44.6,28.5,8.0,6.23,44.1
14,DAL,13.3,54.5,27.6,4.5,6.22,47.3
15,GB,13.0,54.0,28.5,4.4,6.22,48.2
16,CAR,17.4,47.8,28.1,6.7,6.22,43.6
17,IND,10.6,60.0,25.8,3.7,6.21,46.3
18,SF,11.9,57.6,27.0,3.5,6.21,48.5
19,TEN,14.1,57.7,20.6,7.6,6.21,37.9
20,NYG,13.8,56.1,25.0,5.0,6.21,43.1
21,WAS,12.4,58.6,24.5,4.5,6.20,46.4
22,ATL,14.0,57.2,25.3,3.5,6.18,44.5
23,MIA,15.5,50.5,30.4,3.6,6.17,42.1
24,JAX,12.9,59.6,22.8,4.7,6.17,44.4
25,DEN,13.6,57.4,25.7,3.3,6.17,43.8
26,MIN,15.1,56.9,23.5,4.5,6.15,43.3
27,LV,15.5,58.8,21.7,4.0,6.13,38.6
28,ARI,17.4,54.9,23.8,3.9,6.13,42.8
29,NO,15.6,58.8,22.0,3.6,6.11,42.4
30,TB,17.5,57.4,21.9,3.2,6.09,43.1
31,CIN,18.3,58.4,19.3,4.0,6.06,46.4
32,KC,21.7,56.4,18.0,3.9,6.01,44.6
