rank,team,box5_pct,box6_pct,box7_pct,box8plus_pct,avg_box_def,off_sr_pct
1,LV,3.1,20.3,42.2,34.4,7.12,43.1
2,HOU,4.1,38.4,45.2,12.3,6.70,48.1
3,NYJ,1.7,42.4,42.4,13.6,6.69,48.4
4,SF,1.6,42.2,48.4,7.8,6.62,56.9
5,KC,6.2,53.1,25.0,15.6,6.62,40.9
6,CIN,9.7,37.1,37.1,16.1,6.61,47.6
7,ATL,1.8,38.6,57.9,1.8,6.60,36.7
8,MIA,8.0,42.0,34.0,16.0,6.56,34.5
9,GB,7.5,44.8,34.3,13.4,6.54,38.2
10,LA,1.8,48.2,46.4,3.6,6.54,43.3
11,BUF,13.5,34.6,42.3,9.6,6.50,41.1
12,NYG,1.5,49.2,49.2,0.0,6.48,59.1
13,JAX,9.4,47.2,34.0,9.4,6.45,59.3
14,MIN,5.1,52.5,35.6,6.8,6.44,38.7
15,DET,1.4,58.9,34.2,5.5,6.44,45.5
16,NO,9.3,46.5,33.7,10.5,6.43,43.8
17,NE,9.0,50.7,34.3,6.0,6.42,40.8
18,BAL,11.7,36.7,50.0,1.7,6.40,46.9
19,PIT,5.0,58.3,31.7,5.0,6.37,33.8
20,PHI,3.9,64.7,25.5,5.9,6.33,34.0
21,CHI,7.1,61.4,27.1,4.3,6.29,53.3
22,SEA,4.3,66.0,23.4,6.4,6.28,38.8
23,CAR,8.1,58.1,32.3,1.6,6.27,47.1
24,DAL,3.8,71.2,21.2,3.8,6.27,48.3
25,CLE,12.2,51.0,32.7,4.1,6.24,43.1
26,TEN,8.2,67.3,18.4,6.1,6.22,44.0
27,TB,17.6,54.9,23.5,3.9,6.14,51.8
28,ARI,18.8,50.7,29.0,1.4,6.13,48.6
29,DEN,19.6,54.3,26.1,0.0,6.04,36.0
30,WAS,20.6,55.9,20.6,2.9,6.00,42.9
31,LAC,13.7,68.6,17.6,0.0,6.00,40.0
32,IND,20.8,58.5,20.8,0.0,5.98,42.6
