rank,player,total_qbr,qbr_rank,epa_per_play,epa_rank,cpoe_pct,cpoe_rank,bad_throw_pct,bad_throw_rank,prs_to_sack_pct,prs_rank,air_yds_per_rec,air_rank,ovr_score,ovr_rank
1,C. Williams,94.8,1,0.55,3,11.4,3,10.3,8,18.2,11,8.7,7,99.3,1
2,T. Lawrence,93.4,2,0.72,2,16.2,2,8.7,6,20.0,13,11.2,1,98.5,2
3,J. Brissett,85.5,4,0.29,10,7.7,8,10.8,10,11.1,7,6.6,14,98.0,3
4,G. Smith,84.7,5,0.26,11,9.4,6,0.0,1,0.0,1,7.0,13,98.0,4
5,D. Prescott,89.0,3,0.42,4,4.8,13,14.7,15,0.0,1,3.9,24,94.0,5
6,B. Purdy,81.9,8,0.22,12,7.4,9,5.9,2,0.0,1,3.8,26,92.3,6
7,D. Lock,79.9,10,0.30,9,5.0,12,18.2,20,20.0,13,5.0,17,92.3,7
8,B. Young,66.4,14,0.34,8,4.7,14,10.8,10,10.0,6,8.7,8,91.1,8
9,J. Allen,84.6,6,0.39,5,9.7,5,10.3,8,40.0,23,10.5,3,90.6,9
10,L. Jackson,82.7,7,0.35,7,6.4,10,24.0,28,40.0,23,8.9,6,90.0,10
11,J. Dart,81.5,9,0.73,1,10.9,4,13.8,13,40.0,23,6.2,15,88.4,11
12,J. Burrow,76.3,11,0.03,19,5.2,11,8.6,5,11.1,7,4.5,21,78.3,12
13,C. Stroud,68.4,13,0.07,17,8.6,7,21.1,27,27.3,18,6.0,16,76.2,13
14,J. Hurts,71.3,12,0.14,13,-2.1,23,20.0,26,42.9,28,10.3,4,68.0,14
15,J. Daniels,66.4,14,0.10,16,-4.8,26,14.7,15,14.3,10,4.9,18,64.6,15
16,C. Wentz,58.9,16,0.38,6,-6.7,28,26.3,31,75.0,31,9.1,5,60.3,16
17,D. Maye,58.4,17,0.12,14,3.2,17,6.1,3,37.5,22,3.0,28,60.3,17
18,J. Goff,53.2,19,0.10,15,-3.2,25,12.8,12,11.1,7,4.1,23,52.0,18
19,K. Cousins,39.7,23,-0.02,21,3.9,15,16.7,19,0.0,1,4.1,22,43.9,19
20,T. Shough,49.8,21,0.03,18,-0.5,20,16.1,18,35.7,21,8.7,9,43.9,20
21,J. Love,54.8,18,-0.15,27,-9.0,29,35.7,32,18.2,11,10.7,2,41.1,21
22,M. Stafford,31.1,27,-0.27,30,2.5,18,24.0,28,0.0,1,4.7,19,33.3,22
23,D. Watson,34.4,25,-0.08,23,3.6,16,18.2,20,41.7,27,7.1,12,32.8,23
24,J. Herbert,47.3,22,-0.09,24,-1.4,22,18.5,23,42.9,28,7.6,11,30.9,24
25,P. Mahomes,50.2,20,-0.01,20,-12.3,31,18.5,23,33.3,19,1.2,32,30.3,25
26,B. Mayfield,27.0,29,-0.10,25,15.4,2,7.1,4,40.0,23,2.0,30,28.2,26
27,A. Rodgers,36.9,24,-0.12,26,-0.8,21,15.0,17,20.0,13,3.8,25,27.9,27
28,M. Willis,21.4,30,-0.10,24,-0.4,19,18.5,23,33.3,19,7.8,10,26.0,28
29,D. Jones,28.6,28,-0.25,29,-2.4,24,9.7,7,22.2,16,4.7,20,21.8,29
30,T. Ward,34.3,26,-0.15,28,-5.6,27,25.0,30,25.0,17,3.4,27,19.8,30
31,B. Nix,8.3,31,-0.46,31,-9.1,30,14.3,14,44.4,30,2.3,29,10.3,31
32,C. Rush,2.6,32,-0.64,32,-21.3,32,18.2,20,80.0,32,1.7,31,10.0,32
