rank,team,missed_tackles,missed_tackle_rate_pct,note
1,DET,0,0.0,
2,,3,4.4,team logo ambiguous at chart resolution; unidentified
3,LAR,3,4.5,
4,MIA,3,4.5,
5,SF,3,4.8,
6,MIN,3,6.0,
7,CAR,4,6.2,
8,BAL,3,6.7,
9,NE,3,7.1,
10,NYJ,3,7.7,
11,NO,6,7.8,
12,LAC,6,8.2,
13,IND,5,8.5,
14,HOU,4,8.9,
15,BUF,8,9.1,
16,DAL,7,9.1,
17,KC,4,9.3,
18,GB,4,9.3,
19,LV,6,10.7,
20,PHI,8,11.4,
21,ATL,6,11.5,
22,CHI,8,12.5,
23,,9,14.3,team logo ambiguous at chart resolution; unidentified
24,WAS,8,14.8,
25,TB,10,15.2,
26,CIN,10,15.9,
27,NYG,7,15.9,
28,JAX,11,16.2,
29,PIT,9,16.7,
30,TEN,14,17.3,
31,CLE,15,20.8,
32,DEN,24,26.1,
