rank,team,negative_run_pct,note
1,TEN,0.00,tied
1,DEN,0.00,tied
1,DAL,0.00,tied
1,CAR,0.00,tied
1,SF,0.00,tied
1,WAS,0.00,tied
1,BAL,0.00,tied
8,NYJ,2.78,
9,KC,2.86,
10,NYG,2.94,
11,ARI,3.23,
12,NO,4.00,
13,SEA,4.76,
14,CHI,5.13,
15,TB,5.26,
16,MIN,6.45,
17,LAR,7.14,
18,CLE,9.09,tied
18,MIA,9.09,tied
20,HOU,9.38,
21,ATL,9.68,
22,BUF,10.00,
23,JAX,10.34,
24,PIT,11.11,
25,CIN,11.54,
26,LAC,14.29,
27,NE,16.13,
28,DET,16.67,team identified by elimination; logo ambiguous in chart image
29,PHI,17.39,
30,LV,17.65,
31,GB,19.05,
32,IND,20.00,
