team,motion_pct,screen_pct,play_action_pct,no_huddle_pct,rpo_pct
ARI,65.2,2.9,7.2,5.8,2.9
ATL,75.4,8.8,5.3,3.5,1.8
BAL,73.3,1.7,16.7,1.7,8.3
BUF,44.2,3.8,13.5,1.9,3.8
CAR,59.7,1.6,14.5,8.1,6.5
CHI,55.7,4.3,18.6,5.7,2.9
CIN,48.4,4.8,6.5,4.8,9.7
CLE,32.7,4.1,16.3,4.1,4.1
DAL,65.4,5.8,9.6,9.6,5.8
DEN,39.1,8.7,13.0,6.5,4.3
DET,58.9,2.7,19.2,1.4,0.0
GB,53.7,1.5,13.4,14.9,1.5
HOU,43.8,4.1,12.3,8.2,5.5
IND,69.8,5.7,11.3,13.2,5.7
JAX,50.9,7.5,18.9,7.5,1.9
KC,53.1,7.8,15.6,0.0,4.7
LA,48.2,1.8,8.9,12.5,0.0
LAC,84.3,3.9,21.6,2.0,2.0
LV,57.8,4.7,14.1,1.6,3.1
MIA,66.0,4.0,10.0,2.0,2.0
MIN,69.5,6.8,15.3,6.8,0.0
NE,50.7,9.0,13.4,0.0,3.0
NO,58.1,1.2,11.6,22.1,4.7
NYG,67.7,1.5,15.4,1.5,3.1
NYJ,58.3,3.3,15.0,1.7,0.0
PHI,66.7,3.9,11.8,15.7,13.7
PIT,50.8,4.9,16.4,6.6,4.9
SEA,57.4,2.1,23.4,2.1,0.0
SF,78.1,10.9,12.5,0.0,0.0
TB,70.6,7.8,25.5,9.8,2.0
TEN,51.0,4.1,14.3,22.4,8.2
WAS,60.3,7.4,10.3,11.8,14.7
NFL AVG,66.3,5.3,15.7,7.7,4.6
