metric,det_value,det_percentile,buf_value,buf_percentile
EPA/Play (Off & Def),0.28,93.8%,0.44,99.2%
Success Rate (% of plays with EPA > 0),49%,79.7%,59%,98.8%
EPA/Dropback,0.50,93.8%,0.51,93.8%
EPA/Rush,-0.25,23.6%,0.33,98.3%
ST EPA/Play,0.02,54.8%,-0.02,45.2%
Yards/Play,6.1,68.0%,6.7,82.4%
Explosive Play Rate (rush 10+ yds / pass 20+ yds),12.1%,70.8%,17.9%,96.0%
3rd Down Efficiency (incl. plays with penalties),42%,58.8%,77%,99.8%
Points/Redzone Trip (excl. XP & 2-pt conv.),5.25,75.2%,6.0,100.0%
Turnover Rate (offensive plays / kick returns / punts),0.0%,100.0%,0.0%,100.0%
Penalties (n/yds),10/58,37.0%,5/46,55.6%
YAC %,39%,29.0%,35%,19.4%
Avg Starting Position,Own 28,34.7%,Own 32,71.1%
Time of Possession (excl. OT),26:15,20.0%,33:45,80.0%
% Game Time Favored (Vegas win probability),0.0%,0.0%,100.0%,100.0%
