matchup,day_time_et,spread,ou,net_epa_play,net_rank,off_epa_play,off_rank,def_epa_play,def_rank,st_epa_play,st_rank,note
Eagles @ Titans,Sunday 13:00,-7.0,39.5,-0.011,18,0.027,16,0.059,19,0.029,9,
Texans @ Browns,Sunday 13:00,+8.5,41.5,-0.189,28,-0.206,26,0.310,30,0.133,4,
Buccaneers @ [home],Sunday 13:00,+2.5,46.5,0.035,14,0.001,18,-0.081,12,0.015,11,home logo uncertain
Panthers @ Bears,Sunday 13:00,-2.5,43.5,-0.140,27,0.130,9,0.361,31,-0.187,30,
Raiders @ Bills,Sunday 13:00,+6.5,43.5,0.121,8,-0.029,20,-0.242,4,0.247,2,
Jaguars @ [home],Sunday 16:05,+2.5,45.5,0.189,1,0.310,3,-0.206,7,-0.133,29,home logo uncertain
Dolphins @ 49ers,Sunday 16:25,+13.5,44.5,-0.121,25,-0.242,29,-0.029,13,-0.247,31,
Commanders @ Cowboys,Sunday 16:25,+3.5,50.5,0.011,15,0.059,14,0.027,17,-0.029,24,
Seahawks @ [home],Sunday 16:25,-3.5,40.5,0.058,12,0.029,15,-0.092,11,0.014,14,home logo uncertain
[away] @ Chiefs,Sunday 20:20,+6.5,46.5,-0.174,30,-0.225,27,0.209,27,-0.014,20,away logo uncertain
Giants @ Rams,Monday 20:15,+7.0,48.5,0.070,10,0.363,1,0.271,28,0.092,5,
