rank,team,games,epa_per_play_allowed,epa_per_db_allowed,pass_success_pct_allowed,adot_allowed,explosive_pass_pct_allowed,note
32,CLE,1,0.320,0.793,71%,10.1,17%,
31,TEN,1,0.154,0.350,50%,7.0,15%,
30,MIN,1,-0.175,-0.059,41%,10.2,15%,
29,HOU,1,0.251,0.513,45%,12.0,15%,
28,LV,1,-0.236,-0.206,38%,9.7,14%,
27,CHI,1,0.182,0.312,49%,9.2,12%,
26,PIT,1,-0.321,-0.606,31%,3.0,12%,
25,NE,1,0.064,0.226,48%,5.9,11%,
24,CAR,1,0.409,0.538,63%,10.3,11%,
22,IND,1,0.266,0.463,57%,10.0,10%,rank 22 shared with JAX as displayed
22,JAX,1,-0.184,-0.225,47%,8.4,10%,rank 22 shared with IND as displayed
21,BUF,1,0.069,0.097,50%,7.9,9.5%,
20,DET,1,-0.017,-0.015,45%,7.8,9.4%,
19,WAS,1,0.068,0.166,39%,8.0,9.1%,
